Ab PDF S. 8; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"2015/16
T€
2014/15
T€
Materialaufwand
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren 165.503 159.383
Aufwendungen für bezogene Leistungen 13.593 13.340
179.096 172.723
2015/16
T€
2014/15
T€
Personalaufwand
Löhne und Gehälter 184.739 176.115
Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung 33.067 32.216
(davon für Altersversorgung T€ 2.762; Vorjahr T€ 2.982)
217.806 208.331"; 5.70, 9.70, 83 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die in den sonstigen betrieblichen Erträgen enthaltenen periodenfremden Erträge betreffen im Wesentlichen die Auflösung von
sonstigen Rückstellungen in Höhe von T€ 2.235 (Vorjahr T€ 1.990). Zudem sind Erträge aus Währungsumrechnung gem. § 277 Abs.
5 Satz 2 HGB mit einem Wert von T€ 6.422 (Vorjahr T€ 12.242) enthalten."; 5.69, 75, 7 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die sonstigen betrieblichen Aufwendungen enthalten periodenfremde Aufwendungen in Höhe von T€ 716 (Vorjahr T€ 270). Zudem
beinhalten sie Aufwendungen aus Währungsumrechnungen gem. § 277 Abs. 5 Satz 2 HGB mit einem Wert von T€ 6.507 (Vorjahr T€
11.959)."; 5.80, 75 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"In der Gewinn- und Verlustrechnung sind Zinseinzahlungen in Höhe von T€ 535 (Vorjahr T€ 162) sowie Zinszahlungen in Höhe von T€
4.004 (Vorjahr T€ 3.937) enthalten.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Darlehensforderungen gegen verbundene, nicht konsolidierte Unternehmen, wurden wegen voraussichtlich dauerhafter
Wertminderung in Höhe von T€ 105 (Vorjahr T€ 90) abgeschrieben."; 7   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
7 Sonstige Angaben;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Im Berichtsjahr bzw. im Vorjahr waren durchschnittlich beschäftigt:; 81, 82 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"2015/16
Anzahl
2014/15
Anzahl
In der Produktion Beschäftigte 1.427 1.478
Übrige Beschäftigte 2.516 2.446
3.943 3.924"; 81, 82 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Stichtagsbezogen hat eine Zunahme von 3.940 auf 3.977 Beschäftigte stattgefunden.; 81, 82 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Derivative Finanzinstrumente;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Übersicht der derivativen Finanzinstrumente per 30. September 2016:;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Fremdwährungsbezogene Geschäfte; 8   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sicherungsinstrument Fremdwährung
Sicherungsvolumen
'000
Sicherungsgegenwert
T€
beizulegender
Zeitwert
T€
Buchwert
T€
Bilanzposten (§
266 HGB)
Devisen-
Termingeschäft/
Verkauf
PLN 12.360 2.746 -83 0 keine Bilanzierung
wg.
Bewertungseinheit
Devisen-
Termingeschäft/
Verkauf
USD 16.830 14.879 -6 0 keine Bilanzierung
wg.
Bewertungseinheit
Devisen-
Termingeschäft/
Verkauf
JPY 1.684.114 14.070 -721 0 keine Bilanzierung
wg.
Bewertungseinheit
Devisen-
Termingeschäft/
Verkauf
CHF -2.723 2.520 -14 0 keine Bilanzierung
wg.
Bewertungseinheit
Devisen-
Termingeschäft/
Verkauf
RON -7.481 1.650 22 0 keine Bilanzierung
wg.
Bewertungseinheit
Devisen-
Termingeschäft/
Verkauf
CZK 32.520 1.196 -11 0 keine Bilanzierung
wg.
Bewertungseinheit
37.061 -813 0
Non Deliverable
Forward
INR 208.320 2.564 -123 0 keine Bilanzierung
wg.
Bewertungseinheit
Non Deliverable
Forward
CNY 150.600 19.680 -94 0 keine Bilanzierung
wg.
Bewertungseinheit
Non Deliverable
Forward
RUB 378.000 4.891 -223 0 keine Bilanzierung
wg.
Bewertungseinheit
Non Deliverable
Forward
BRL 2.766 701 -20 0 keine Bilanzierung
wg.
Bewertungseinheit
Non Deliverable
Forward
TWD 18.900 522 -16 0 keine Bilanzierung
wg.
Bewertungseinheit
Non Deliverable
Forward
KRW 3.240 2.471 -130 0 keine Bilanzierung
wg.
Bewertungseinheit
30.829 -606
Summe 67.890 -1.419 0
davon mit neg.
beizulegenden
Zeitwert
66.240 -1.441
davon mit pos.
beizulegenden
Zeitwert
1.650 22"; 8   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Rohstoffbezogene Geschäfte;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sicherungsinstrument Rohstoff
Sicherungsvolumen
kg / oz
Sicherungsgegenwert
T€
beizulegender
Zeitwert
T€
Buchwert
T€
Bilanzposten (§
266 HGB)
Swaps Zinn 2.820 37 12 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Zink 300.000 417 213 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Palladium 1.536 800 181 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Kupfer 667.800 2.791 65 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Silber 49.500 634 204 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Gold 2.844 2.781 537 0 keine Bilanzierung
wg.
Bewertungseinheit
Swaps Alu Alloy 927.600 1.441 -137 0 keine Bilanzierung
wg.
Bewertungseinheit
Summe 8.901 1.075 0
davon mit neg.
beizulegenden Zeitwert
1.441 -137
davon mit pos.
beizulegenden Zeitwert
7.460 1.212";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die beizulegenden Zeitwerte der derivativen Finanzinstrumente werden mit marktüblichen Bewertungsmethoden unter
Berücksichtigung der am Bewertungsstichtag vorliegenden Marktdaten (Marktwerte) ermittelt. Devisen-, Zins- und Rohstoffkontrakte
werden einzeln auf Basis des Austauschbetrages mit den aktuellen Marktterminkursen am Abschlussstichtag im Vergleich zu den
vereinbarten Termin- bzw. Kontraktkursen bewertet. Die Marktterminkurse richten sich nach den Kassakursen unter Berücksichtigung
von Terminauf- und -abschlägen.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die vorstehenden derivativen Finanzinstrumente dienen ausschließlich der Absicherung von Preisschwankungen in betrieblichen
Grundgeschäften aus mit hoher Wahrscheinlichkeit erwarteten Transaktionen. Ihr Einsatz erfolgt nach einheitlichen Richtlinien,
unterliegt strengen internen Kontrollen und bleibt auf die Absicherung des operativen Geschäfts der Gesellschaft beschränkt. Ziel des
Einsatzes von derivativen Finanzinstrumenten ist, in Bezug auf Ergebnis und Zahlungsmittelflüsse die Volatilitäten zu reduzieren, die
auf Veränderungen von Wechselkursen, Marktzinsen und Beschaffungsmarktpreise für Rohstoffe zurückgehen. Sofern die gesetzlichen
Voraussetzungen vorliegen, werden Bewertungseinheiten i. S. d. § 254 HGB grundsätzlich gebildet. Zur bilanziellen Abbildung der
wirksamen Teile der gebildeten Bewertungseinheiten wird die sog. Einfrierungsmethode (kompensatorische Bewertung) angewendet.
Die Effektivität der Sicherungsbeziehungen wird zu jedem Bilanzstichtag prospektiv und retrospektiv festgestellt."; 37   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Abgesichert wird – je nach Fremdwährung und ausgehend von der Unternehmensplanung – zwischen 25% und 56% des im
kommenden Geschäftsjahr erwarteten Fremdwährungszuflusses von verbundenen Unternehmen. Im Bereich der für die Produktion
wesentlichen Rohstoffe beträgt das Absicherungsvolumen zwischen 50% und 75 % der sich aus der Planung ergebenden Bedarfe des kommenden Geschäftsjahres. Die Höhe der abgesicherten Risiken betrug zum 30. September 2016 T€ 1.578. Insofern ist die Bildung einer Rückstellung für drohende Verluste aus schwebenden Geschäften unterblieben.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Geschäfte mit nahestehenden Personen; 109   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Im Berichtsjahr wurden keine berichtspflichtigen Geschäfte mit nahestehenden Personen abgeschlossen.; 109   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Abschlussprüferhonorar;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Das von dem Abschlussprüfer des Konzernabschlusses für das abgelaufene Geschäftsjahr berechnete Gesamthonorar ergibt sich wie
folgt:"; 99   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"• Honorar für die Abschlussprüfung T€ 146
• Honorar für Steuerberatung T€ 244
• Honorar für sonstige Beratungsleistungen T€
56"; 99   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Bezüge ehemaliger Mitglieder der Geschäftsführung;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"An die Hinterbliebenen ehemaliger Mitglieder des Geschäftsführungsorgans wurden im Berichtsjahr T€ 53 gezahlt, T€ 666 sind hierfür
zurückgestellt."; 137   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Persönlich haftende, geschäftsführende Gesellschafter;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"HARTING WiMa AG (Luxemburg) & Co. KG, Espelkamp (ohne Kapitalanteil)
vertreten durch
HARTING Führungs AG, Luxemburg/Luxemburg,
diese wiederum vertreten durch
Dr.-Ing. E. h. Dietmar Harting, geschäftsführender Gesellschafter,
Espelkamp
Dipl.-Kffr. Maresa Harting-Hertz, Vorstand Finanzen und Einkauf, Espelkamp
Dipl.-Kfm. Philip F. W. Harting, Vorstand Connectivity & Networks, Lübbecke
Dr. jur. Michael Pütz, Vorstand Personal, Wallenhorst
Dr. rer. nat. Frank Brode, Vorstand Neue Technologien, Berlin
Dipl.-Ing./Dipl.-Wirt.-Ing. Andreas Conrad, Vorstand Operations,
Grevenbroich";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Generalvollmacht;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Dipl.-Hdl. Margrit Harting,
Espelkamp";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Espelkamp, 22. November 2016;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"HARTING AG & Co. KG, Espelkamp
vertreten durch ihre persönlich haftende Gesells chafterin die
HARTING WiMa AG (Luxemburg) & Co. KG
diese vertreten durch die
HARTING Führungs AG
diese wiederum vertreten durch ihre Vorstände
Philip F. W. Harting
Dr.-Ing. E. h. Dietmar Harting
Maresa W. M. Harting-Hertz
Dr. Michael Pütz
Dr. Frank Brode
Andreas Conrad";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Konzernanlagenspiegel
Anschaffungs- bzw. Herstellungskosten
01.10.2015
T€
Kursdifferenz
T€
Zugang
T€
Umbuchung
T€
Abgang
T€
30.09.2016
T€
I Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbliche
Schutzrechte und ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und Werten
24.300 -28 2.323 2.178 2.743 26.030
2. Geleistete Anzahlungen 5.325 0 2.023 -2.120 2.178 3.050
29.625 -28 4.346 58 4.921 29.080
II Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten
einschließlich der Bauten auf fremden Grundstücken
130.747 -823 5.297 488 29 135.680
2. Technische Anlagen und Maschinen 147.494 -475 7.161 5.924 4.539 155.565
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 185.871 -508 13.074 4.213 11.187 191.463
4. Geleistete Anzahlungen und Anlagen im Bau 19.911 -55 17.507 -10.683 583 26.097
484.024 -1.861 43.039 -58 16.338 508.806
III Finanzanlagen
1. Anteile an verbundenen
Unternehmen 666 0 0 0 6 660
2. Ausleihungen an verbundene Unternehmen 1.137 0 105 0 0 1.242
3. Beteiligungen an assoziierten Unternehmen 1.026 0 0 0 0 1.026
4. Beteiligungen 366 0 0 0 0 366
5. Wertpapiere des Anlagevermögens 424 61 74 0 0 559
3.618 61 179 0 6 3.852
517.267 -1.828 47.564 0 21.265 541.738"; 20, 155 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Abschreibungen
01.10.2015
T€
Kursdifferenz
T€
Zugang
T€
Abgang
T€
30.09.2016
T€
I Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten
und Werten
16.850 -25 2.761 2.674 16.912
2. Geleistete Anzahlungen 0 0 0 0 0
16.850 -25 2.761 2.674 16.912
II Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
65.804 -371 3.856 10 69.279
2. Technische Anlagen und Maschinen 118.941 -331 8.551 4.025 123.136
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 147.062 -343 15.476 10.436 151.759
4. Geleistete Anzahlungen und Anlagen im Bau 252 0 0 252 0
332.059 -1.045 27.883 14.723 344.174
III Finanzanlagen
1. Anteile an verbundenen
Unternehmen 499 0 0 0 499
2. Ausleihungen an verbundene Unternehmen 1.137 0 105 0 1.242
3. Beteiligungen an assoziierten Unternehmen 0 0 0 0 0
4. Beteiligungen 87 0 0 9 78
5. Wertpapiere des Anlagevermögens 0 0 0 0 0
1.723 0 105 9 1.819
350.632 -1.070 30.749 17.406 362.905";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Nettobuchwerte
30.09.2016
T€
30.09.2015
T€
I Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und Werten
9.118 7.450
2. Geleistete Anzahlungen 3.050 5.325
12.168 12.775
II Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden
Grundstücken
66.401 64.943
2. Technische Anlagen und Maschinen 32.429 28.553
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 39.704 38.809
4. Geleistete Anzahlungen und Anlagen im Bau 26.097 19.659
164.631 151.964
III Finanzanlagen
1. Anteile an verbundenen
Unternehmen 161 167
2. Ausleihungen an verbundene Unternehmen 0 0
3. Beteiligungen an assoziierten Unternehmen 1.026 1.026
4. Beteiligungen 288 279
5. Wertpapiere des Anlagevermögens 559 424
2.034 1.896
178.833 166.635";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Aufstellung des Anteilsbesitzes;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
a) In den Konsolidierungskreis einbezogene Unternehmen; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die HARTING AG & Co. KG ist an folgenden Unternehmen unmittelbar oder mittelbar - soweit nicht anders vermerkt - zu jeweils 100
% beteiligt."; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sitz
Unmittelbare Beteiligungen
HARTING Applied Technologies GmbH ** Espelkamp
HARTING Automotive GmbH ** Espelkamp
HARTING Deutschland GmbH & Co. KG * Minden
HARTING Electric GmbH & Co. KG * Espelkamp
HARTING Electronics GmbH ** Espelkamp
HARTING Logistics GmbH & Co. KG * Espelkamp
HARTING Customised Solutions GmbH & Co. KG * Minden
HARTING International GmbH ** Espelkamp
HARTING IT Services GmbH & Co. KG * Espelkamp
HARTING Systems GmbH ** Espelkamp"; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Neben der HARTING AG & Co. KG sind die mit einem * gekennzeichneten Personenhandelsgesellschaften in der Rechtsform der GmbH
& Co. KG gemäß § 264b HGB von ihrer Verpflichtung befreit, einen Jahresabschluss und einen Lagebericht nach den für
Kapitalgesellschaften geltenden Vorschriften aufzustellen, prüfen zu lassen und offen zu legen."; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die mit ** gekennzeichneten Kapitalgesellschaften nehmen für das Geschäftsjahr 2015/2016 die Befreiungsvorschrift des § 264 Abs.
3 HGB insoweit in Anspruch, als dass ein Anhang nicht aufgestellt und der Jahresabschluss nicht offen gelegt wird."; 102, 172 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sitz
Mittelbare Beteiligungen
über HARTING International GmbH
DACIA GmbH ** Espelkamp
mit den Tochtergesellschaften
HARTING Romania Manufacturing SCS Rumänien
HARTING Romania SCS Rumänien
HARTING Eastern Europe GmbH ** Dresden
mit den Tochtergesellschaften
HARTING s.r.o. Tschechien
HARTING ZAO Russland
HARTING Magyarorszag Kft. i.c.f Ungarn
HARTING Polska Sp. z o.o. Polen
HARTING Pty Ltd. Australien
HARTING NV-SA Belgien
HARTING Ltda. Brasilien
HARTING (Zhuhai) Manufacturing Co. Ltd. China
HARTING Oy Finnland
HARTING S.A.R.L. Frankreich
mit der Tochtergesellschaft
HARTING France E.U.R.L. Frankreich
HARTING UK Ltd. Großbritannien
Sitz
mit den Tochtergesellschaften
HARTING Ltd. Großbritannien
HARTING Integrated Solutions Ltd. Großbritannien
HARTING (HK) Ltd. Hongkong
HARTING (India) Priv. Ltd. Indien
HARTING S.p.A. Italien
HARTING K.K. Japan
HARTING Korea Ltd. Korea
HARTING B.V. Niederlande
mit der Tochtergesellschaft
HARTING Manufacturing B.V. Niederlande
HARTING A/S Norwegen
HARTING Ges. m.b.H. Österreich
mit der Tochtergesellschaft
HARTING System Integration Ges. m.b.H. Österreich
HARTING AB Schweden
HARTING AG Schweiz
HARTING Singapore Pte. Ltd. Singapur
HARTING Iberia S.A. Spanien
HARTING R.O.C. Ltd. Taiwan
HARTING Inc. USA
mit den Tochtergesellschaften
HARTING Inc. of North America USA
HARTING Manufacturing Inc. USA
HARTING ApS. Dänemark
HARTING Middle East FZ LLC Dubai UAE Dubai
HARTING Manufacturing India Private Ltd. Indien
HARTING EMEA GmbH ** Espelkamp
HARTING TURKEI Elektronik Ltd. Sti. Türkei
Sitz"; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Mittelbare Beteiligungen
über HARTING International GmbH
HARTING Canada Inc. Kanada
HARTING South Africa Pty. Ltd. South Africa
HARTING Ekaterinburg, LCC Russland
HARTING Automotive SRL Rumänien
HARTING Mexico S.A. de C.V. Mexiko
HARTING Mexico Manufacturing S.A. Mexiko
HARTING (Zhuhai) Sales Ltd. China
über HARTING AG & Co. KG
HARTING IT Services GmbH & Co. KG Espelkamp
mit den Tochtergesellschaften
HARTING IT Software Development GmbH & Co. KG * Espelkamp
HARTING IT System Integration GmbH & Co. KG * Espelkamp
HARTING Systems GmbH Espelkamp
mit der Tochtergesellschaft
HARTING Service Centre GmbH & Co. KG * Espelkamp"; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Neben der HARTING AG & Co. KG sind die mit einem * gekennzeichneten Personenhandelsgesellschaften in der Rechtsform der GmbH
& Co. KG gemäß § 264b HGB von ihrer Verpflichtung befreit, einen Jahresabschluss und einen Lagebericht nach den für
Kapitalgesellschaften geltenden Vorschriften aufzustellen, prüfen zu lassen und offen zu legen."; 102, 173 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die mit ** gekennzeichneten Kapitalgesellschaften nehmen für das Geschäftsjahr 2015/2016 die Befreiungsvorschrift des § 264 Abs.
3 HGB insoweit in Anspruch, als dass ein Anhang nicht aufgestellt und der Jahresabschluss nicht offen gelegt wird."; 102   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
b) In den Konsolidierungskreis gemäß § 296 Abs. 2 HGB nicht einbezogene Unternehmen;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sitz
Unmittelbare Beteiligungen
HARTING Deutschland Management GmbH Minden
HARTING Electric Management GmbH Espelkamp
HARTING Logistics Management GmbH Espelkamp
HARTING IT Services Management GmbH Espelkamp";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Sitz
Flugplatz Diepholz Dümmerland GmbH & Co. KG (91,4 %) Diepholz
Mittelbare Beteiligungen
über DACIA GmbH
DM HARTING Management SRL Rumänien
über Flugplatz Diepholz Dümmerland GmbH & Co. KG (91,4 %)
Flugplatz Diepholz-Dümmerland Verwaltungsgesellschaft mbH Diepholz
über HARTING IT Services GmbH & Co. KG
HARTING IT Software Development Management GmbH Espelkamp
HARTING IT System Integration Management GmbH Espelkamp";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
c) Unternehmen, mit denen ein Beteiligungsverhältnis besteht und an denen mindestens der fünfte Teil der Anteile gehalten wird; 103   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Beteiligungsquote
%
Jahresergebnis
2015
T€
Buchmäßiges
Eigenkapital
31.12.2015
T€
Unmittelbare Beteiligungen
IGEU Feuerwehrbereitschaft GmbH, Espelkamp*) 30,0 -17 6
Mittelbare Beteiligungen
über HARTING International GmbH, Espelkamp
Zellner GmbH, Teisnach**) 25,3 115 4.168
mit den Tochtergesellschaften
ZVK Zellner CZ s.r.o., Nyrsko/Tschechien 100,0 15 526
WeForm Gesellschaft für Werkzeug- und Formenbau mbH, Viechtach 52,0 206 1.378
ZVK GmbH, Teisnach 100,0 122 1.560
mit den Tochtergesellschaften
Optoelektronika s.r.o., Nyrsko/Tschechien 100,0 44 303
OptoElektronika L.V., Rezekne/Lettland 76,0 -8 -49
*) Jahresergebnis per 31.03.2016"; 103   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
**) Assoziiertes Unternehmen i.S.v. § 311 Abs. 1 HGB. Inanspruchnahme des Wahlrechts gemäß § 311 Abs. 2 HGB; 103   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Kapitalflussrechnung für die Zeit vom 1. Oktober 2015 bis 30. September 2016; 88   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"2015/16*
T€
Periodenergebnis 48.399
Abschreibungen auf Gegenstände des Anlagevemögens 30.749
Zunahme der Rückstellungen 3.206
Sonstige Zahlungsunwirksame Aufwendungen und Erträge 209
Abnahme der Vorräte, der Forderungen aus Lieferungen und Leistungen sowie anderer Aktiva, die nicht der
Investitions- oder Finanzierungstätigkeit zuzuordnen sind
2.343
Zunahme der Verbindlichkeiten aus Lieferungen und Leistungen sowie anderer Passiva, die nicht der
Investitions- oder Finanzierungsätigkeit zuzuordnen sind
1.777
Verlust aus dem Abgang von Gegenständen des Anlagevemögens 2.607
Zinsaufwendungen 3.455
Ertragsteueraufwand 22.246
Ertragsteuerzahlungen -20.283
Cashflow aus der laufenden Geschäftstätigkeit 94.708
Einzahlungen aus Abgängen von Gegenständen des Sach-/immateriallen Anlagevermögens 1.252
Auszahlung für Investitionen in das immaterielle Anlagevermögen -4.346
Auszahlungen für Investitionen in das Sachanlagevermögen -43.039
Auszahlungen für Investitionen in das Finanzanlagevermögen -179
Erhaltene Zinsen 549
Cashflow aus der Investitionstätigkeit -45.763
Auszahlungen aus der Tilgung von Finanzkrediten -1.387
Auszahlung aus Gesellschafterfinanzierung -39.815
Gezahlte Zinsen -3.763
Auszahlungen an Unternehmenseigner -8.427
Cashflow aus der Finanzierungstätigkeit -53.392
Zahlungswirksame Veränderungen des Finanzmittelfonds -4.447
Wechselkurs- und bewertungsbedingte Änderungen des Finanzmittelfonds -922
Konsolidierungskreisbedingte Änderungen des Finanzmittelfonds -114
Finanzmittelfonds am Anfang des Geschäftsjahres 44.243
Finanzmittelfonds am Ende des Geschäftsjahres 38.760
* Aufgrund der Erstanwendung des DRS 21 wurde auf die Angabe einer Vorjahresspalte verzichtet.
30.09.2016
T€
Zusammensetzung Finanzmittelfonds
Guthaben bei Kreditinstituten und Kassenbestand 40.759
Kontokorrentverbindlichkeiten bei Kreditinstituten 1.999
38.760"; 88, 91, 92, 93 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Konzerneigenkapitalspiegel zum 30. September 2016;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Gezeichnetes
Kapital
T€
Kapitalanteile der
persönlich
haftenden
Gesellschafter
T€
Kommanditkapital
T€
Genussrechtskapital
T€
Erwirtschaftetes
Konzerneigenkapital/
Rücklagen
T€
Stand 30.09.2014 1.031 3.089 0 221 127.252
Gezahlte Dividenden 0 0 0 -5.153
Übrige Veränderungen 0 0 0 0
0 0 0 0 -5.153
Konzern-Jahresergebnis 0 0 0 20.761
Konzern-Gesamtergebnis 0 0 0 0 20.761
Stand 30.09.2015 1.031 3.089 0 221 142.860
Gezahlte Dividenden 0 0 0 0 -8.427
Gutschrift auf
Gesellschafterkonten im
Fremdkapital
0 0 0 0 -27.752
Übrige Veränderungen -1.031 -3.089 4.120 0 -114
-1.031 -3.089 4.120 0 -36.293
Konzern-Jahresergebnis 0 0 0 0 48.399
Auswirkungen des
Formwechsels des
Mutterunternehmens
51 -221 170
Konzern-Gesamtergebnis 0 0 0 0 48.399
Stand 30.09.2016 0 0 4.171 0 155.136"; 96, 97 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Kumuliertes übriges Konzernergebnis
Eigenkapital
Mutterunternehmen
Eigenkapital
Minderheiten Konzerneigenkapital
Ausgleichsposten aus
der
Währungsumrechnung
T€
Andere neutrale
Transaktionen
T€ T€ T€ T€
Stand 30.09.2014 1.354 -1.128 131.819 159 131.978
Gezahlte Dividenden 0 0 -5.153 0 -5.153
Übrige Veränderungen 5.732 0 5.732 4 5.736
5.732 0 579 4 583
Konzern-
Jahresergebnis
0 0 20.761 0 20.761
Konzern-
Gesamtergebnis
0 0 20.761 0 20.761
Stand 30.09.2015 7.086 -1.128 153.159 163 153.322
Gezahlte Dividenden 0 0 -8.427 0 -8.427
Gutschrift auf
Gesellschafterkonten
im Fremdkapital
0 0 -27.752 0 -27.752
Übrige Veränderungen -1.685 0 -1.799 5 -1.794
-1.685 0 -37.978 5 -37.973
Konzern-
Jahresergebnis
0 0 48.399 0 48.399
Auswirkungen des
Formwechsels des
Mutterunternehmens
Konzern-
Gesamtergebnis
0 0 48.399 0 48.399
Stand 30.09.2016 5.401 -1.128 163.580 168 163.748";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Am 30. September 2016 stehen zur Ausschüttung an die Gesellschafter zur Verfügung: T€ 150.459. Ausschüttungssperren bestehen
nicht.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
