Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Von dem Wahlrecht zur Beibehaltung eines höheren Rückstellungsbetrages, wenn der aufzulösende Wert bis spätestens zum 31. Dezember 2024 wieder zugeführt werden müsste, wird Gebrauch gemacht. Der
Betrag der Überdeckung belief sich zum Bilanzstichtag auf 991 T €."; 5.47, 40 ;2016;KG;Konzernabschluss;PwC
(9) VERPFLICHTUNGEN AUS FINANZDIENSTLEISTUNGEN; 5.51 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
bis zu 1 Jahr
davon mit einer Restlaufzeit
über 1 Jahr
Anleihen aus Finanzdienstleistungen 207.709 91.912 115.797
Verbindlichkeiten gegenüber Kreditinstituten aus Finanzdienstleistungen 1.149.035 296.746 852.289
Verbindlichkeiten gegenüber Kunden aus Finanzdienstleistungen 2.806.887 1.976.055 830.832
Abgrenzungen 30.927 11.382 19.545
4.194.558
31.12.2015
Anleihen aus Finanzdienstleistungen 104.467 55.731 48.736
Verbindlichkeiten gegenüber Kreditinstituten aus Finanzdienstleistungen 913.107 352.355 560.752
Verbindlichkeiten gegenüber Kunden aus Finanzdienstleistungen 2.543.429 1.869.723 673.706
Abgrenzungen 25.888 9.846 16.042
3.586.891"; 5.51 ;2016;KG;Konzernabschluss;PwC
"Die Verpflichtungen aus Finanzdienstleistungen dienen der Refinanzierung der Gesellschaften des Unternehmensbereichs Finanzdienstleistungen. Bei den Abgrenzungen handelt es sich vorwiegend um Rechnungsabgrenzungsposten
für noch nicht fällige Einnahmen im Leasinggeschäft."; 5.51 ;2016;KG;Konzernabschluss;PwC
Zum Stichtag lagen Verpflichtungen aus Finanzdienstleistungen mit einer Restlaufzeit von über 5 Jahren in Höhe von 34.727 T € (i. Vj. 41.572 T €) vor.; 5.51, 42 ;2016;KG;Konzernabschluss;PwC
(10) VERBINDLICHKEITEN; 5.51 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
bis zu 1 Jahr
davon mit einer Restlaufzeit
über 1 Jahr
Verbindlichkeiten gegenüber Kreditinstituten 64.655 36.670 27.985
Erhaltene Anzahlungen auf Bestellung 363 266 97
Verbindlichkeiten aus Lieferungen und Leistungen 107.318 107.127 191
Verbindlichkeiten gegenüber Verbundenen Unternehmen 19.033 19.033 -
Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht 31.440 30.035 1.405"; 5.51 ;2016;KG;Konzernabschluss;PwC
"in T€ 31.12.2016
davon mit einer Restlaufzeit
bis zu 1 Jahr
davon mit einer Restlaufzeit
über 1 Jahr
Sonstige Verbindlichkeiten 97.523 95.112 2.411
(davon aus Steuern) (34.872)
(davon im Rahmen der sozialen Sicherheit) (4.220)
320.332
31.12.2015
Verbindlichkeiten gegenüber Kreditinstituten 70.738 30.627 40.111
Erhaltene Anzahlungen auf Bestellung 897 794 103
Verbindlichkeiten aus Lieferungen und Leistungen 121.622 121.038 584
Verbindlichkeiten gegenüber Verbundenen Unternehmen 4.896 4.896 -
Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht 23.406 22.238 1.168
Sonstige Verbindlichkeiten 132.585 120.283 12.302
(davon aus Steuern) (22.295)
(davon im Rahmen der sozialen Sicherheit) (4.361)
354.144"; 5.51 ;2016;KG;Konzernabschluss;PwC
"Zum Stichtag lagen Verbindlichkeiten mit einer Restlaufzeit von über 5 Jahren in Höhe von 8.074 T € (i. Vj. 12.234 T €) vor. Für Verbindlichkeiten in Höhe von 39.617 T € sind Sicherheiten in Form von
Grundpfandrechten, Sicherungsübereignungen und sonstigen Rechten bestellt."; 5.51, 42, 43 ;2016;KG;Konzernabschluss;PwC
"Ursächlich für 1.580 T € der Verbindlichkeiten gegenüber Verbundenen Unternehmen und 5.319 T € der Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht, waren Lieferungsund
Leistungsbeziehungen."; 5.51, 7 ;2016;KG;Konzernabschluss;PwC
(11) PASSIVE LATENTE STEUERN; 5.64 ;2016;KG;Konzernabschluss;PwC
"Nach Saldierung mit Aktiven latenten Steuern ergab sich im Konzernabschluss ein Überhang an Passiven latenten Steuern von
1.287 T €. Passivüberhänge aus den Tochtergesellschaften in Höhe von 6.361 T € überstiegen die Aktiven latenten Steuern aus Konsolidierungsmaßnahmen."; 5.64, 25 ;2016;KG;Konzernabschluss;PwC
"Unsaldiert ergeben sich Passive latente Steuern von 18.548 T € sowie Aktive latente Steuern von 17.261 T €. Dabei haben sich die Passiven latenten Steuern um 4.532 T € und die Aktiven latenten Steuern um
1.683 T € im Geschäftsjahr reduziert."; 5.64, 25, 29 ;2016;KG;Konzernabschluss;PwC
"Die Passiven latenten Steuern resultieren überwiegend aus Sachanlagen und Immateriellen Vermögensgegenständen, wohingegen die Aktiven latenten Steuern im Wesentlichen bei Vorräten und Forderungen aus
Finanzdienstleistungen entstanden sind. Latente Steuern auf Verlustvorträge sind nur in geringem Umfang enthalten. Aktivüberhänge aus den Einzelgesellschaften werden nicht angesetzt. Die Berücksichtigung
der Aktivüberhänge hätte im Konzern zu Aktiven latenten Steuern von 56.410 T € geführt."; 5.64, 25, 26 ;2016;KG;Konzernabschluss;PwC
Erläuterungen zur Gewinn- und Verlustrechnung;;2016;KG;Konzernabschluss;PwC
Die Gewinn- und Verlustrechnung wurde nach dem Gesamtkostenverfahren erstellt.; 9.0 ;2016;KG;Konzernabschluss;PwC
(12) UMSATZERLÖSE; 5.66 ;2016;KG;Konzernabschluss;PwC
"Der Umsatz enthält Erlöse aus dem Verkauf von Produkten, vermindert um Skonti und Preisnachlässe, sowie aus der Vermietung oder Verpachtung und der Erbringung von Dienstleistungen. Des Weiteren wird
der Dienstleistungsumsatz aus dem Bank- und Leasinggeschäft ausgewiesen."; 5.66 ;2016;KG;Konzernabschluss;PwC
"Im Zuge des BilRUG wurde die Zusammensetzung der Umsatzerlöse neudefiniert. Bei entsprechender Anwendung dieser Neudefinition auf das Vorjahr, hätten sich die Umsatzerlöse des Jahres 2015 um 13.917
T € auf 3.175.432 T € erhöht."; 2, 5.66, 49 ;2016;KG;Konzernabschluss;PwC
Im Geschäftsjahr 2016 waren in den Umsatzerlösen sonstige Umsätze von 13.666 T € enthalten.; 5.66 ;2016;KG;Konzernabschluss;PwC
NACH UNTERNEHMENSBEREICHEN; 5.66, 48 ;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Baustoffe 1.313.611 1.317.918
Konsumgüter 848.779 763.432
Finanzdienstleistungen 1.108.068 1.019.318
Sonstige 67.677 63.224
Konsolidierung -16.506 -2.377
3.321.629 3.161.515"; 5.66, 48 ;2016;KG;Konzernabschluss;PwC
NACH REGIONEN in T € 2016; 5.66, 48 ;2016;KG;Konzernabschluss;PwC
"2016
Deutschland 2267214
Rest der Welt 13 666
Asien 310758
Nordamerika 227734
Ubriges Europa 502 257
Gesamt 3321629"; 5.66, 48 ;2016;KG;Konzernabschluss;PwC
"2015
Deutschland 2200467
Rest der Welt 13142
Asien 291 565
Nordamerika 208 891
Übriges Europa 447450
3161515"; 5.66, 48 ;2016;KG;Konzernabschluss;PwC
(13) SONSTIGE BETRIEBLICHE ERTRÄGE; 5.69 ;2016;KG;Konzernabschluss;PwC
"In diesem Posten sind im Wesentlichen die aperiodischen Erträge aus der Auflösung von Rückstellungen (19.094 T €), Zuschreibungen im Anlage- und Umlaufvermögen (3.330 T €) sowie Gewinne aus dem
Abgang von Anlagevermögen (3.318 T €) und Wertberichtigungen (2.588 T €) enthalten."; 5.69, 52 ;2016;KG;Konzernabschluss;PwC
Die Sonstigen betrieblichen Erträge beinhalten zudem u. a. Kursgewinne (7.554 T €, i. Vj. 13.390 T €).; 5.69 ;2016;KG;Konzernabschluss;PwC
Bedingt durch die Neudefinition der Umsatzerlöse aus dem BilRUG werden diverse sonstige betriebliche Erträge des Vorjahres in 2016 unter den Umsatzerlösen ausgewiesen.; 2, 5.69 ;2016;KG;Konzernabschluss;PwC
(14) MATERIALAUFWAND; 5.70 ;2016;KG;Konzernabschluss;PwC
"Der Materialaufwand betrug 1.738.187 T € (i. Vj. 1.659.085 T €), wovon 795.870 T € (i. Vj. 808.350 T €) für Roh-, Hilfs-, Betriebsstoffe und Waren und 77.053 T € (i. Vj. 66.780 T €) für bezogene Leistungen
aufgewandt werden. Zusätzlich enthält der Materialaufwand insbesondere Einstandskosten für Mietkaufobjekte, den Aufwand für Ausgangsfrachten, abgegangene Restbuchwerte der verkauften Leasinggegenstände,
Energieaufwand sowie Refinanzierungskosten und Vermittlungsprovisionen aus dem Bank- und Leasinggeschäft."; 5.70 ;2016;KG;Konzernabschluss;PwC
(15) PERSONALAUFWAND; 5.73, 60 ;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Löhne und Gehälter 390.825 377.340
Soziale Abgaben und Aufwendungen für Unterstützung 81.313 75.792
Aufwendungen für Altersversorgung 455 5.196
472.593 458.328"; 5.73, 60 ;2016;KG;Konzernabschluss;PwC
Durchschnittlich waren während des Geschäftsjahres an Mitarbeitern beschäftigt:; 5.73, 58 ;2016;KG;Konzernabschluss;PwC
"2016
Angestellt 4550
Auszubildende 225
Gewerbliche Mitarbeiter 5057
Gesamt 9832"; 5.73, 58 ;2016;KG;Konzernabschluss;PwC
"2015
Angestellt 4281
Auszubildende 193
Gewerbliche Mitarbeiter 4917
9391"; 5.73, 58 ;2016;KG;Konzernabschluss;PwC
"Die Organbezüge für den Verwaltungsrat betrugen im Berichtsjahr 0,9 Mio. € (i. Vj. 0,5 Mio. €). Die Rückstellungen für Pensionen ehemaliger Vorstände beziehungsweise deren Hinterbliebenen beliefen sich auf
26,3 Mio. € (i. Vj. 21,5 Mio. €). Für Bezüge und Pensionen wurden an ehemalige Vorstandsmitglieder beziehungsweise deren Hinterbliebenen 1,3 Mio. € (i. Vj. 1,5 Mio. €) gezahlt."; 5.73, 77, 81 ;2016;KG;Konzernabschluss;PwC
Auf die Angabe der Gesamtbezüge des Vorstandes wird gemäß § 314 Abs. 3 i. V. m. § 286 Abs. 4 HGB verzichtet.; 5.73 ;2016;KG;Konzernabschluss;PwC
(16) ABSCHREIBUNGEN AUF IMMATERIELLE VERMÖGENSGEGENSTÄNDE UND SACHANLAGEN; 5.78 ;2016;KG;Konzernabschluss;PwC
"In den Abschreibungen auf Immaterielle Vermögensgegenstände und Sachanlagen sind Abschreibungen auf Geschäfts- oder Firmenwerte mit 36.560 T € enthalten. Zusätzlich werden hier auch Abschreibungen
auf Umlaufvermögen in Höhe von 322 T € gezeigt."; 5.78 ;2016;KG;Konzernabschluss;PwC
(17) SONSTIGE BETRIEBLICHE AUFWENDUNGEN; 5.80 ;2016;KG;Konzernabschluss;PwC
"Der Posten Sonstige betriebliche Aufwendungen umfasst unter anderem Instandhaltungsaufwendungen (80.049 T €), externe Dienstleistungen (69.661 T €), Werbung (67.542 T €) sowie Leasing- und Mietaufwendungen
(35.861 T €). Darüber hinaus sind Aufwendungen aus Wertberichtigungen auf Forderungen (24.244 T €), Versicherungsaufwendungen (12.866 T €) und Kursverluste (7.452 T €, i. Vj. 11.479 T €) enthalten. Außerdem werden in den Sonstigen betrieblichen Aufwendungen sonstige Steuern in Höhe von 10.269 T € (i. Vj. 9.144 T €) ausgewiesen."; 5.80 ;2016;KG;Konzernabschluss;PwC
Die aperiodischen Aufwendungen betrugen insgesamt 26.911 T € (für Wertberichtigungen auf Forderungen und für Verluste aus dem Abgang von Anlagevermögen).; 5.80, 52 ;2016;KG;Konzernabschluss;PwC
"Das inländische Gesamthonorar an den Konzernabschlussprüfer PricewaterhouseCoopers GmbH Wirtschaftsprüfungsgesellschaft betrug im Berichtsjahr 3.400 T €. Davon betrafen das Honorar für Abschlussprüfungsleistungen
3.062 T €, für Steuerberatungsleistungen 232 T €, für andere Bestätigungsleistungen 52 T € und für sonstige Leistungen 54 T €."; 5.80, 65 ;2016;KG;Konzernabschluss;PwC
(18) BETEILIGUNGSERGEBNIS; 5.81 ;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Erträge aus Ergebnisabführungsverträgen 247 251
Aufwendungen aus Ergebnisabführungsverträgen - -
247 251
Erträge aus Verbundenen Unternehmen 1.670 1.215
Aufwendungen aus Verbundenen Unternehmen 164 5
1.506 1.210
Erträge aus Assoziierten at-equity Unternehmen 10.131 11.735
Aufwendungen aus Assoziierten at-equity Unternehmen 309 1.929
9.822 9.806
Erträge aus Sonstigen assoziierten Unternehmen und Sonstigen Beteiligungen 1.510 21.813
Aufwendungen aus Sonstigen assoziierten Unternehmen und Sonstigen Beteiligungen 129 421
1.381 21.392
12.956 32.659"; 5.81 ;2016;KG;Konzernabschluss;PwC
"Das Ergebnis aus Assoziierten at-equity Unternehmen entspricht grundsätzlich dem Konzernanteil am Jahresüberschuss beziehungsweise -fehlbetrag dieser Unternehmen. Hierin ist auch die Eliminierung von
Zwischenergebnissen berücksichtigt."; 5.81 ;2016;KG;Konzernabschluss;PwC
(19) ZINSERGEBNIS; 5.83 ;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens 424 454
(davon aus Verbundenen Unternehmen) (23) (26)
Sonstige Zinsen und ähnliche Erträge 2.802 4.701
(davon aus Verbundenen Unternehmen) (191) (117)
Zinsen und ähnliche Aufwendungen 15.545 22.049"; 5.83 ;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
(davon aus Verbundenen Unternehmen) (154) (69)
-12.319 -16.894"; 5.83 ;2016;KG;Konzernabschluss;PwC
"Im Zinsergebnis sind Aufwendungen aus der Aufzinsung von Rückstellungen in Höhe von 7.857 T € (i. Vj. 10.885 T €) sowie Erträge aus der Abzinsung von Rückstellungen in Höhe von 568 T € (i. Vj. 873 T
€) enthalten. Zinserträge (26 T €) aus Deckungsvermögen wurden mit den Aufwendungen aus der Aufzinsung verrechnet."; 5.83, 53 ;2016;KG;Konzernabschluss;PwC
(20) STEUERN VOM EINKOMMEN UND ERTRAG; 5.90 ;2016;KG;Konzernabschluss;PwC
"Bei den Steuern vom Einkommen und Ertrag handelt es sich im Wesentlichen um in- und ausländische Körperschaftsteuer sowie inländische Gewerbeertragsteuer der konsolidierten Tochtergesellschaften. Darüber
hinaus ist in der Position latenter Steuerertrag in Höhe von 2.809 T € (i. Vj. 8.984 T €) enthalten."; 5.90, 56 ;2016;KG;Konzernabschluss;PwC
"(21) ERTRÄGE UND AUFWENDUNGEN VON AUSSERGEWÖHNLICHER
GRÖSSENORDNUNG ODER AUSSERGEWÖHNLICHER BEDEUTUNG";;2016;KG;Konzernabschluss;PwC
Im Geschäftsjahr sind keine Erträge oder Aufwendungen von außergewöhnlicher Größenordnung oder außergewöhnlicher Bedeutung angefallen.; 55 ;2016;KG;Konzernabschluss;PwC
Anteilsbesitzliste zum 31.12.2016;;2016;KG;Konzernabschluss;PwC
1. VERBUNDENE KONSOLIDIERTE UNTERNEHMEN;;2016;KG;Konzernabschluss;PwC
"Baustoffe Natursteine Sitz
Anteil.
in %
Basalt-Actien-Gesellschaft Linz am Rhein 100
AK Asphaltmischwerke Kaiserslautern GmbH Ramstein-Miesenbach 75
Allgemeine Baustoff-Handels-Contor GmbH Erfurt 100
AMB Asphalt-Mischwerk Bischofsheim GmbH & Co. KG Bischofsheim 80
AME Asphalt-Mischwerk Eging GmbH Eging am See 82
AML-Asphaltmischwerke GmbH Leipzig Taucha 80
AMM Asphalt-Mischwerke Münsterland GmbH & Co.KG Ladbergen 100
AMW Asphalt-Mischwerke Würzburg GmbH & Co. KG Würzburg 87
AMWE-Asphaltmischwerke GmbH & Co. Kommanditgesellschaft in Schwerin
i. L.
Consrade 51
Asphalt Mischwerk Oyle GmbH & Co. Straßenbaumaterial KG Oyle 76
Baustoffe Natursteine Sitz
Anteil.
in %
Asphalt-Mischwerk Demmin GmbH & Co. Kommanditgesellschaft Berlin 100
Asphalt-Mischwerke Osnabrück GmbH. & Co.KG. Osnabrück 53
Asphalt-Mischwerke Rhein-Pfalz GmbH & Co. KG Albersweiler 52
Atlas Industriebeteiligungsgesellschaft mbH Linz am Rhein 83
AWE Asphaltmischwerk GmbH Cappeln-Nutteln 77
AWE Asphaltmischwerk Walschleben GmbH & Co. KG Walschleben 65
BASALT CZ s.r.o. Zábrusany, Tschechien 100
Basalt Eastern Europe GmbH Linz am Rhein 100
Basalt International GmbH Linz am Rhein 100
Basalt Minerals GmbH Linz am Rhein 100
Basalt s.r.o. Zábrušany, Tschechien 97
BASALTKER Épít?anyag Kereskedelmi Kft. Uzsa, Ungarn 100
Basalt-Kôzépk? K?bányák Kft. Uzsa, Ungarn 75
Basalt-Union Gesellschaft mit beschränkter Haftung Linz am Rhein 76
Basaltwerk Pechbrunn, Gesellschaft mit beschränkter Haftung Pechbrunn 76
Bayerische Asphaltmischwerke GmbH & Co. Kommanditgesellschaft für
Straßenbaustoffe
Hofolding 52
Bergisch-Westerwälder Hartsteinwerke, Zweigniederlassung der Basalt-Actien-
Gesellschaft
Linz am Rhein 100
Bitumina Handel GmbH & Co. KG Linz am Rhein 100
Bitumina Spedition GmbH & Co. KG Linz am Rhein 100
BMH - Basalt - und Mischwerk Herschbach GmbH & Co. Kommanditgesellschaft
Herschbach 51
BORNIT-Werk Aschenborn GmbH Zwickau 62
BVG Baustoff-Vertriebs-Gesellschaft mbH & Co. KG Kirn 100
BWH Basaltwerk Mittelherwigsdorf GmbH & Co. KG Mittelherwigsdorf 51
DEUMA Mischwerke GmbH & Co. KG Taucha 70
DEUTAG Nord Zweigniederlassung der Basalt-Actien-Gesellschaft Hannover 100
DEUTAG Ost Zweigniederlassung der Basalt-Actien-Gesellschaft Berlin 100
DEUTAG West Zweigniederlassung der Basalt-Actien-Gesellschaft Duisburg 100
Baustoffe Natursteine Sitz
Anteil.
in %
Diabaswerk Hirzenhain GmbH & Co. KG Linz am Rhein 55
Diabaswerk Nesselgrund GmbH & Co. KG Floh-Seligenthal 80
Dortmunder Gußasphalt GmbH & Co. KG Dortmund 70
Ems-Jade-Mischwerke GmbH KG. für Straßenbaustoffe Cappeln 81
GAB Gesellschaft zur Aufbereitung von Baustoffen mbH Berlin 100
GBH-Gesellschaft für Baustoff-Aufbereitung und Handel mit beschränkter
Haftung
Brunnthal 100
GbR Asphaltmischwerk Karlsruhe Karlsruhe 75
Global 76 Sp. z o.o. Krakau, Polen 100
H+W Mischwerke GmbH & Co. KG Berlin 100
Hansa-Asphaltmischwerke GmbH & Co. Kommanditgesellschaft für Straßenbaustoffe
Dortmund 100
Hartsteinwerke Bayern-Mitteldeutschland Zweigniederlassung der Basalt-Actien-
Gesellschaft
Erfurt 100
Hollweg, Kümpers & Comp., Zweigniederlassung der Basalt-Actien-Gesellschaft
Rheine 100
HWR Hartsteinwerk Rattenberg GmbH Brunnthal 100
Isoliererzeugnisse Großröhrsdorf GmbH Großröhrsdorf 100
KAM Köhlbrand-Asphaltmischwerke Betriebsgesellschaft mbH & Co. KG Hamburg 100
Kopalnie Surowców Skalnych w Bartnicy Sp. z o.o. ?wierki, Polen 100
Mischwerke Lautzenbrücken GmbH & Co. KG Lautzenbrücken 100
Norddeutsche Naturstein GmbH Flechtingen 100
ODRA-ASFALT Sp. z o.o. Szczecin, Polen 67
OOO ""Basalt"" St. Petersburg, Russische Föderation 100
OOO ""Karjer Sheleiki"" Podporozhie, Russische Föderation 100
Porphyrwerke Weinheim-Schriesheim Aktiengesellschaft Weinheim 100
Sauerländer Asphaltmischwerke GmbH. & Co., Kommanditgesellschaft Brilon 73
Schweden Splitt AB Karlshamn, Schweden 100
?l?skie Kruszywa Naturalne Sp. z o.o. Krapkowice, Polen 100
Südhessische Asphalt-Mischwerke GmbH & Co. KG für Straßenbaustoffe Hanau 76
Baustoffe Natursteine Sitz
Anteil.
in %
Südwestdeutsche Hartsteinwerke Zweigniederlassung der Basalt-Actien-Gesellschaft
Kirn 100
SWA Südwest Asphalt GmbH & Co. KG Iffezheim 65
T E W E Bauchemiegesellschaft mbH Diedersdorf 100
TOV Vyrivskyj Karjer Granitne, Ukraine 100
V D Mischwerk und Recycling GmbH. Offenburg 100
Werhahn & Nauen SE & Co. OHG Neuss 100
Westdeutsche Grauwacke-Union Gesellschaft mit beschränkter Haftung Linz am Rhein 100
Wm. Hilgers GmbH & Co. KG Düsseldorf 100
ZAO KP-Gabbro Kondopoga, Russische Föderation 100
Baustoffe Sitz
Anteil.
in %
Schiefer
Rathscheck Schiefer und Dach-Systeme Zweigniederlassung der Wilh. Werhahn
KG in Neuss
Mayen 100
Canteras Fernandez S.L. Elaboracion S.COM El Barco, Spanien 100
Canteras Fernandez S.L. Explotación S.Com. El Barco, Spanien 100
Canteras Fernandez S.L. Extracción S.COM El Barco, Spanien 100
Castrelos Elaboración S.L.S.COM. El Barco, Spanien 100
I.B. Rathscheck Söhne KG Moselschiefer-Bergwerke Mayen 100
Werhahn International Schiefer GmbH Mayen 100
Werhahn International Schiefer GmbH Sucursal en España El Barco, Spanien 100
Konsumgüter Sitz
Anteil.
in %
ZWILLING J. A. Henckels Aktiengesellschaft Solingen 100
alessandro France EURL Torcy, Frankreich 100
alessandro International GmbH Langenfeld 100
alessandro Schweiz AG Frauenfeld, Schweiz 100
Ballarini Deutschland GmbH Montabaur 100
Ballarini Paolo & Figli S.p.A. Rivarolo Mantovano, Italien 100
Konsumgüter Sitz
Anteil.
in %
Compagnie de la Fecht et du Goût SAS Merville, Frankreich 100
Demeyere G.C.V. Herentals, Belgien 100
Demeyere Zwilling Nederland B.V. Bergen op Zoom, Niederlande 100
Ital Beauty Nippers (India) Pvt. Ltd. Puducherry, Indien 80
JV ZWILLING-RM GmbH Solingen 70
OOO ""ZWILLING J.A. HENCKELS Rus"" Moskau, Russische Föderation 100
Personal Care International Ltd. Hong Kong, China 100
QVS Global Americas, Inc. Sarasota, USA 100
QVS Global China Dongguan, China 100
QVS Global COE Pty. Ltd. South Melbourne, Australien 100
QVS Global HK Ltd. Hong Kong, China 100
QVS Global UK Ltd. Nottingham, Großbritannien 51
Staub Fonderie SARL Merville, Frankreich 100
Staub Participations SAS Merville, Frankreich 100
Tweezerman (India) Pvt. Ltd. Puducherry, Indien 80
Tweezerman International, LLC Wilmington, USA 100
Tweezerman Minority LLC Wilmington, USA 100
United Salon Technologies GmbH Solingen 100
ZWILLING Beauty Group GmbH Solingen 100
ZWILLING Belgien GmbH Solingen 100
Zwilling Demeyere Belgium BVBA Herentals, Belgien 100
ZWILLING International GmbH Solingen 100
ZWILLING J A Henckels MUTFAK VE GÜZELLiK ÜRÜNLERi LiMiTED
?iRKETi
Istanbul, Türkei 100
ZWILLING J.A. HENCKELS (UK) Limited Hitchin, Großbritannien 100
ZWILLING J.A. HENCKELS Brasil Produtos de Cozinha e Beleza Ltda. São Paulo, Brasilien 100
ZWILLING J.A. HENCKELS Canada Ltd. Markham, Kanada 100
ZWILLING J.A. HENCKELS Iberia S.A. Cornellá de Llobregat, Spanien 100
ZWILLING J.A. HENCKELS Italia S.r.l. Buccinasco, Italien 100
Konsumgüter Sitz
Anteil.
in %
ZWILLING J.A. HENCKELS Japan Ltd. Seki-shi, Japan 100
ZWILLING J.A. HENCKELS Kitchenware (Shanghai) Ltd. Shanghai, China 70
ZWILLING J.A. HENCKELS LLC Wilmington, USA 100
ZWILLING J.A. Henckels Retail GmbH Solingen 100
ZWILLING J.A. HENCKELS Scandinavia A/S Ballerup, Dänemark 100
ZWILLING J.A. HENCKELS Shanghai Ltd. Shanghai, China 70
ZWILLING J.A. HENCKELS Taiwan Ltd. Taipei, Taiwan 100
ZWILLING Kitchen India Pvt. Ltd. Chennai, Indien 80
Zwilling Minority GmbH Solingen 100
ZWILLING STAUB FRANCE SAS Paris, Frankreich 100
Finanzdienstleistungen abcfinance Sitz
Anteil.
in %
abcfinance GmbH Köln 100
abc Holding GmbH Neuss 100
abc SME Lease Germany SA Luxemburg, Luxemburg 0
abcbank GmbH Köln 100
abcfinance B.V. Eindhoven, Niederlande 100
abcfinance CF B.V. Utrecht, Niederlande 70
abcfinance GmbH Wien, Österreich 100
C.O.I.N. Lease + Rent Leasing und Miete GmbH Köln 51
debcash Forderungsmanagement GmbH Köln 100
DeTeWe Finance GmbH Köln 100
Dresdner Factoring AG Köln 100
ETL Leasing GmbH & Co. KG Dortmund 51
ETL Leasing Verwaltungsgesellschaft mbH Dortmund 51
Hako Finance GmbH Köln 100
milon financial services GmbH Köln 69
Schneidereit Finance GmbH Köln 100
Finanzdienstleistungen Bank11 Sitz
Anteil.
in %
Bank11 für Privatkunden und Handel GmbH Neuss 100
Bank11direkt GmbH Neuss 100
RevoCar 2014 UG (haftungsbeschränkt) Frankfurt am Main 0
RevoCar 2015 UG (haftungsbeschränkt) Frankfurt am Main 0
RevoCar 2016 UG (haftungsbeschränkt) Frankfurt am Main 0
Sonstige Sitz
Anteil.
in %
Wilh. Werhahn KG Neuss
""Bakerys Taste"" Backzutaten Vertriebsgesellschaft m.b.H. Wels, Österreich 100
Alpha Beteiligungen GmbH Monheim am Rhein 100
Bankhaus Werhahn GmbH Neuss 100
BI Bakery Ingredients Holding GmbH Neuss 100
Charlie Acquisition GmbH Monheim am Rhein 100
Delta Acquisition GmbH Monheim am Rhein 100
DIAMANT CZ spol. s.r.o. Prag, Tschechien 100
Diamant Nahrungsmittel GmbH Wels, Österreich 100
DIAMANT POLSKA Sp. z o.o. Krakau, Polen 100
Golf Acquisition GmbH Neuss 100
Stuart VV GmbH Monheim am Rhein 100
Tondeo Holding GmbH Neuss 100
Werhahn Beteiligungs- und Projektgesellschaft mbH Neuss 100
Werhahn Industrieholding SE Neuss 100
Wilh. Werhahn KG Zweigniederlassung Haus & Grund Neuss 100
WW Achte Acquisition GmbH Monheim am Rhein 100
WW Dritte Acquisition GmbH Monheim am Rhein 100
WW Elfte Acquisition GmbH Monheim am Rhein 100
WW Holding KG Neuss 100
WW Neunte Acquisition GmbH Monheim am Rhein 100
WW Sechste Acquisition GmbH Monheim am Rhein 100
Sonstige Sitz
Anteil.
in %
WW Siebte Acquisition GmbH Monheim am Rhein 100
WW Zehnte Acquisition GmbH Monheim am Rhein 100
Yareto GmbH Neuss 100"; 68 ;2016;KG;Konzernabschluss;PwC
Für eine weitere Gesellschaft wurde die Befreiungsvorschrift des § 313 Abs. 3 S. 1 HGB in Anspruch genommen.; 74 ;2016;KG;Konzernabschluss;PwC
2. ASSOZIIERTE AT-EQUITY UNTERNEHMEN;;2016;KG;Konzernabschluss;PwC
