Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"31.12.2016.
in TEUR
31.12.2015.
in TEUR
Immaterielle Vermögenswerte 86 157
Sachanlagen 17.498 24.416
17.584 24.573
Saldierung –8.762 –5.357
8.821 19.216"; 5.64, 25, 29 ;2016;GmbH;Konzernabschluss;KPMG
Die passiven Latenten Steuern resultieren im Wesentlichen aus der Neubewertung von Vermögensgegenständen im Rahmen des Erwerbs der WPGE und des KWM.; 5.64, 25 ;2016;GmbH;Konzernabschluss;KPMG
2. Gewinn- und Verlustrechnung;;2016;GmbH;Konzernabschluss;KPMG
"Die Konzernumsatzerlöse (inklusive Energiesteuer 99,0 Mio. EUR; Vorjahr: 124,3 Mio. EUR) teilen sich nach Bereichen wie folgt auf:
2016.
Mio. EUR
2015.
Mio. EUR
Versorgungsbereich 2.025,4 2.388,4
Verkehrsbereich 199,5 177,2
2.224,9 2.565,6"; 5.66, 48 ;2016;GmbH;Konzernabschluss;KPMG
"Aufgrund des BilRUG werden seit dem Geschäftsjahr 2016 Geschäftsvorfälle in den Umsatzerlösen ausgewiesen, die vorher unter den sonstigen betrieblichen Erträgen erfasst wurden. Die Vorjahreszahlen wurden
nicht angepasst. Die den Umsatzerlösen neu zugeordneten Geschäftsvorfälle betreffen im Wesentlichen Kostenerstattungen durch Dritte sowie Miet-, Pacht- und Leasingerlöse (Vorjahr: 21,8 Mio. EUR)."; 2, 5.66, 49 ;2016;GmbH;Konzernabschluss;KPMG
Sonstige betriebliche Erträge;;2016;GmbH;Konzernabschluss;KPMG
"In den sonstigen betrieblichen Erträgen sind im Wesentlichen Erträge aus der Auflösung von Rückstellungen in Höhe von 18,8 Mio. EUR (Vorjahr: 13,6 Mio. EUR), Erträge aus dem Verbrauch von Rückstellungen
in Höhe von 3,3 Mio. EUR (Vorjahr: 11,6 Mio. EUR) und Erträge aus dem Abgang von Anlagevermögen in Höhe von 1,0 Mio. EUR (Vorjahr: 1,0 Mio. EUR) enthalten. Zudem sind Erträge aus der Auflösung
des passivischen Unterschiedsbetrages in Höhe von 2,5 Mio. EUR (Vorjahr: 2,1 Mio. EUR) erfasst worden."; 5.69 ;2016;GmbH;Konzernabschluss;KPMG
Materialaufwand;;2016;GmbH;Konzernabschluss;KPMG
"Der Materialaufwand verteilt sich auf:
2016.
Mio. EUR
2015.
Mio. EUR
Versorgungsbereich 1.455,3 1.767,7
Verkehrsbereich 52,1 33,5
1.507,4 1.801,2"; 5.70 ;2016;GmbH;Konzernabschluss;KPMG
"Der Materialaufwand umfasst im Versorgungsbereich überwiegend Bezugskosten für Strom und Gas sowie den Brennstoffeinsatz in den Kraftwerken. Zudem sind hier die Bezugskosten des Energiehandels für
Strom und Gas mit 620,4 Mio. EUR (Vorjahr: 833,3 Mio. EUR) enthalten. Die Aufwendungen für bezogenen Leistungen betragen 232,1 Mio. EUR (Vorjahr: 190,1 Mio. EUR)."; 5.71, 5.72 ;2016;GmbH;Konzernabschluss;KPMG
"Aufgrund des BilRUG werden seit dem Geschäftsjahr 2016 Geschäftsvorfälle im Materialaufwand ausgewiesen, die vorher unter den sonstigen betrieblichen Aufwendungen erfasst wurden. Die Vorjahreszahlen
wurden nicht angepasst. Die neu zugeordneten Geschäftsvorfälle betreffen im Wesentlichen Konzessionsabgaben sowie Miet-, Pacht- und Leasingaufwendungen (Vorjahr 63,9 Mio. EUR)."; 2, 5.70 ;2016;GmbH;Konzernabschluss;KPMG
Personalaufwand;;2016;GmbH;Konzernabschluss;KPMG
"Der Personalaufwand betrifft im Wesentlichen Löhne und Gehälter (283,8 Mio. EUR; Vorjahr: 270,0 Mio. EUR)."; 5.73 ;2016;GmbH;Konzernabschluss;KPMG
Sonstige betriebliche Aufwendungen;;2016;GmbH;Konzernabschluss;KPMG
"Die sonstigen betrieblichen Aufwendungen beinhalten insbesondere Dienst- und Fremdleistungen mit 23,6 Mio. EUR (Vorjahr: 28,5 Mio. EUR) und Zuführungen zu Rückstellungen mit 3,1 Mio. EUR (Vorjahr:
2,7 Mio. EUR)."; 5.80 ;2016;GmbH;Konzernabschluss;KPMG
Sonstige Zinsen und ähnlichen Erträge;;2016;GmbH;Konzernabschluss;KPMG
"Die sonstigen Zinsen und ähnlichen Erträge enthalten im Wesentlichen Zinserträge aus Genussscheinen von 1,1 Mio. EUR (Vorjahr: 1,3 Mio. EUR) und Erträge aus der Abzinsung von Rückstellungen 0,6 Mio.
EUR (Vorjahr: 0,4 Mio. EUR)."; 5.85 ;2016;GmbH;Konzernabschluss;KPMG
Abschreibungen auf Finanzanlagen;;2016;GmbH;Konzernabschluss;KPMG
Die Beteiligung an der GHG - Gasspeicher Hannover GmbH, Ronnenberg, (GHG) wurde um 2,1 Mio. EUR sowie das an die GHG ausgereichte Gesellschafterdarlehen um 9,0 Mio. EUR abgewertet.; 5.87 ;2016;GmbH;Konzernabschluss;KPMG
"Der beizulegende Zeitwert beträgt 46,7 Mio. EUR und liegt somit unter dem Buchwert des Investment in den Speicherbetrieb von 57,9 Mio. EUR. Eine außerplanmäßige Abschreibung auf den beizulegenden
Zeitwert nach § 253 Abs. 3 S.6 HGB wurde unterlassen, da die Wertminderung voraussichtlich nicht von Dauer ist. Das Geschäftsfeld Speicherung befindet sich derzeit aufgrund des Marktumfeldes in der
Gasversorgung in einem schwierigen wirtschaftlichen Umfeld. Infolge der sich abzuzeichnenden Umstellung von L-Gas auf H-Gas sowie einer erwarteten Konsolidierung des Gasmarktes und im Zuge der
Energiewende wird künftig jedoch mit steigendem Bedarf an Speicherkapazitäten gerechnet, sodass von einer vorübergehenden Wertminderung ausgegangen wird."; 5.87 ;2016;GmbH;Konzernabschluss;KPMG
Sonstige Zinsen und ähnlichen Aufwendungen;;2016;GmbH;Konzernabschluss;KPMG
"Die sonstigen Zinsen und ähnlichen Aufwendungen enthalten Aufwendungen aus Darlehen und Zinsderivaten 28,3 Mio. EUR (Vorjahr: 30,6 Mio. EUR) und aus der Aufzinsung von Rückstellungen 9,8 Mio.
EUR (Vorjahr: 9,3 Mio. EUR)."; 5.88, 53 ;2016;GmbH;Konzernabschluss;KPMG
Steuern vom Einkommen und vom Ertrag;;2016;GmbH;Konzernabschluss;KPMG
"Im Wesentlichen handelt es sich um Aufwendungen für Gewerbesteuer in Höhe von 7,7 Mio. EUR (Vorjahr: 5,5 Mio. EUR) und Körperschaftsteuer einschließlich Solidaritätszuschlag von 5,1 Mio. EUR (Vorjahr:
4,0 Mio. EUR). Die Erträge aus latenten Steuern betragen 15,6 Mio. EUR (Vorjahr: 11,9 Mio. EUR). Dem stehen Aufwendungen aus latenten Steuern von 1,8 Mio. EUR (Vorjahr: 0,0 Mio. EUR) gegenüber."; 5.90, 56 ;2016;GmbH;Konzernabschluss;KPMG
IV. Derivative Finanzinstrumente;;2016;GmbH;Konzernabschluss;KPMG
"Derivative Finanzinstrumente (Sicherungsgeschäfte) werden zur Absicherung von zukünftigen Zahlungsströmen aus Darlehen und Wareneinkäufen (Grundgeschäfte) eingesetzt. Dafür werden als Sicherungsinstrumente
Zinsswaps, Devisentermingeschäfte, Kohleswaps und Ölswaps abgeschlossen. Zur Absicherung werden sowohl Mikro-, Makro- als auch Portfoliobewertungseinheiten und Vertragsportfolien nach
IDW ÖFA 3 gebildet. Die bilanzielle Abbildung der Bewertungseinheiten erfolgt anhand der Einfrierungsmethode. Ein dokumentiertes, angemessenes und funktionsfähiges internes Risikomanagement wurde
eingerichtet."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
"Die Marktwerte der Zinsderivate bestimmen sich durch Abzinsung der erwarteten künftigen Zahlungsströme über die Restlaufzeit des Kontrakts auf Basis einer Zinsstrukturkurve zum Stichtag. Dies bezüglich
werden die für die Restlaufzeit der Derivate abgeleiteten Forward-Preise verwendet. Der Marktwert von Commodity - Termingeschäften errechnet sich auf Basis des am Abschlussstichtag geltenden Terminkurses
für die jeweilige Restlaufzeit des Kontrakts im Vergleich zum kontrahierten Kurs."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
1. Bewertungseinheiten;;2016;GmbH;Konzernabschluss;KPMG
"Im Berichtsjahr wurden Darlehen in Höhe von 653,8 Mio. EUR durch Payer Swaps abgesichert und in Bewertungseinheiten einbezogen. Die aus den variablen Zinszahlungen der Darlehen resultierenden Zinsrisiken
werden durch die zu erhaltenden variablen Zinszahlungen aus den Payer Swaps eliminiert. Der beizulegende Zeitwert der in Bewertungseinheiten einbezogenen Payer Swaps beträgt -150,3 Mio. EUR, die durch
die Bildung der Bewertungseinheiten vermiedene Drohverlustrückstellung beträgt 134,8 Mio. EUR. Im Rahmen der Bildung der Bewertungseinheiten wurden negative Marktwerte von 13,8 Mio. EUR sowie 1,6
Mio. EUR aus Ineffektivität als Drohverlustrückstellung berücksichtigt. Die variabel verzinslichen Darlehen werden für Zeiträume von bis zu 25 Jahren abgesichert. In die Bewertungseinheiten werden mit hoher
Wahrscheinlichkeit zu erwartende Transaktionen in Form von Darlehensprolongationen in Höhe von 462,6 Mio. EUR einbezogen. Die Notwendigkeit der Darlehensprolongationen resultiert aus dem geplanten
Finanzierungsbedarf der Stadtwerke Hannover AG. Die Ermittlung der prospektiven Effektivität erfolgt mit Hilfe von Sensitivitätsanalysen. Die Ermittlung der retrospektiven Effektivität erfolgte anhand der
Dollar Offset Methode."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
"Darüber hinaus wurden Kohlebeschaffungsgeschäfte von 65,6 Mio. EUR durch Devisentermingeschäfte abgesichert. Die Devisentermingeschäfte gleichen die aus den Warentermingeschäften resultierenden
Währungsrisiken aus. Der beizulegende Zeitwert der Devisentermingeschäfte beträgt 7,3 Mio. EUR. Es wurden keine Drohverlustrückstellungen vermieden. Die Devisentermingeschäfte haben Laufzeiten von
bis zu zwei Jahren. Sowohl die Ermittlung der prospektiven als auch retrospektiven Effektivität erfolgt anhand der Critical Term Match Methode."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
"Zur Absicherung von Preisänderungsrisiken aus mit hoher Wahrscheinlichkeit zu erwartenden Gasverträgen von 15,1 GWh werden Ölswaps eingesetzt. Die Ölswaps haben ein Nominalwert von -6,7 Mio. EUR
und einen beizulegenden Zeitwert von 0,3 Mio. EUR. Die durch die Bildung der Bewertungseinheiten vermiedene Drohverlustrückstellung aus Ölswaps beträgt 0,5 Mio. EUR. Aus Ineffektivität resultiert eine
Drohverlustrückstellung von 0,1 Mio. EUR. Die abgeschlossenen Sicherungsgeschäfte haben Laufzeiten von bis zu zwei Jahren."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
"Hinsichtlich der Preisänderungsrisiken gleichen sich die gegenläufigen Zahlungsströme aus Grund- und Sicherungsgeschäften im Rahmen der abgesicherten Risiken zukünftig vollständig aus. Die Wirksamkeiten
der Sicherungsbeziehungen wird anhand der Critical Term Match Methode nachgewiesen."; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
In die Bewertungseinheiten werden mit hoher Wahrscheinlichkeit zu erwartende Transaktionen einbezogen. Zum Stichtag lagen keine Hinweise auf den Nichteintritt dieser Transaktionen vor.; 31, 32 ;2016;GmbH;Konzernabschluss;KPMG
2. Derivate für Strom- und Gasgeschäfte;;2016;GmbH;Konzernabschluss;KPMG
"Zur Absicherung und Optimierung der Strom- und Gasgeschäfte (Preisrisikomanagement) und zur Vermarktung eigener Kraftwerkskapazitäten (Kraftwerksoptimierung) werden Strom- und Gasforwards eingesetzt
und an der deutschen Strombörse EEX (European Energy Exchange) Gas- und Stromfutures gehandelt. Der Einsatz dieser derivativen Finanzinstrumente ist durch eine interne Richtlinie geregelt. Im Rahmen der
Vertragsportfolien nach IDW ÖFA 3 und der back to back Kontrahierung wurden folgende Derivate abgeschlossen:";;2016;GmbH;Konzernabschluss;KPMG
"Zum Abschlussstichtag betragen Nominal- und Marktwert der am Stichtag schwebenden Geschäfte:
Marktwert.
TEUR
Nominalwert.
TEUR
Strom-Forwards
Beschaffung 40.411 -172.122
Absatz -46.557 218.572
Stromfutures
Kauf 9.312 -48.607
Verkauf -6.469 57.053
Gas-Forwards
Beschaffung 5.386 -506.442
Absatz 2.043 327.954
Gasfutures
Kauf 6.815 -74.127
Verkauf 57 39.709";;2016;GmbH;Konzernabschluss;KPMG
"Im Saldierungsbereich der Portfolien nach IDW ÖFA 3 sind unter anderem folgende Derivate für Emissionszertifkate- und Kohlegeschäfte enthalten:
Marktwert.
TEUR
Nominalwert.
TEUR
Emissionszertifikatekäufe (physisch) 504 -29.786
Emissionszertifikateverkäufe (physisch) 139 732
Kohlekäufe (finanziell) 8.503 -33.027
Kohleverkäufe (finanziell) -118 433";;2016;GmbH;Konzernabschluss;KPMG
V. Ergänzende Angaben;;2016;GmbH;Konzernabschluss;KPMG
"1. Angaben zur Belegschaft
2016 2015
Gewerbliche Arbeitnehmer 2.362 2.404
Angestellte 2.519 2.477
Auszubildende 248 228
5.129 5.109"; 58 ;2016;GmbH;Konzernabschluss;KPMG
"2. Gesamtbezüge der Geschäftsführung und Aufsichtsrat
Die Gesamtbezüge der Geschäftsführung im Geschäftsjahr 2016 betrugen 1,5 Mio. EUR (Vorjahr: 1,6 Mio. EUR). Dem Aufsichtsrat wurden 50 TEUR (Vorjahr: 59 TEUR) vergütet."; 77 ;2016;GmbH;Konzernabschluss;KPMG
3. Honorare des Abschlussprüfers;;2016;GmbH;Konzernabschluss;KPMG
"Für die im Geschäftsjahr 2016 erbrachten Dienstleistungen des Abschlussprüfers KPMG AG Wirtschaftsprüfungsgesellschaft, Hannover, sind 0,4 Mio. EUR Honorare für die Prüfung von Einzel- und Konzernabschlüssen
(Abschlussprüfungsleistungen) als Aufwand erfasst worden. Aufwendungen für andere Bestätigungsleistungen sind im Geschäftsjahr 2016 in Höhe von 46 TEUR sowie Steuerberatungsleistungen
in Höhe von 3 TEUR angefallen. Sonstige Leistungen der KPMG AG wurden in Höhe von 14 TEUR erbracht."; 65 ;2016;GmbH;Konzernabschluss;KPMG
4. Haftungsverhältnisse, sonstige finanzielle Verpflichtungen sowie nicht in der Bilanz enthaltene Geschäfte; 44 ;2016;GmbH;Konzernabschluss;KPMG
"Aus Bürgschaften, Patronatserklärungen und der Besicherung fremder Verbindlichkeiten ergeben sich mögliche Verpflichtungen in Höhe von 11,4 Mio. EUR. Aufgrund der guten Geschäftsentwicklung und
Liquiditätslage der Beteiligungsunternehmen wird zurzeit nicht von einer Inanspruchnahme ausgegangen. Es entfallen 10,5 Mio EUR auf Sicherheiten für Verbindlichkeiten der Danpower Baltic."; 44, 45 ;2016;GmbH;Konzernabschluss;KPMG
Es bestehen Verpflichtungen aus Miet-, Pacht- und Leasingverhältnissen, mit einer Restlaufzeit von bis zu 83 Jahren in Höhe von 58,7 Mio. EUR.; 62 ;2016;GmbH;Konzernabschluss;KPMG
"Darüber hinaus bestehen am Stichtag Verpflichtungen aus dem Pachtvertrag mit einer Restlaufzeit von 16 Jahren für das Gasversorgungsnetz mit der Gasnetzgesellschaft Laatzen-Nord. Der Pachtzins für das
Gasnetz ist variabel. Im Geschäftsjahr 2016 sind Pachtaufwendungen von 1,0 Mio. EUR entstanden."; 62 ;2016;GmbH;Konzernabschluss;KPMG
Zum 31. Dezember 2016 besteht gegenüber Lieferanten ein offenes Bestellobligo in Höhe von 89,2 Mio. EUR.; 62 ;2016;GmbH;Konzernabschluss;KPMG
"Für die Beschaffung von Stadtbahnen bestehen zum Bilanzstichtag nach Abzug von erwarteten Zuschüssen Verpflichtungen in Höhe von 30,5 Mio. EUR, die in den Geschäftsjahren 2017 bis 2029 fällig werden.
Für die Beschaffung von Bussen bestehen nach Abzug von erwarteten Zuschüsse Verpflichtungen in Höhe von 5,3 Mio. EUR, die im Geschäftsjahr 2017 fällig werden. Außerdem bestehen zum 31. Dezember
2016 Verpflichtungen für die Sanierung des Verwaltungssitzes der üstra am Hohen Ufer in Höhe von 7,2 Mio. EUR, die im Geschäftsjahr 2017 fällig sind."; 62 ;2016;GmbH;Konzernabschluss;KPMG
Aus langfristigen Wartungs-, Instandhaltungs-, Service- und Energiebezugsverträgen sowie Finanzierungsvereinbarungen ergeben sich Verpflichtungen von 116,6 Mio. EUR.; 62 ;2016;GmbH;Konzernabschluss;KPMG
5. Mitteilung zum Corporate Governance Kodex;;2016;GmbH;Konzernabschluss;KPMG
"Vorstand und Aufsichtsrat der üstra haben eine nach § 161 AktG vorgeschriebene Erklärung am 11. Mai 2016 abgegeben und den Aktionären durch Veröffentlichung im Bundesanzeiger vom 17. Mai 2016 und
auf der Homepage der Gesellschaft unter www.uestra.de dauerhaft zugänglich gemacht.";;2016;GmbH;Konzernabschluss;KPMG
6. Angaben zum Jahresergebnis der VVG;;2016;GmbH;Konzernabschluss;KPMG
Die Geschäftsführung schlägt vor, den Bilanzgewinn der VVG von 4,7 Mio. EUR in voller Höhe auszuschütten.; 63 ;2016;GmbH;Konzernabschluss;KPMG
7. Nachtragsbericht;;2016;GmbH;Konzernabschluss;KPMG
Im Versorgungs- sowie im Verkehrsbereich liegen keine Vorgänge von besonderer Bedeutung nach dem Ende des Geschäftsjahres vor, die eine wesentliche Auswirkung auf den Geschäftsverlauf hatten.; 64 ;2016;GmbH;Konzernabschluss;KPMG
8. Versicherung der gesetzlichen Vertreter;;2016;GmbH;Konzernabschluss;KPMG
"Nach bestem Wissen versichern wir, dass gemäß den anzuwendenden Rechnungslegungsgrundsätzen für die Jahresberichterstattung der Konzernabschluss ein den tatsächlichen Verhältnissen entsprechendes Bild
der Vermögens-, Finanz- und Ertragslage des Unternehmens vermittelt und im Konzernlagebericht der Geschäftsverlauf einschließlich des Geschäftsergebnisses und die Lage des Unternehmens so dargestellt
sind, dass ein den tatsächlichen Verhältnissen entsprechendes Bild vermittelt wird sowie die wesentlichen Chancen und Risiken der voraussichtlichen Entwicklung des Unternehmens beschrieben sind.";;2016;GmbH;Konzernabschluss;KPMG
Hannover, den 10.05.2017;;2016;GmbH;Konzernabschluss;KPMG
Konzernanlagengitter;;2016;GmbH;Konzernabschluss;KPMG
"Konzernanlagengitter
Anschaffungs- / Herstellungskosten
Stand 01.01.2016.
TEUR
Zugänge .
TEUR
Abgänge .
TEUR
Umbuchungen (Zug.+ /
Abg.-).
TEUR
Veränderung Konsolidierungskreis
.
TEUR
Stand 31.12.2016.
TEUR
A. Anlagevermögen
I. Immaterielle Vermögensgegenstände
1. entgeltlich erworbene
Konzessionen, gewerbliche
Schutzrechte
und ähnliche Rechte und
Werte
176.856 4.137 339 3.736 343 184.733
2. Geschäfts- oder Firmenwert
1.957 0 0 0 0 1.957
3. Geleistete Anzahlungen
1.158 1.518 0 -187 0 2.489
179.971 5.655 339 3.549 343 189.179
Anschaffungs- / Herstellungskosten
Stand 01.01.2016.
TEUR
Zugänge .
TEUR
Abgänge .
TEUR
Umbuchungen (Zug.+ /
Abg.-).
TEUR
Veränderung Konsolidierungskreis
.
TEUR
Stand 31.12.2016.
TEUR
II. Sachanlagen
1. Grundstücke, grundstücksgleiche
Rechte und
Bauten einschl. der Bauten
auf fremden Grundstücken
514.616 4.769 1.069 2.788 1.439 522.543
2. Erzeugungs-, Gewinnungs-
und Bezugsanlagen
1.663.102 5.636 4.580 3.358 92.678 1.760.194
3. Verteilungsanlagen 1.464.633 31.954 9.303 7.955 0 1.495.239
4. Gleisanlagen, Streckenausrüstung
und Sicherungsanlagen
495.620 2.481 227 34.254 0 532.128
5. Fahrzeuge für Personenverkehr
517.234 3.874 15.134 13.851 0 519.825
6. Technische Anlagen
und Maschinen
585.238 20.980 9.396 7.782 0 604.604
7. Andere Anlagen, Betriebs-
u. Geschäftsausstattung
174.819 6.012 4.081 3.175 0 179.925
8. Geleistete Anzahlungen
und Anlagen im Bau
210.413 55.522 741 -76.712 0 188.482
5.625.675 131.228 44.531 -3.549 94.117 5.802.940
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
24.650 25 61 -10 -12.021 12.583
2. Ausleihungen an verbundene
Unternehmen
2.780 0 186 0 0 2.594
3. Beteiligungen 25.840 4 0 10 0 25.854
Anschaffungs- / Herstellungskosten
Stand 01.01.2016.
TEUR
Zugänge .
TEUR
Abgänge .
TEUR
Umbuchungen (Zug.+ /
Abg.-).
TEUR
Veränderung Konsolidierungskreis
.
TEUR
Stand 31.12.2016.
TEUR
4. Anteile an at equity bewerteten
Unternehmen
483.501 500 0 0 0 484.001
5. Ausleihungen an Unternehmen,
mit denen ein
Beteiligungsverhältnis
besteht
54.576 2.655 1.281 0 0 55.950
6. Wertpapiere des Anlagevermögens
13.947 2.986 0 0 0 16.933
7. Sonstige Ausleihungen 860 0 269 0 0 591
606.154 6.170 1.797 0 -12.021 598.506
Anlagevermögen gesamt 6.411.800 143.053 46.667 0 82.439 6.590.625
Kumulierte Abschreibungen
Stand 01.01.2016.
TEUR
Abschreibungen des
Geschäftsjahres.
TEUR
Zuschreibungen .
TEUR
Abgänge .
TEUR
Umbuchungen .
TEUR
Veränderung Konsoli-.
dierungskreis.
TEUR
Stand 31.12.2016.
TEUR
A. Anlagevermögen
I. Immaterielle Vermögensgegenstände
1. entgeltlich erworbene
Konzessionen,
gewerbliche Schutzrechte
und ähnliche
Rechte und Werte
161.678 6.559 0 155 6 0 168.088
2. Geschäfts- oder Firmenwert
690 116 0 0 0 0 806
3. Geleistete Anzahlungen
0 0 0 0 0 0 0
162.368 6.675 0 155 6 0 168.894
II. Sachanlagen
Kumulierte Abschreibungen
Stand 01.01.2016.
TEUR
Abschreibungen des
Geschäftsjahres.
TEUR
Zuschreibungen .
TEUR
Abgänge .
TEUR
Umbuchungen .
TEUR
Veränderung Konsoli-.
dierungskreis.
TEUR
Stand 31.12.2016.
TEUR
1. Grundstücke,
grundstücksgleiche
Rechte und Bauten
einschl. der Bauten
auf fremden Grundstücken
339.908 7.915 0 989 0 0 346.834
2. Erzeugungs-, Gewinnungs-
und Bezugsanlagen
1.364.326 79.286 0 4.073 0 0 1.439.539
3. Verteilungsanlagen 1.170.061 31.177 0 9.040 0 0 1.192.198
4. Gleisanlagen, Streckenausrüstung
und
Sicherungsanlagen
281.202 20.831 0 0 0 0 302.033
5. Fahrzeuge für Personenverkehr
401.030 11.746 0 15.134 0 0 397.642
6. Technische Anlagen
und Maschinen
347.501 29.170 0 9.000 0 0 367.671
7. Andere Anlagen,
Betriebs- u. Geschäftsausstattung
153.053 7.880 0 3.931 -6 0 156.996
8. Geleistete Anzahlungen
und Anlagen
im Bau
0 0 0 0 0 0 0
4.057.081 188.005 0 42.167 -6 0 4.202.913
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
12.004 0 0 0 0 0 12.004
2. Ausleihungen an
verbundene Unternehmen
0 0 0 0 0 0 0
3. Beteiligungen 12.114 0 1.369 0 0 0 10.745
Kumulierte Abschreibungen
Stand 01.01.2016.
TEUR
Abschreibungen des
Geschäftsjahres.
TEUR
Zuschreibungen .
TEUR
Abgänge .
TEUR
Umbuchungen .
TEUR
Veränderung Konsoli-.
dierungskreis.
TEUR
Stand 31.12.2016.
TEUR
4. Anteile an at equity
bewerteten Unternehmen
-19.926 57.588 49.145 1 0 0 -11.484
5. Ausleihungen an
Unternehmen, mit denen
ein Beteiligungsverhältnis
besteht
0 9.015 0 0 0 0 9.015
6. Wertpapiere des
Anlagevermögens
0 0 0 0 0 0 0
7. Sonstige Ausleihungen
12 0 1 0 0 0 11
4.204 66.603 50.515 1 0 0 20.291
Anlagevermögen gesamt
4.223.653 261.283 50.515 42.323 0 0 4.392.098
Buchwerte
Stand 31.12.2016.
TEUR
Stand 31.12.2015.
TEUR
A. Anlagevermögen
I. Immaterielle Vermögensgegenstände
1. entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte
16.645 15.178
2. Geschäfts- oder Firmenwert 1.151 1.267
3. Geleistete Anzahlungen 2.489 1.158
20.285 17.603
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschl.
der Bauten auf fremden Grundstücken
175.709 174.708
2. Erzeugungs-, Gewinnungs- und Bezugsanlagen 320.655 298.776
3. Verteilungsanlagen 303.041 294.572
Buchwerte
Stand 31.12.2016.
TEUR
Stand 31.12.2015.
TEUR
4. Gleisanlagen, Streckenausrüstung und Sicherungsanlagen 230.095 214.418
5. Fahrzeuge für Personenverkehr 122.183 116.204
6. Technische Anlagen und Maschinen 236.933 237.737
7. Andere Anlagen, Betriebs- u. Geschäftsausstattung 22.929 21.766
8. Geleistete Anzahlungen und Anlagen im Bau 188.482 210.413
1.600.027 1.568.594
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen 579 12.646
2. Ausleihungen an verbundene Unternehmen 2.594 2.780
3. Beteiligungen 15.109 13.726
4. Anteile an at equity bewerteten Unternehmen 495.485 503.427
5. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
46.935 54.576
6. Wertpapiere des Anlagevermögens 16.933 13.947
7. Sonstige Ausleihungen 580 848
578.215 601.950
Anlagevermögen gesamt 2.198.527 2.188.147";;2016;GmbH;Konzernabschluss;KPMG
Anteilsbesitzliste;;;;;
