Ab PDF s. 1 bis 16;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2014;;;;;;;;;;;;;;;;;;;;;;;;
der New-York Hamburger Gummi-Waaren Compagnie Aktiengesellschaft, Lüneburg;;;;;;;;;;;;;;;;;;;;;;;;
; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;
"Restlaufzeit
davon
Insgesamt bis 1 Jahr über 1 bis 5 Jahre über 5 Jahre
TEUR TEUR TEUR TEUR
1. Verbindlichkeiten gegenüber Kreditinstituten 6.115 1.223 2.310 2.582
(Vj.) (6.438) (1.347) (1.938) (3.153)
Restlaufzeit
davon
Insgesamt bis 1 Jahr über 1 bis 5 Jahre über 5 Jahre
TEUR TEUR TEUR TEUR
2. Verbindlichkeiten aus Lieferungen und Leistungen 581 581 0 0
(Vj.) (1.301) (1.301) (0) (0)
3. Verbindlichkeiten gegenüber verbundenen Unternehmen 749 749 0 0
(Vj.) (245) (245) (0) (0)
4. Sonstige Verbindlichkeiten 2.922 1.984 824 114
(Vj.) (1.908) (733) (1.052) (123)
10.367 4.537 3.134 2.696
(Vj.) (9.892) (3.626) (2.990) (3.276)"; 4.54, 4.56, 4.58, 4.60, 49, 50 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Hinsichtlich der Fristigkeiten verweisen wir auf unsere Ausführungen im Lagebericht unter Abschnitt D.; 4.51 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Verbindlichkeiten gegenüber Kreditinstituten waren zum Bilanzstichtag seitens der Gesellschaft durch eine erstrangige Grundschuld, durch die Sicherungsübereignung aller mit diesen Darlehen refinanzierten Maschinen sowie durch eine Verpfändung von Guthabenkonten besichert.; 4.54, 51, 52 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Für die Verbindlichkeiten aus Lieferungen und Leistungen bestehen branchenübliche Eigentumsvorbehalte an den gelieferten Gegenständen.; 4.56, 51, 52 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
In den sonstigen Verbindlichkeiten sind Verbindlichkeiten aus Steuern in Höhe von TEUR 51 (Vj. TEUR 60) sowie Verbindlichkeiten im Rahmen der sozialen Sicherheit in Höhe von TEUR 21 (Vj. TEUR 1) enthalten. Teilweise sind die Verbindlichkeiten zum Bilanzstichtag durch Sicherungsübereignungen, Grundschulden und durch die Verpfändung von Beteiligungen besichert.; 4.60, 4.61, 4.62, 51, 52 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
6. Latente Steuern; 4.65, 4.35, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Latente Steuern werden insbesondere für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansatzsätzen von selbst geschaffenen immateriellen Vermögensgegenständen, Pensions- und sonstigen Rückstellungen und Finanzanlagen ermittelt.; 4.65, 4.35, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Grundsätzlich sind neben den zeitlichen Bilanzierungsunterschieden auch steuerliche Verlustvorträge zu berücksichtigen. Aufgrund der Verlusthistorie wurden zum Abschlussstichtag auf die Verlustvorträge keine aktiven latenten Steuern angesetzt.; 4.65, 4.35, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Bewertung der temporären Differenzen erfolgt mit dem für das Geschäftsjahr geltenden Steuersatz für Körperschaftsteuer und Gewerbesteuer in Höhe von insgesamt 30,525 %.; 4.65, 4.35, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Eine sich insgesamt ergebende Steuerbelastung würde in der Bilanz als passive latente Steuer angesetzt werden. In 2014 ergab sich ein Überhang an aktiven latenten Steuern. Dieser wurde in Ausübung des Wahlrechts nach § 274 Abs. 1 Satz 2 HGB nicht aktiviert.; 4.65, 4.35, 27 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
E. Erläuterungen zur Gewinn- und Verlustrechnung;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
1. Umsatzerlöse; 4.66 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
1.1. Aufgliederung der Erlöse nach Sparten; 4.66, 58 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"2014 2013
TEUR TEUR
Haarpflegegeräte 6.664 6.332
Technische Kautschukerzeugnisse 2.534 4.749
Thermoplasterzeugnisse 2.876 3.553
Sonstige Erlöse 1 1
Erlösschmälerungen -24 -15
12.051 14.620"; 4.66, 58 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
1.2. Aufgliederung der Erlöse nach Regionen; 4.66, 58 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"2014 2013
TEUR TEUR
Inland 9.971 11.439
Ausland 2.080 3.181
12.051 14.620"; 4.66, 58 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
2. Periodenfremde Erträge und Aufwendungen; 4.69, 4.80, 65 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Unter den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von TEUR 370 ausgewiesen. Es handelt sich im Wesentlichen um Erträge aus der Zuschreibung auf die Betriebsimmobilie (TEUR 197; Vj. TEUR 0) sowie aus der Auflösung von Verbindlichkeiten (TEUR 88; Vj. TEUR 0) und Rückstellungen (TEUR 81; Vj. TEUR 164)."; 4.69, 65 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Unter den sonstigen betrieblichen Aufwendungen sind periodenfremde Aufwendungen in Höhe von TEUR 521 ausgewiesen, die neben den Aufwendungen aus der Ausbuchung von Forderungen (TEUR 111; Vj. TEUR 114) insbesondere Aufwendungen für die Bildung einer Drohverlustrückstellung im Zusammenhang mit der vereinbarten Zinssicherung (TEUR 357; Vj. TEUR 0) betreffen."; 4.80, 65 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Darüber hinaus bestehen in Höhe von TEUR 140 periodenfremde Erträge im außerordentlichen Ergebnis, die aus der Korrektur der anderen Gewinnrücklagen resultieren.; 4.69, 65, 68 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3. Aufwendungen für Altersversorgung; 4.75 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
In dem Posten „Soziale Abgaben und Aufwendungen für Altersversorgung“ sind Aufwendungen für Altersversorgung in Höhe von TEUR 120 (Vj. TEUR 146) enthalten.; 4.75, 4.76 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
4. Verbundene Unternehmen; 4.86, 4.89 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die sonstigen Zinsen und ähnlichen Erträge betreffen mit TEUR 2 (Vj. TEUR 3) verbundene Unternehmen.; 4.85, 4.86 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Aufwendungen aus Verlustübernahmen gegenüber verbundenen Unternehmen wurden in Höhe von TEUR 1 (Vj. TEUR 9) getragen.; 4.100 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
5. Auf- und Abzinsung von Rückstellungen; 4.88 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Zinsen und ähnliche Aufwendungen betreffen in Höhe von TEUR 200 (Vj. TEUR 0) Aufwendungen aus der Aufzinsung von Rückstellungen.; 4.88, 66 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
6. Außerordentliche Abschreibung auf Finanzanlagen; 4.87, 64 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die außerplanmäßigen Abschreibungen entfallen in Höhe von TEUR 76 (Vj.: TEUR 560) auf Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht. Im Vorjahr wurden darüber hinaus außerordentliche Abschreibungen auf Beteiligungen in Höhe von TEUR 500 ausgewiesen.; 4.87, 64 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
F. Sonstige Angaben;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"1. Personal
Die Zahl der während des Berichtsjahres durchschnittlich beschäftigten Mitarbeiter stellt sich im Vorjahresvergleich wie folgt dar:"; 80 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"2014 2013
TEUR TEUR
Gewerbliche Arbeitnehmer 91 109
Angestellte 37 37
128 146"; 80 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Im Berichtsjahr waren insgesamt 8 Auszubildende im Unternehmen tätig.; 80 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
2. Haftungsverhältnisse, Eventualverbindlichkeiten und sonstige finanzielle Verpflichtungen; 54 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Gegenüber der NYH Solar- und Umwelttechnik GmbH i.L., Lüneburg, mit der ein Ergebnisabführungsvertrag besteht, wurde eine Patronatserklärung seitens der NYH AG abgegeben.; 54 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Das Risiko einer Inanspruchnahme aus der Patronatserklärung wird als gering eingestuft, da es aufgrund des fehlenden operativen Betriebs der Tochtergesellschaft keine Anzeichen dafür gibt, dass das verbundene Unternehmen seinen Verpflichtungen nicht nachkommen wird.; 55 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Betriebsstätte in Lüneburg wurde durch Mittel des Europäischen Fonds für regionale Entwicklung (EFRE), des Landes Niedersachsen sowie des Bundes (Gemeinschaftsaufgabe) in Höhe von EUR 1,8 Mio. durch die NBank, Hannover, gefördert. Im Rahmen dieser Förderung hat sich die NYH AG u.a. verpflichtet, bis zum 30. April 2016 mindestens 149 Dauerarbeitsplätze (davon 8 Ausbildungsplätze) zur Verfügung zu stellen. Die seit 2014 umgesetzten Sanierungsmaßnahmen hatten zur Folge, dass die NYH AG aufgrund von Personaleinsparungen die Auflage „Zweckbindungszeitraum Dauerarbeitsplätze“ nicht erfüllen konnte und demzufolge ein Widerrufsrecht des Zuwendungsbescheides und somit eine Eventualverbindlichkeit bestand. Mit Schreiben vom 25. Oktober 2016 wurde der Gesellschaft durch die NBank mitgeteilt, dass der Zuwendungsbescheid nicht widerrufen wurde und das Fördervorhaben als erfolgreich abgeschlossen betrachtet wird.; 54 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Zum Bilanzstichtag 31. Dezember 2014 bestanden keine weiteren Haftungsverhältnisse oder nennenswerte finanzielle Verpflichtungen.; 54 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
3. Derivative Finanzinstrumente; 57 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Zur Absicherung von Zinsrisiken hat die NYH AG bei der Norddeutsche Landesbank Girozentrale ein Zinssatz-Swapgeschäft mit einem Bezugsbetrag in Höhe von TEUR 3.000 und einer Laufzeit vom 30. Oktober 2007 bis zum 30. Oktober 2022 abgeschlossen. Der Marktwert des Swaps zum Bilanzstichtag 31. Dezember 2014 setzt sich zusammen aus der Bewertung der aktuellen Zinscoupons mit den Marktpreisen sowie der bis zum Bilanzstichtag aufgelaufenen Stückzinsen.; 57 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Alle Werte sind vom Zeitpunkt ihrer Fälligkeit auf den Bilanzstichtag unter Berücksichtigung marktgerechter Zinsstrukturkurven zu Barwerten diskontiert. Der negative Marktwert beträgt zum 31. Dezember 2014 TEUR -367. In Höhe des negativen Marktwertes wurde mangels Vorliegen einer Bewertungseinheit eine Rückstellung für drohende Verluste gebildet.; 30, 57 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
4. Konzernabschluss; 92 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die NYH AG erstellt als oberstes Mutterunternehmen einen Konzernabschluss für das Geschäftsjahr 2014. Dieser wird in Anwendung von § 315a Abs. 3 HGB in Übereinstimmung mit den International Financial Reporting Standards in der von der EU übernommenen Fassung aufgestellt. Der Konzernabschluss wird am Unternehmenssitz in Lüneburg einsehbar sein sowie im Bundesanzeiger offengelegt.; 92 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
5. Anteilsbesitz; 94 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Anteile an verbundenen Unternehmen betreffen:; 94 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Beteiligungsquote.
%
Eigenkapital.
TEUR
Jahresergebnis* .
TEUR
NYH Solar- und Umwelttechnik GmbH i.L., Lüneburg* 100,00 26 0
Tacitus Capital AG, Lüneburg 77,67 82 -5
Hercules Sägemann GmbH, Lüneburg** 77,67 -396 218
New York Hamburger Environment AG (nunmehr: New York Hamburger Industrie AG, Lüneburg 95,76 -11 -9"; 94 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
*  Mit der NYH Solar- und Umwelttechnik GmbH besteht ein Beherrschungs- und Ergebnisabführungsvertrag, so dass regelmäßig ein Jahresergebnis von EUR 0,00 ausgewiesen wird.; 94 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
**  Die Hercules Sägemann GmbH war zum 31. Dezember 2014 eine 100 % Tochtergesellschaft der Tacitus Capital AG. Auf der Hauptversammlung der Tacitus Capital AG am 29. August 2016 wurde der Verschmelzung der Hercules Sägemann AG auf die Tacitus Capital AG mit Wirkung zum 1. Januar 2016 zugestimmt. Im Verschmelzungsvertrag wurde die Änderung der Firma in Hercules Sägemann AG vereinbart.; 94 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
6. Honorare des Abschlussprüfers; 89 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Es wird auf die Angaben im Konzernanhang der NYH AG verwiesen.; 89 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
7. Angaben gemäß § 160 Abs. 1 Nr. 8 AktG; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Beteiligungen an der Gesellschaft wurden nach § 21 Abs. 1 Wertpapierhandelsgesetz („WpHG“) mitgeteilt und wie folgt nach § 26 Abs. 1 WpHG veröffentlicht:; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Sven Rickertsen, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 26. November 2008 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 04. November 2008 die Schwelle von 3 %, 5 % der Stimmrechte überschritten hat und an diesem Tag 6,84 % (das entspricht 36.280 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Frau Birthe Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 23. Januar 2014 mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 09. Januar 2014 die Schwelle von 3 %, 5 % und 10 % der Stimmrechte überschritten hat und an diesem Tag 11,8 % (das entspricht 944.988 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Frau Birthe Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 24. Januar 2014 in Korrektur mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 09. Januar 2014 die Schwelle von 3 %, 5 % und 10 % der Stimmrechte überschritten hat und an diesem Tag 11,82 % (das entspricht 944.988 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Patrio Plus AG, Lüneburg, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 23. Januar 2014 mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 09. Januar 2014 die Schwelle von 10 %, 5 % und 3 % der Stimmrechte unterschritten hat und an diesem Tag 2,2% (das entspricht 175.320 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Patrio Plus AG, Lüneburg, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 27. Januar 2014 in Korrektur mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 09. Januar 2014 die Schwelle von 10 %, 5 % und 3 % der Stimmrechte unterschritten hat und an diesem Tag 2,19 % (das entspricht 175.320 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Frau Birthe Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 18. März 2014 mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 07. März 2014 die Schwelle von 15 % und 20 % der Stimmrechte überschritten hat und an diesem Tag 23,88 % (das entspricht 109.892 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Bernd Menzel Handelsgesellschaft mbH, Hamburg, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 18. März 2014 mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 07. März 2014 die Schwelle von 5 % und 3 % der Stimmrechte unterschritten hat und an diesem Tag 0,00 % (das entspricht 0 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Bernd Menzel Handelsgesellschaft mbH, Hamburg, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 14. Mai 2014 in Korrektur mitgeteilt, dass ihr Stimmrecht an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 07. März 2014 die Schwelle von 5 % und 3 % der Stimmrechte unterschritten hat und an diesem Tag 0,00 % (das entspricht 0 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Frau Birthe Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 14. Mai 2014 in Korrektur mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 07. März 2014 die Schwelle von 15%, 20% und 25% der Stimmrechte überschritten hat und an diesem Tag 27,01 % (das entspricht 2.159.892 Stimmrechte) betragen hat. 3,13 % der Stimmrechte (das entspricht 250.000 Stimmrechte) sind Frau Menzel gemäß § 22 Abs. 1, Satz 1, Nr. 6 WpHG zuzurechnen. Zugerechnete Stimmrechte werden dabei gehalten über folgende Aktionäre, deren Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG jeweils 3 % oder mehr beträgt: Leon Menzel.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Bernd Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 14. Mai 2014 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 07. März 2014 die Schwelle von 15 %, 10% und 5% der Stimmrechte unterschritten hat und an diesem Tag 3,13 % (das entspricht 250.000 Stimmrechte) betragen hat. 3,13 % der Stimmrechte (das entspricht 250.000 Stimmrechte) sind Herrn Menzel gemäß § 22 Abs. 1, Satz 1, Nr. 6 WpHG zuzurechnen. Zugerechnete Stimmrechte werden dabei gehalten über folgende Aktionäre, deren Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG jeweils 3 % oder mehr beträgt: Leon Menzel.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Leon Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 03. Juni 2014 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 03. November 2010 die Schwelle von 3 % der Stimmrechte überschritten hat und an diesem Tag 3,13 % (das entspricht 250.000 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Leon Menzel, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 10. Juni 2014 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 03. November 2010 die Schwelle von 3 % der Stimmrechte überschritten hat und an diesem Tag 3,74 % (das entspricht 250.000 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Bernd Menzel Handelsgesellschaft mbH, Hamburg, Deutschland hat uns gemäß § 21 Abs. 1 WpHG am 21. Juli 2014 mitgeteilt, dass ihr Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 20. Dezember 2010 die Schwelle von 10 % der Stimmrechte unterschritten hat und an diesem Tag 9,79 % (das entspricht 782.904 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Leon Menzel, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 05. August 2014 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 03. November 2010 die Schwelle von 3 % der Stimmrechte überschritten hat und an diesem Tag 3,57 % (das entspricht 250.000 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Wolfgang Kreuzer, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 24. November 2014 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, Deutschland, ISIN:DE0006765506, WKN: 676550, am 20. Oktober 2014 die Schwelle von 5 % der Stimmrechte überschritten hat und an diesem Tag 5,55 % (das entspricht 443.527 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Rolf Pasemann, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 22. Mai 2015 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 16. Juli 2012 die Schwelle von 3 % überschritten hat und an diesem Tag 3,75 % (das entspricht 300.093 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
