,annotation_original,annotation_unique,annotation_unique_extra,blob
3599,84,E44,E44,Den Mitgliedern der Gesellschafterversammlung wurden im Geschäftsjahr 2016 Gesamtbezüge von insgesamt 160 TEUR gewährt.
3600,83,E43,E43,Geschäftsführung
3601,83,E43,E43,Komplementärin der KG ist die Finanz Informatik Verwaltungsgesellschaft mbH mit Sitz in Frankfurt am Main mit einem gezeichneten Kapital von 81.600 EUR.
3602,83,E43,E43,Sie führt die Geschäfte der KG derzeit mit fünf Geschäftsführern.
3603,83,E43,E43,Der Geschäftsführung der Komplementär-GmbH gehörten im Geschäftsjahr 2016 an:
3604,83,E43,E43,"Franz-Theo Brockhoff, Vorsitzender
Willi Bär
Detlev Klage
Andreas Schelling
Michael Schürmann"
3605,84,E44,E44,Die Gesamtbezüge der Geschäftsführung betrugen in 2016 3.993 TEUR.
3606,88,E49,E49,Ehemalige Geschäftsführer
3607,88,E49,E49,An frühere Geschäftsführer wurden in 2016 3.535 TEUR gezahlt; die Pensionsrückstellungen für frühere Geschäftsführer und deren Hinterbliebenen belaufen sich auf 52.623 TEUR.
3608,81,H134,H134,Geschäfte mit nahe stehenden Unternehmen und Personen
3609,81,H134,H134,Geschäfte zu nicht üblichen Marktkonditionen mit nahestehenden Unternehmen und Personen gemäß § 285 Nr. 21 HGB wurden nicht getätigt.
3610,71,E38d,E38d,Gesamthonorar des Abschlussprüfers
3611,71,E38d,E38d,Bezüglich der Angabe der Wirtschaftsprüferhonorare gemäß § 285 Nr. 17 HGB verweisen wir auf den Anhang im Konzernabschluss.
3612,65,H102,H102,Außerbilanzielle Geschäfte
3613,65,H102,H102,"Die Gesellschaft hat Grundstücke und Gebäude am Standort Hannover sowie die dazugehörige Finanzierung in fünf Zweckgesellschaften ausgegliedert. Die Restbuchwerte dieser Grundstücke und Gebäude belaufen sich am 31.12.2016 auf insgesamt 81,6 Mio. EUR."
3614,45,H65,H65,Haftungsverhältnisse
3615,"45, 46","H65, H66","H65, H66","Die Finanz Informatik hat Garantieerklärungen gegenüber der Nord/LB Norddeutsche Landesbank - Girozentrale - und der Nord/Lux Norddeutsche Landesbank Luxembourg S.A.; Luxemburg, bezüglich eines Objektfinanzierungsmodells bis zu einer Höhe von 11.888 TEUR (i. Vj. 13.386 TEUR) abgegeben. Darüber hinaus hat die Gesellschaft aus Garantieverträgen mit der NordLB und der Nord LB Luxemburg die uneingeschränkte, betraglich unbegrenzte, unbefristete und unwiderrufliche Garantie gegenüber der NordLB und Nord LB Luxemburg aus Vertragsverhältnissen im Zusammenhang mit zwei Zweckgesellschaften übernommen. Zum Bilanzstichtag und darüber hinaus ist bis zum Zeitpunkt der Aufstellung der Bilanz hieraus keine Inanspruchnahme erkennbar."
3616,66,H104,H104,Sonstige finanzielle Verpflichtungen
3617,66,H104,H104,"Der Gesamtbetrag der sonstigen finanziellen Verpflichtungen gemäß § 285 Nr. 3a HGB beläuft sich auf 1.757,2 Mio. EUR, davon entfallen 342,7 Mio. EUR auf verbundene Unternehmen und 65,9 Mio. EUR auf Unternehmen, mit denen ein Beteiligungsverhältnis besteht. Es handelt sich dabei im Wesentlichen um Verpflichtungen aus Miet-, Leasing- und Wartungsverträgen für Hard- und Software sowie Büroräume."
3618,66,H104,H104,Die Finanz Informatik GmbH & Co. KG ist Mitglied der Zusatzversorgungskasse für die Gemeinden und Gemeindeverbände in Wiesbaden (ZVK Wiesbaden) bzw. in Emden (Emder ZVK) und hat einen großen Teil ihrer Mitarbeiter entsprechend der Satzung bzw. des Statuts der beiden ZVK'n versichert.
3619,66,H104,H104,ZVK Wiesbaden:
3620,66,H104,H104,"Der Gesamt-Umlagesatz teilt sich in eine Umlage und einen Sanierungsbeitrag des Arbeitgebers zur Deckung der Altlasten auf. Im Jahr 2016 belief sich die Summe der umlagefähigen Gehälter auf 132,8 Mio. EUR. Vom 01.01. bis 30.06.2016 betrug der Gesamt-Umlagesatz 6,2 % zuzüglich 2,3% Sanierungsbeitrag. Ab 01.07.2016 erhöhte sich der Gesamt-Umlagesatz auf 6,6 % zuzüglich 2,3 % Sanierungsbeitrag. Über die Beibehaltung/den Wegfall des Sanierungsbeitrages entscheiden die Kassen und ihre Mitglieder satzungsgemäß je nach Finanzlage in der Zukunft."
3621,66,H104,H104,"Seit 2003 sind auch Mitarbeiter im kapitalgedeckten Abrechnungsverband der ZVK Wiesbaden versichert. Der Beitragssatz beträgt 4,8 %. Im Jahr 2016 belief sich die Summe der beitragsfähigen Gehälter auf 13,2 Mio. EUR. "
3622,66,H104,H104,Emder ZVK:
3623,66,H104,H104,"Seit 2012 beträgt der Beitragssatz 5,0 % im Rahmen eines kapitalgedeckten Systems. Zusätzlich wird eine Rentenumlage von 2,2 % entrichtet. Im Jahr 2016 betrug das beitragspflichtige Entgelt 107,8 Mio. EUR. Zusätzlich war für Mitarbeiter, die im Rahmen des Tarifsozialplans Strukturverbesserung an den Standort Hannover gewechselt sind, ein beitragspflichtiges Entgelt in Höhe von 3,2 Mio. EUR zur berücksichtigen. Hier war ausschließlich der Beitragssatz in Höhe von 5,0 % zu berücksichtigen."
3624,63,FS57a,FS57a,Belegschaft
3625,63,FS57a,FS57a,Die durchschnittliche Anzahl Mitarbeiter betrug 3.727 (Vorjahr: 3.809); am Jahresende waren 3.721 Mitarbeiter (Vorjahr: 3.770) sowie 141 Auszubildende (Vorjahr: 126) beschäftigt.
3626,63,FS57a,FS57a,"Die Anzahl der Mitarbeiterkapazitäten betrug durchschnittlich 3.279 (Vorjahr: 3.314), am Jahresende 3.290 (Vorjahr: 3.304) sowie 141 Auszubildende (Vorjahr: 126)."
3627,68,None,None,Nachtragsbericht
3628,68,None,None,Nach Abschluss des Geschäftsjahres 2016 sind keine Vorgänge von besonderer Bedeutung eingetreten.
3629,67,None,None,Ergebnisverwendung
3630,67,None,None,"Das Geschäftsjahr 2016 schließt mit einem Jahresüberschuss in Höhe von 59.016.938,57 € ab. Die Geschäftsführung schlägt vor, den Jahresüberschuss gemäß § 20 des Gesellschaftsvertrags auf die Konten derKommanditisten zu verteilen."
3631,15,H17a,H17a,Entwicklung des Anlagevermögens
3632,15,H17a,H17a,"Anschaffungs- und Herstellungskosten
Stand 01.01.2016.
Euro
Zugänge.
Euro
Abgänge.
Euro
Umbuchungen/ Umgliederungen
.
Euro
Stand 31.12.2016.
Euro
Immaterielle Vermögensgegenstände
Entgeltlich erworbene gewerbliche
Schutzrechte und
ähnliche Rechte
692.584.843,15 82.868.845,07 105.567.337,23 3.284.244,58 673.170.595,57
geleistete Anzahlungen auf
Software
7.033.556,10 31.485.819,35 79.960,00 -3.281.768,70 35.157.646,75
699.618.399,25 114.354.664,42 105.647.297,23 2.475,88 708.328.242,32"
3633,15,H17a,H17a,"Anschaffungs- und Herstellungskosten
Stand 01.01.2016.
Euro
Zugänge.
Euro
Abgänge.
Euro
Umbuchungen/ Umgliederungen
.
Euro
Stand 31.12.2016.
Euro
Grundstücke und Bauten einschließlich
den Bauten auf
fremden Grundstücken
201.301.511,49 1.798.402,96 1.222.369,23 -12.011.824,95 189.865.720,27
technische Anlagen und Maschinen
622.632.909,61 81.990.281,26 47.738.951,38 31.378.262,24 688.262.501,73
andere Anlagen, Betriebsund
Geschäftsausstattung
38.163.706,46 2.964.069,65 4.373.635,11 0,00 36.754.141,00
geleistete Anzahlungen und
Anlagen im Bau
19.368.913,17 738.196,74 0,00 -19.368.913,17 738.196,74
881.467.040,73 87.490.950,61 53.334.955,72 -2.475,88 915.620.559,74
Finanzanlagen
Anteile an verbundenen Unternehmen
49.797.899,16 12.507.108,02 0,00 0,00 62.305.007,18
Ausleihungen an verbundene
Unternehmen
64.078.472,02 25.000.000,00 25.881.583,14 0,00 63.196.888,88
Beteiligungen 961.143,52 0,00 77.155,72 0,00 883.987,80
Ausleihungen an Unternehmen,
mit denen ein Beteiligungsverhältnis
besteht
29.628,91 510.964,00 19.100,04 0,00 521.492,87
sonstige Ausleihungen 4.672.601,18 0,00 4.348.874,48 0,00 323.726,70
119.539.744,79 38.018.072,02 30.326.713,38 0,00 127.231.103,43
1.700.625.184,77 239.863.687,05 189.308.966,33 0,00 1.751.179.905,49"
3634,"15, 16","H17a, H17b","H17a, H17b","Entwicklung der Abschreibungen
Stand 01.01.2016.
Euro
Zugänge.
Euro
Zuschreibungen.
Euro
Abgänge.
Euro
Umbuchungen/ Umgliederungen
.
Euro
Stand 31.12.2016.
Euro
Immaterielle Vermögensgegenstände"
3635,"15, 16","H17a, H17b","H17a, H17b","Entwicklung der Abschreibungen
Stand 01.01.2016.
Euro
Zugänge.
Euro
Zuschreibungen.
Euro
Abgänge.
Euro
Umbuchungen/ Umgliederungen
.
Euro
Stand 31.12.2016.
Euro
Entgeltlich erworbene gewerbliche
Schutzrechte
und ähnliche Rechte
621.693.675,65 60.731.752,65 0,00 105.567.337,23 0,00 576.858.091,07
geleistete Anzahlungen
auf Software
0,00 0,00 0,00 0,00 0,00 0,00
621.693.675,65 60.731.752,65 0,00 105.567.337,23 0,00 576.858.091,07
Sachanlagen
Grundstücke und Bauten
einschließlich den Bauten
auf fremden Grundstücken
100.927.559,56 5.272.482,86 0,00 824.289,23 0,00 105.375.753,19
technische Anlagen und
Maschinen
429.713.099,61 82.724.484,50 0,00 47.703.198,38 0,00 464.734.385,73
andere Anlagen, Betriebs-
und Geschäftsausstattung
26.949.297,87 2.980.122,65 0,00 4.160.862,11 0,00 25.768.558,41
geleistete Anzahlungen
und Anlagen im Bau
0,00 0,00 0,00 0,00 0,00 0,00
557.589.957,04 90.977.090,01 0,00 52.688.349,72 0,00 595.878.697,33
Finanzanlagen
Anteile an verbundenen
Unternehmen
0,00 0,00 0,00 0,00 0,00 0,00
Ausleihungen an verbundene
Unternehmen
11.071.400,00 0,00 0,00 0,00 0,00 11.071.400,00
Beteiligungen 0,00 0,00 0,00 0,00 0,00 0,00
Ausleihungen an Unternehmen,
mit denen ein
Beteiligungsverhältnis
besteht
0,00 0,00 0,00 0,00 0,00 0,00
sonstige Ausleihungen 78.221,03 0,00 21.891,88 0,00 0,00 56.329,15"
3636,"15, 16","H17a, H17b","H17a, H17b","Entwicklung der Abschreibungen
Stand 01.01.2016.
Euro
Zugänge.
Euro
Zuschreibungen.
Euro
Abgänge.
Euro
Umbuchungen/ Umgliederungen
.
Euro
Stand 31.12.2016.
Euro
11.149.621,03 0,00 21.891,88 0,00 0,00 11.127.729,15
1.190.433.253,72 151.708.842,661) 21.891,88 158.255.686,95 0,00 1.183.864.517,55"
3637,15,H17a,H17a,"Buchwert
31.12.2016.
Euro
31.12.2015.
Euro
Immaterielle Vermögensgegenstände
Entgeltlich erworbene gewerbliche Schutzrechte und ähnliche
Rechte
96.312.504,50 70.891.167,50
geleistete Anzahlungen auf Software 35.157.646,75 7.033.556,10
131.470.151,25 77.924.723,60
Sachanlagen
Grundstücke und Bauten einschließlich den Bauten auf fremden
Grundstücken
84.489.967,08 100.373.951,93
technische Anlagen und Maschinen 223.528.116,00 192.919.810,00
andere Anlagen, Betriebs- und Geschäftsausstattung 10.985.582,59 11.214.408,59
geleistete Anzahlungen und Anlagen im Bau 738.196,74 19.368.913,17
319.741.862,41 323.877.083,69
Finanzanlagen
Anteile an verbundenen Unternehmen 62.305.007,18 49.797.899,16
Ausleihungen an verbundene Unternehmen 52.125.488,88 53.007.072,02
Beteiligungen 883.987,80 961.143,52
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
521.492,87 29.628,91
sonstige Ausleihungen 267.397,55 4.594.380,15
116.103.374,28 108.390.123,76
567.315.387,94 510.191.931,05
1) ohne Abschreibungen auf Vermögensgegenstände des Umlaufvermögens"
3638,,None,None,Anhang 
3639,,None,None,Anhang für das Geschäftsjahr 2016
3640,113,H151,H151,Die Gesellschaft unterliegt dem deutschen Handelsrecht. Sie ist wie folgt im Handelsregister eingetragen:
3641,113,H151,H151,"Firmenname: DB Cargo Aktiengesellschaft (vormals DB Schenker Rail Aktiengesellschaft)
Firmensitz: Mainz
Registergericht: Amtsgericht Mainz
Handelsregister–Nummer: HR B 7498"
3642,"8.0, 7","H7, H6","H7.0, H6","Der Jahresabschluss der DB Cargo AG ist nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) und des Aktiengesetzes (AktG) in der aktuell gültigen Fassung sowie der Verordnung über die Gliederung des Jahresabschlusses von Verkehrsunternehmen aufgestellt. Um die Klarheit der Darstellung zu verbessern, sind gesetzlich vorgesehene Posten der Bilanz und der Gewinn- und Verlustrechnung (GuV) zusammengefasst. Der Anhang enthält die erforderlichen Einzelangaben und Erläuterungen. Soweit Beziehungen der Gesellschaft zu DB Mobility Logistics (DB ML AG) erläutert werden, bestehen diese mit Wirkung vom 26. August 2016 mit der Deutsche Bahn AG (DB AG) als Rechtsnachfolger, da zu diesem Zeitpunkt
die DB ML AG auf die DB AG verschmolzen wurde."
3643,8.0,H7,H7.0,Die DB Cargo AG betreibt neben Eisenbahnverkehr auch Serviceeinrichtungen in Form von Wartungseinrichtungen im Sinne von Anlage 2 Nr. 2 Buchstaben e und f Eisenbahnregulierungsgesetz (ERegG) Damit sind die Pflichten zur getrennten Rechnungslegung nach § 12 Abs. 2 ERegG zu beachten. Im Übrigen wird auch auf die Anlage zum Anhang verwiesen.
3644,,None,None,(1) Bilanzierungs- und Bewertungsmethoden
3645,8.0,H7,H7.0,"Die Bilanzierungs- und Bewertungsmethoden sind, mit Ausnahme der sich durch die Einführung des BilRUG ergebenden Änderungen, gegenüber dem Vorjahr im Wesentlichen unverändert. Sich ergebende, wesentliche Änderungen werden an der betroffenen Stelle dieses Anhangs erläutert."
3646,8.2,H7,H7.2,"Entgeltlich erworbene immaterielle Anlagegegenstände (Kundenstamm), mit Ausnahme geringwertiger Software, sind mit ihren Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen angesetzt. Erworbene, im Einzelfall geringwertige Software wird im Anschaffungsjahr vollständig als Aufwand verrechnet."
3647,"8.1, 10","H7, H11","H7.1, H11",Aufgrund wesentlicher Projekte im Zusammenhang mit den Digitalisierungsaktivitäten wird im DB Konzern seit dem Berichtsjahr das Wahlrecht gemäß § 248 Abs. 2 HGB zur Aktivierung selbst geschaffener immaterieller Vermögensgegenstände ausgeübt. Die Bewertung erfolgt zu Herstellungskosten abzüglich planmäßiger linearer Abschreibungen. In Höhe des aktivierten Betrages (55 Mio. €) ist gemäß § 268 Abs. 8 S.1 HGB eine potentielle Abführungssperre entstanden. Die Beträge sind bei den Rückstellungen erläutert.
3648,8.2,H7,H7.2,Der bei der DB Cargo AG aktivierte entgeltlich erworbene Kundenstamm wurde über den voraussichtlichen Zeitraum der Nutzung (5 Jahre) planmäßig abgeschrieben
3649,8.1,H7,H7.1,Nach dem 31. Dezember 2015 selbst geschaffene immaterielle Vermögensgegenstände des Anlagevermögens werden planmäßig über 10 Jahre abgeschrieben.
3650,8.7,H7,H7.7,"Das Sachanlagevermögen ist mit Anschaffungs- oder Herstellungskosten und, soweit abnutzbar, unter Berücksichtigung planmäßiger Abschreibungen bewertet. Außerplanmäßige Abschreibungen auf niedrigere beizulegende Werte werden gegebenenfalls vorgenommen."
3651,"8.7, 9","H7, H10a","H7.7, H10a","Die Herstellungskosten umfassen neben den Einzelkosten auch Material- und Fertigungsgemeinkosten sowie planmäßige Abschreibungen, soweit diese durch die Fertigung veranlasst sind. Gemeinkosten und Abschreibungen sind auf Basis der bei normaler Beschäftigung und unter wirtschaftlichen Bedingungen anfallenden Kosten ermittelt. Zinsen auf Fremdkapital und Verwaltungskosten werden nicht in die Herstellungskosten einbezogen."
3652,8.7,H7,H7.7,"Anschaffungspreisminderungen, die dem Vermögensgegenstand einzeln zugeordnet werden können, werden von den Anschaffungskosten abgesetzt."
3653,8.7,H7,H7.7,Die planmäßigen Abschreibungen erfolgen unter Zugrundelegung der betriebsgewöhnlichen Nutzungsdauern linear „pro rata temporis“. Die Nutzungsdauern der wesentlichen Gruppen sind folgender Tabelle zu entnehmen:
3654,8.7,H7,H7.7,"Bahnkörper, Brücken, Bahnübergänge 25 – 75
Gleisanlagen 13 – 26
Gebäude, Hallen und Überdachungen 10 – 50
Übrige bauliche Anlagen 10 – 33
Signalanlagen 20
Fernmeldeanlagen 8
Bahnstromanlagen 10 – 20
Schienenfahrzeuge 15 – 30
Sonstige technische Anlagen, Maschinen und Fahrzeuge 5 – 20
Betriebs- und Geschäftsausstattung 3 – 13
Kundenstamm 5
Selbst geschaffene Software 10"
3655,8.7,H7,H7.7,Geringwertige Anlagegegenstände im Einzelwert bis 2.000 € werden im Zugangsjahr voll abgeschrieben und im Anlagengitter als Abgang ausgewiesen.
3656,8.12,H7,H7.12,"Finanzanlagen sind mit Anschaffungskosten, gegebenenfalls - bei voraussichtlich dauerhafter oder vorübergehender Wertminderung - unter Vornahme außerplanmäßiger Abschreibungen auf den niedrigeren beizulegenden Wert, ausgewiesen."
3657,8.20,H7,H7.20,"Die Vorräte sind zu Anschaffungs- oder Herstellungskosten bewertet, bei Roh-, Hilfs- und Betriebsstoffen wird überwiegend die Durchschnittsmethode angewandt (zu den Bestandteilen der Herstellungskosten siehe Erläuterungen zum Anlagevermögen). Risiken in den Beständen, die sich aus eingeschränkter Verwendbarkeit, langer Lagerdauer, Preisänderungen am Beschaffungsmarkt oder sonstigen Wertminderungen ergeben, sind durch Abwertungen berücksichtigt."
3658,8.25,H7,H7.25,"Forderungen und sonstige Vermögensgegenstände sind mit ihrem Nennbetrag angesetzt, soweit nicht in Einzelfällen ein niedrigerer Wertansatz geboten ist. Erkennbaren insolvenz- oder bonitätsbedingten Risiken wird durch Einzel- bzw. pauschalierten Einzelwertberichtigungen Rechnung getragen. Pauschalwertberichtigungen werden in Höhe von 1 % des Nettoforderungsbetrages gebildet. Aufwendungen für Wertberichtigungen aufgrund von reklamationsbedingten Risiken (Preisstellung, Leistungserbringung u.ä.) werden im Regelfall als Erlösschmälerungen von den Umsatzerlösen berücksichtigt."
3659,8.33,H7,H7.33,"Bankguthaben sind zu Anschaffungskosten bewertet, soweit nicht in Einzelfällen ein niedrigerer Wertansatz geboten ist."
3660,8.36,H7,H7.36,"Vermögensgegenstände, die dem Zugriff aller Gläubiger entzogen sind und ausschließlich der Erfüllung von Schulden aus Altersversorgungsverpflichtungen oder vergleichbaren, langfristig fälligen Verpflichtungen dienen, sind gemäß § 246 Abs. 2 Satz 2 HGB mit diesen Schulden verrechnet."
3661,8.36,H7,H7.36,Das Saldierungsgebot gilt auch für korrespondierende Aufwendungen und Erträge aus der Auf- bzw. Abzinsung der Schulden und aus der Bewertung dieser Vermögensgegenstände. Die zur Saldierung herangezogenen Vermögensgegenstände werden gemäß § 253 Abs. 1 Satz 4 HGB vollständig zum beizulegenden Zeitwert auf der Basis von Marktwerten am Bilanzstichtag bewertet. Für die mit den Vermögensgegenständen verbundenen Verpflichtungen ist der § 253 Abs. 1 Satz 3 HGB einschlägig.
3662,8.36,H7,H7.36,"Bei der DB Cargo AG wird das Deckungsvermögen, das der Erfüllung von Schulden aus Altersversorgungsverpflichtungen (sogenannte Contractual-Trust-Arrangements, CTA) dient, mit der entsprechenden Pensionsverpflichtung verrechnet. Saldiert werden auch die korrespondierenden Aufwendungen und Erträge aus der Auf- bzw. Abzinsung der Pensionsverpflichtungen (einschließlich der Erfolgswirkungen aus der Änderung des Rechnungszinsfußes) und aus der Bewertung sowie den laufenden Erträgen des Deckungsvermögens. Der sich ergebende Saldo wird im Zinsergebnis ausgewiesen."
3663,"8.36, 38","H7, H46","H7.36, H46","Der beizulegende Zeitwert übersteigt zum 31. Dezember 2016 die Anschaffungskosten des Deckungsvermögens. Der potenziell abführungsgesperrte Betrag wird durch die korrespondierende Aufstockung der Pensionsverpflichtung von der garantierten Mindestverpflichtung auf den Zeitwert des Deckungsvermögens vollständig kompensiert, so dass aus der Bewertung des Deckungsvermögens kein abführungsgesperrter Ertrag entstanden ist."
3664,8.36,H7,H7.36,Die DB Cargo AG hat darüber hinaus langfristig fällige Verpflichtungen aus Wertguthaben für Langzeitkonten. Diese werden gemäß § 246 Abs. 2 Satz 2 HGB mit den durch den beauftragten Treuhänder verwalteten Kapitalanlagen verrechnet. Aufgrund der stets korrespondierenden Wertentwicklung von Rückstellungen und Deckungsansprüchen sind keine abführungsgesperrten Erträge entstanden.
3665,"8.48, 41","H7, H50","H7.48, H50","Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden nach der Anwartschaftsbarwertmethode unter Berücksichtigung künftiger Entwicklungen sowie der Anwendung eines Prognosezinssatzes bewertet, der auf Basis des von der Deutschen Bundesbank per September 2016 veröffentlichten Rechnungszinssatzes für Restlaufzeiten von 15 Jahren (Vereinfachungsregel) hergeleitet wurde. Für Altersversorgungsverpflichtungen in sog. Contractual-Trust-Arrangements ‚CTA’ werden Pensionsrückstellungen in Höhe des Mindestverpflichtungsumfangs bzw. zu dem den Mindestverpflichtungsumfang übersteigenden Zeitwert des Deckungsvermögens angesetzt. Bei der Bewertung der Pensionsverpflichtungen finden die Richttafeln 2005 G von Prof. Dr. Klaus Heubeck Anwendung."
3666,"8.48, 42","H7, H51","H7.48, H51","Die Pensionsrückstellungen werden gemäß § 253 Abs. 2 S. 1 HGB in diesem Jahresabschluss erstmals mit dem durchschnittlichen Marktzinssatz der vergangenen zehn (bisher sieben) Geschäftsjahre abgezinst. Im Vergleich zur Abzinsung mit dem Sieben-Jahres-Durchschnittszins (3,22%) ergibt sich zum 31. Dezember 2016 ein Unterschiedsbetrag von 1 Mio. €. Dieser Betrag ist gemäß § 253 Abs. 6 S. 2 HGB potenziell ausschüttungsgesperrt ist. Wir verweisen auf die Erläuterungen bei den Rückstellungen."
3667,"8.48, 41","H7, H50","H7.48, H50",Die wesentlichen zum 31. Dezember 2016 angewendeten versicherungsmathematischen Parameter sind der nachstehenden Tabelle zu entnehmen:
3668,"8.48, 41","H7, H50","H7.48, H50","%
Rechnungszinsfuß (10-Jahresdurchschnitt) 4,00
Erwartete Lohn- und Gehaltsentwicklung 2,60
Erwartete Rentenentwicklung (je nach Personengruppe) 1,75
Durchschnittlich zu erwartende Fluktuation 2,66"
3669,8.50,H7,H7.50,"Die Rückstellungen für Altersteilzeit-, Jubiläums- und Sterbegeldverpflichtungen sowie mittelbare Altersversorgung (Erstattungszahlungen an das Bundeseisenbahnvermögen aufgrund bestehender Beamtenversorgungszusagen) werden nach versicherungsmathematischen Berechnungsverfahren (Anwartschaftsbarwertmethode) sowie grundlegenden Annahmen der Berechnung gemäß den Richttafeln 2005 G von Prof. Dr. Klaus Heubeck bewertet. Dabei werden fristenkongruente durchschnittliche Marktzinssätze der vergangenen sieben Geschäftsjahre in Höhe von 1,75 % (Altersteilzeit) und 2,5 % (Jubiläum, Sterbegeld,
mittelbare Altersversorgung) angewendet."
3670,8.50,H7,H7.50,"Der Rechnungszinssatz zur Berechnung des Barwerts der Haftpflichtrenten betrug im Berichtsjahr 3,22 % p.a. (im Vorjahr: 3,89 % p.a.)."
3671,8.50,H7,H7.50,"Die Rückstellungen tragen allen erkennbaren bilanzierungspflichtigen Risiken Rechnung. Soweit Aufwendungen wahrscheinliche aber ihrem Eintrittszeitpunkt nach unbestimmte Verpflichtungen gegenüber Dritten darstellen, werden sie bei den sonstigen Rückstellungen bilanziert."
3672,8.50,H7,H7.50,Die Bewertung der sonstigen Rückstellungen erfolgt in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages. Künftige Preis- und Kostensteigerungen wurden bei der Ermittlung der Rückstellungen berücksichtigt.
3673,8.50,H7,H7.50,Die sonstigen Rückstellungen werden auf Vollkostenbasis ermittelt. Risiken für nicht abgeschlossene Schadensfälle und Prozesse werden grundsätzlich erst ab einer Eintrittswahrscheinlichkeit von 50% erfasst.
3674,8.50,H7,H7.50,Rückstellungen mit einer Restlaufzeit von über einem Jahr werden mit dem fristenkongruenten durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre der Deutschen Bundesbank abgezinst. Aufwendungen und Erträge aus Änderungen des Abzinsungssatzes und Zinseffekte geänderter Schätzungen der Restlaufzeit werden im Zinsergebnis ausgewiesen.
3675,8.51,H7,H7.51,Erhaltene Anzahlungen sind zum Barwert angesetzt. Alle übrigen Verbindlichkeiten sind mit ihrem Erfüllungsbetrag ausgewiesen.
3676,"8.64, 27","H7, H30","H7.64, H30",Aufgrund der bestehenden ertragsteuerlichen Organschaft werden keine latenten Steuern bilanziert.
3677,"29, 30, 57","H35a, H36, H73","H35a, H36, H73","Nicht in Bewertungseinheiten zusammengefasste Fremdwährungsforderungen bzw. -verbindlichkeiten sowie Bankguthaben in Fremdwährung werden mit dem Devisenkassamittelkurs am Bilanzstichtag umgerechnet. Vermögensgegenstände, Schulden, schwebende Geschäfte oder mit hoher Wahrscheinlichkeit erwartete Transaktionen (Grundgeschäfte) werden zum Ausgleich von gegenläufigen Wertänderungen oder Zahlungsströmen aus dem Eintritt vergleichbarer Risiken bei Vorliegen der entsprechenden Voraussetzungen mit derivativen Finanzinstrumenten zu Bewertungseinheiten zusammengefasst. Derivative Finanzinstrumente
dürfen nur im Zusammenhang mit einem Grundgeschäft (Mikro- und Portfolio-Hedges) eingesetzt werden."
3678,"30, 57","H36, H73","H36, H73","Die den Grundgeschäften zugeordneten Derivate werden bilanziell nicht erfasst (sog. Einfrierungsmethode). Insoweit erfolgt die Nichtanwendung der §§ 249 Abs. 1, 252 Abs. 1 Nr. 3, 4 sowie 256 a HGB."
3679,57,H73,H73,"Der Zeitwert von Finanzinstrumenten, die in einem aktiven Markt gehandelt werden, ergibt sich aus dem Börsenkurs am Bilanzstichtag."
3680,57,H73,H73,"Zur Ermittlung des Zeitwerts von Finanzinstrumenten, die nicht in einem aktiven Markt gehandelt werden, werden gängige Bewertungsmethoden wie Optionspreis- oder Barwertmodelle angewendet und Annahmen getroffen, die aufgrund der Marktbedingungen an den Bilanzstichtagen sachgerecht waren. Sofern bewertungsrelevante Parameter nicht direkt am Markt beobachtbar sind, werden Prognosen zu Hilfe genommen, denen vergleichbare, in einem aktiven Markt gehandelte Finanzinstrumente zugrunde liegen, die mit Auf- bzw. Abschlägen auf Basis historischer Daten versehen werden. Dabei wird der Mittelwert aus Geldund
Briefkurs verwendet."
3681,,None,None,"Forderungen und Verbindlichkeiten gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht, betreffen Beteiligungsunternehmen der DB AG."
3682,8.73,H7,H7.73,"Die Tätigkeit der zugewiesenen Beamten im DB-Konzern beruht auf einer gesetzlichen Zuweisung im Rahmen des Eisenbahnneuordnungsgesetzes, Art. 2 § 12 ENeuOG. Für die Arbeitsleistung der zugewiesenen Beamten erstattet die DB Cargo AG dem Bundeseisenbahnvermögen (BEV) die Kosten, die anfallen würden, wenn anstelle des zugewiesenen Beamten eine Tarifkraft als Arbeitnehmer beschäftigt werden würde (Als-ob-Abrechnung). Deshalb werden die dem BEV erstatteten Personalkosten der zugewiesenen Beamten aufgrund der wirtschaftlichen Betrachtungsweise unter den Personalaufwendungen ausgewiesen."
3683,8.73,H7,H7.73,"Anfallende Aufwendungen für Abfindungszahlungen werden im Personalaufwand ausgewiesen, da es sich regelmäßig um Entgelt für im Rahmen des Beschäftigungsverhältnis geleistete Dienste handelt."
3684,8.16,H7,H7.16,"Abweichend von der in § 275 Abs. 2 HGB vorgeschriebenen Gliederung der Gewinn- und Verlustrechnung werden die sonstigen Steuern nicht unter dem hierfür vorgesehenen Posten Nr. 16 erfasst, da es sich hierbei um Kostensteuern handelt. Diese werden unter den sonstigen betrieblichen Aufwendungen ausgewiesen."
3685,,None,None,Erläuterungen zur Bilanz
