,annotation_original,annotation_unique,annotation_unique_extra,blob
2102,81,H134,H134,• Bezug/Erbringung von Dienstleistungen
2103,81,H134,H134,• Nutzung/Nutzungsüberlassung von Vermögensgegenständen
2104,81,H134,H134,• Finanzierungen (inkl. Cash-Pooling)
2105,81,H134,H134,"• Gewährung/Erhalt von Bürgschaften oder anderen
Sicherheiten"
2106,81,H134,H134,• Abreden im Ein- oder Verkauf
2107,81,H134,H134,"Da alle Geschäfte mit und zwischen mittel- oder unmittelbar in hundertprozentigem Anteilsbesitz stehenden, in den
Konzernabschluss der Jantinori 2 S.à r.l., Luxemburg, einbezogenen Unternehmen getätigt werden, entfällt gemäß § 285 Nr. 21 HGB
eine weitere Angabe."
2108,,None,None,8. Abschlussprüferhonorar
2109,72,E38d,E38d,"Die Angabe des Abschlussprüferhonorars nach § 285 Nr. 17 HGB erfolgt im Konzernabschluss der Jantinori 2 S.à r.l., Luxemburg, in
den die JOST-Werke Deutschland GmbH einbezogen wird."
2110,,None,None,9. Geschäftsführung
2111,83,E43,E43,"Lars Brorsen, cand.oecon., Heubach"
2112,83,E43,E43,"Vorsitzender der Geschäftsführung bei der Cintinori Holding GmbH, Neu-Isenburg"
2113,83,E43,E43,"Dr. Ralf Eichler, Diplom-Ingenieur, Langen (Hessen)"
2114,83,E43,E43,"Geschäftsführer Technik bei der Cintinori Holding GmbH, Neu-Isenburg"
2115,83,E43,E43,"Christoph Hobo, Diplom-Kaufmann, Frankfurt am Main"
2116,83,E43,E43,"Geschäftsführer Finanzen bei der Cintinori Holding GmbH, Neu-Isenburg (seit 15. Oktober
2016)"
2117,83,E43,E43,"Alexander Kleinke, Diplom-Volkswirt, Frankfurt am Main"
2118,83,E43,E43,"Geschäftsführer Finanzen bei der Cintinori Holding GmbH, Neu-Isenburg (bis 15. Oktober
2016)"
2119,"37, 84, 88","H53, E44, E49","H53, E44, E49","Für Geschäftsführer ist eine Pensionsrückstellung von TEUR 11.999 (vor Saldierung mit Deckungsvermögen; 2015: TEUR 10.207)
gebildet worden, davon betreffen TEUR 5.880 (2015: TEUR 5.820) ehemalige Geschäftsführer. Im laufenden Geschäftsjahr wurden
zu der Pensionsrückstellung für Geschäftsführer TEUR 307 (2015: TEUR 742) zugeführt. Die Geschäftsführer erhielten im
Geschäftsjahr Bezüge von insgesamt TEUR 3.658 (2015: TEUR 2.916). Ehemalige Geschäftsführer erhielten im Geschäftsjahr Bezüge
in Höhe von TEUR 374 (2015: TEUR 217)."
2120,,None,None,10. Gesellschafter
2121,,None,None,"Alleingesellschafter ist die Jasione GmbH, Neu-Isenburg."
2122,,None,None,11. Konzernabschluss
2123,"70, 75","E38a, H118","E38a, H118","Die Gesellschaft ist ein Konzernunternehmen der Jantinori 2 S.à r.l., Luxemburg, in deren Konzernabschluss sie einbezogen wird. Die
Jantinori 2 S.à r.l. stellt den Konzernabschluss für den kleinsten sowie den größten Kreis der Unternehmen der JOST-Gruppe auf.
Dieser wirkt gemäß § 291 HGB befreiend und daher hat die Gesellschaft keinen Konzernabschluss und Konzernlagebericht
aufgestellt. Der Konzernabschluss der Jantinori 2 S.à r.l. wird im elektronischen Bundesanzeiger in deutscher Sprache offengelegt."
2124,,None,None,"Der Konzernabschluss der Jantinori 2 S.à r.l. wurde nach den Vorschriften der am Abschlussstichtag verpflichtend anzuwendenden
International Financial Reporting Standards (IFRS) der International Accounting Standards Board (IASB), London, sowie den
Interpretationen des IFRS Interpretations Committee, wie sie in der EU anzuwenden sind, aufgestellt."
2125,,None,None,12. Gewinnverwendung
2126,68,None,None,"Das Jahresergebnis für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016 wird aufgrund des bestehenden Beherrschungs- und
Gewinnabführungsvertrages an die Jasione GmbH, Neu-Isenburg, abgeführt. Eine entsprechende Verbindlichkeit gegen verbundene
Unternehmen bzw. die Gesellschafterin ist erfasst."
2127,,None,None,13. Nachtragsbericht
2128,69,None,None,"Es ergaben sich keine Ereignisse oder Entwicklungen, die zu einer Änderung des Ausweises oder Wertansatzes der einzelnen
Vermögensgegenstände und Schuldposten zum 31.12.2016 geführt hätten."
2129,,None,None,"Neu-Isenburg, den 4. April 2017"
2130,,None,None,Dr. Ralf Eichler
2131,,None,None,Christoph Hobo
2132,,None,None,Bestätigungsvermerk des Abschlussprüfers
2133,,None,None,"Wir haben den Jahresabschluss - bestehend aus Bilanz, Gewinn- und Verlustrechnung sowie Anhang - unter Einbeziehung der
Buchführung und den Lagebericht der JOST-Werke Deutschland GmbH, Neu-Isenburg, für das Geschäftsjahr vom 1. Januar bis 31.
Dezember 2016 geprüft. Die Buchführung und die Aufstellung von Jahresabschluss und Lagebericht nach den deutschen
handelsrechtlichen Vorschriften liegen in der Verantwortung der Geschäftsführer der Gesellschaft. Unsere Aufgabe ist es, auf der
Grundlage der von uns durchgeführten Prüfung eine Beurteilung über den Jahresabschluss unter Einbeziehung der Buchführung und
über den Lagebericht abzugeben."
2134,,None,None,"Wir haben unsere Jahresabschlussprüfung nach § 317 HGB unter Beachtung der vom Institut der Wirtschaftsprüfer (IDW)
festgestellten deutschen Grundsätze ordnungsmäßiger Abschlussprüfung vorgenommen. Danach ist die Prüfung so zu planen und
durchzuführen, dass Unrichtigkeiten und Verstöße, die sich auf die Darstellung des durch den Jahresabschluss unter Beachtung der
Grundsätze ordnungsmäßiger Buchführung und durch den Lagebericht vermittelten Bildes der Vermögens-, Finanz- und Ertragslage
wesentlich auswirken, mit hinreichender Sicherheit erkannt werden. Bei der Festlegung der Prüfungshandlungen werden die
Kenntnisse über die Geschäftstätigkeit und über das wirtschaftliche und rechtliche Umfeld der Gesellschaft sowie die Erwartungen
über mögliche Fehler berücksichtigt. Im Rahmen der Prüfung werden die Wirksamkeit des rechnungslegungsbezogenen internen
Kontrollsystems sowie Nachweise für die Angaben in Buchführung, Jahresabschluss und Lagebericht überwiegend auf der Basis von
Stichproben beurteilt. Die Prüfung umfasst die Beurteilung der angewandten Bilanzierungsgrundsätze und der wesentlichen
Einschätzungen der Geschäftsführer sowie die Würdigung der Gesamtdarstellung des Jahresabschlusses und des Lageberichts. Wir
sind der Auffassung, dass unsere Prüfung eine hinreichend sichere Grundlage für unsere Beurteilung bildet."
2135,,None,None,Unsere Prüfung hat zu keinen Einwendungen geführt.
2136,,None,None,"Nach unserer Beurteilung aufgrund der bei der Prüfung gewonnenen Erkenntnisse entspricht der Jahresabschluss den gesetzlichen
Vorschriften und vermittelt unter Beachtung der Grundsätze ordnungsmäßiger Buchführung ein den tatsächlichen Verhältnissen
entsprechendes Bild der Vermögens-, Finanz- und Ertragslage der Gesellschaft. Der Lagebericht steht in Einklang mit dem
Jahresabschluss, entspricht den gesetzlichen Vorschriften, vermittelt insgesamt ein zutreffendes Bild von der Lage der Gesellschaft
und stellt die Chancen und Risiken der zukünftigen Entwicklung zutreffend dar."
2137,,None,None,"Frankfurt am Main, den 4. April 2017"
2138,,None,None,"PricewaterhouseCoopers GmbH
Wirtschaftsprüfungsgesellschaft"
2139,,None,None,"Thomas Tilgner, Wirtschaftsprüfer"
2140,,None,None,"Stefan Hartwig, Wirtschaftsprüfer"
2141,,None,None,Anhang für das Geschäftsjahr 2016
2142,,None,None,I. ALLGEMEINE ANGABEN ZUM JAHRESABSCHLUSS UND ZU DEN BILANZIERUNGS- UND BEWERTUNGSMETHODEN
2143,,None,None,1. Allgemeine Angaben zu Inhalt und Gliederung
2144,104,H151,H151,"Die Thomas-Krenn.AG hat ihren Sitz in Freyung und ist eingetragen in das Handelsregister beim Amtsgericht Passau (HR B Reg. Nr.
6790)."
2145,8.0,H7,H7.0,"Der Jahresabschluss der Thomas-Krenn.AG wurde auf der Grundlage der Rechnungslegungsvorschriften des Handelsgesetzbuchs in
Euro aufgestellt. Ergänzend wurden die Vorschriften des Aktiengesetzes beachtet. Für die Gewinn- und Verlustrechnung wurde das
Gesamtkosten-verfahren gewählt. Angaben, die wahlweise in der Bilanz, in der Gewinn- und Verlustrechnung oder im Anhang
gemacht werden können, sind insgesamt im Anhang aufgeführt."
2146,8.0,H7,H7.0,Nach den in § 267 HGB angegebenen Größenklassen ist die Gesellschaft eine mittelgroße Kapitalgesellschaft.
2147,8.0,H7,H7.0,Größenabhängige Erleichterungen des § 288 HGB wurden teilweise in Anspruch genommen.
2148,"87, 88","H118, H120","H118, H120","Die Gesellschaft ist in den freiwillig aufgestellten Konzernabschluss der Thomas-Krenn.AG, Freyung, die den Konzernabschluss für den
kleinsten und größten von Unternehmen aufstellt, einbezogen. Dieser wird in Übereinstimmung mit den Rechnungslegungsvorschriften
des Handelsgesetzbuchs erstellt. Der Konzernabschluss ist am Sitz der Gesellschaft in Freyung erhältlich und wird im elektronischen
Bundesanzeiger veröffentlicht."
2149,,None,None,"Der Lagebericht der Thomas-Krenn.AG und der Konzernlagebericht sind nach Paragraf 315 Absatz 3 Handelsgesetzbuch (HGB) in
Verbindung mit Paragraf 298 Absatz 3 HGB zusammengefasst und im Geschäftsbericht 2015 veröffentlicht."
2150,"1, 2","H1b, H2","H1b, H2","Der Jahresabschluss wurde unter Berücksichtigung der durch das Bilanzrichtlinie-Umsetzungsgesetz geänderten Vorschriften
aufgestellt. Ist hierdurch die Vergleichbarkeit mit den Vorjahreswerten eingeschränkt, werden die Abweichungen entsprechend
erläutert."
2151,,None,None,2. Bilanzierungs - und Bewertungsgrundsätze
2152,8.0,H7,H7.0,"Die Bilanzierungs- und Bewertungsgrundsätze blieben gegenüber dem Vorjahr unverändert, soweit nicht nachfolgend auf Änderungen
hingewiesen wird."
2153,"8.2, 8.7","H7, H7","H7.2, H7.7","Die immateriellen Vermögensgegenstände und das Sachanlagevermögen wurden zu Anschaffungskosten angesetzt und um
planmäßige Abschreibungen vermindert."
2154,"8.2, 8.7","H7, H7","H7.2, H7.7","Die planmäßigen Abschreibungen wurden nach der voraussichtlichen Nutzungsdauer der Vermögensgegenstände linear
vorgenommen. Die Abschreibungen auf Zugänge des Sachanlagevermögens erfolgten grundsätzlich zeitanteilig. Soweit die
beizulegenden Werte einzelner Vermögensgegenstände ihren Buchwert unterschreiten, werden zusätzlich außerplanmäßige
Abschreibungen bei voraussichtlich dauernder Wertminderung vorgenommen."
2155,8.7,H7,H7.7,"Bewegliche Gegenstände des Anlagevermögens bis zu einem Wert von EUR 410,00 wurden im Jahre des Zugangs voll abgeschrieben.
Für bewegliche Vermögensgegenstände des Anlagevermögens mit Anschaffungskosten von mehr als EUR 150,00, aber nicht mehr als
EUR 1.000,00, wurde für das Geschäftsjahr 2009 ein Sammelposten gebildet und linear über fünf Jahre abgeschrieben. Diese
Abschreibung wurde fortgeführt."
2156,8.13,H7,H7.13,"Anteile an verbundenen Unternehmen wurden mit den Anschaffungskosten angesetzt. Außerplanmäßige Abschreibungen werden
vorgenommen, soweit mit einer voraussichtlichen dauernden Wertminderung zu rechnen ist. Zuschreibungen werden vorgenommen,
wenn der Grund für eine vorherige außerplanmäßige Abschreibung entfallen ist."
2157,8.20,H7,H7.20,"Roh-, Hilfs- und Betriebsstoffe wurden zu Anschaffungskosten oder mit dem niedrigeren Marktwert angesetzt. Die Ermittlung der
Anschaffungskosten erfolgte zu Durchschnittspreisen. Für überalterte und ungängige Vorräte wurden ausreichende Wertabschläge
vorgenommen."
2158,8.25,H7,H7.25,"Forderungen und sonstige Vermögensgegenstände werden mit dem Nennwert bzw. mit dem am Bilanzstichtag beizulegenden
niedrigeren Wert angesetzt. Bei den Forderungen aus Lieferungen und Leistungen wurden ausreichende Wertminderungen verrechnet,
soweit deren Einbringlichkeit zweifelhaft ist. Uneinbringliche Forderungen aus Lieferungen und Leistungen wurden vollständig
wertberichtigt. Im Berichtsjahr wurde analog zum Vorjahr keine Pauschalwertberichtigung gebildet."
2159,8.33,H7,H7.33,Flüssige Mittel und Rechnungsabgrenzungsposten wurden zu Nennwerten bilanziert.
2160,8.38,H7,H7.38,Das Grundkapital wurde zum Nennwert bilanziert.
2161,8.49,H7,H7.49,"Die Steuerrückstellungen beinhalten die für das jeweilige Geschäftsjahr betreffenden, noch nicht veranlagten Steuern sowie
Rückstellungen für Steuernachzahlungen aus Vorjahren (2011 und 2012) aufgrund einer Betriebsprüfung."
2162,8.50,H7,H7.50,"Die sonstigen Rückstellungen sind so bemessen, dass die erkennbaren Risiken und ungewissen Verpflichtungen berücksichtigt sind.
Die Bewertung erfolgt jeweils in Höhe des Erfüllungsbetrags, der nach vernünftiger kaufmännischer Beurteilung erforderlich ist, um
zukünftige Zahlungsverpflichtungen abzudecken. Zukünftige Preis- und Kostensteigerungen werden berücksichtigt, sofern
ausreichende objektive Hinweise für deren Eintritt vorliegen."
2163,8.51,H7,H7.51,Die Verbindlichkeiten wurden zum Erfüllungsbetrag angesetzt.
2164,"8.35, 8.64","H7, H7","H7.35, H7.64","Für die Ermittlung latenter Steuern aufgrund von temporären Differenzen zwischen den handelsrechtlichen Wertansätzen von
Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten und ihren steuerlichen Wertansätzen wurden die Beträge der
sich ergebenden Steuerbe- und -entlastung mit dem unternehmensindividuellen Steuersatz (circa 29 %) im Zeitpunkt des Abbaus der
Differenzen bewertet und nicht abgezinst. Aktive und passive Steuerlatenzen werden verrechnet. Im Falle eines Aktivüberhangs
unterbleibt die Aktivierung latenter Steuern in Ausübung des dafür bestehenden Ansatzwahlrechts."
2165,"8.35, 8.64, 8.90","H7, H7, H7","H7.35, H7.64, H7.90","Der Aufwand und Ertrag aus der Veränderung der bilanzierten latenten Steuern wird in der Gewinn- und Verlustrechnung gesondert
unter dem Posten ""Steuern vom Einkommen und vom Ertrag"" als sog. Davon-Vermerk ausgewiesen."
2166,"8.34, 8.63","H7, H7","H7.34, H7.63","Rechnungsabgrenzungsposten wurden für Zahlungen vor dem Bilanzstichtag gebildet, die Aufwand oder Ertrag für eine bestimmte
Zeit nach dem Bilanzstichtag darstellen. Die Auflösung erfolgte bei den aktiven Rechnungsabgrenzungsposten planmäßig linear. Bei
den passiven Rechnungsabgrenzungsposten für Service- und Supportverträge wurde eine Auflösung mit fallenden Jahresraten
zugrunde gelegt, die dem voraussichtlichen zeitlichen Anfall der entsprechenden Service- und Supportleistungen entspricht."
2167,8.0,H7,H7.0,"Geschäftsvorfälle in fremder Währung werden grundsätzlich mit dem historischen Kurs zum Zeitpunkt der Erstverbuchung erfasst.
Fremdwährungsforderungen und -verbindlichkeiten werden zum Stichtag gemäß § 256a HGB mit dem Devisenkassamittelkurs
bewertet."
2168,8.66,H7,H7.66,"Unter den Umsatzerlösen werden sämtliche Erlöse aus dem Verkauf und der Vermietung oder Verpachtung von Produkten sowie der
Erbringung von Dienstleistungen ausgewiesen. Dies umfasst im Wesentlichen Erlöse aus dem Verkauf von Servern und dazugehörigen
IT-Komponenten."
2169,8.66,H7,H7.66,Bei der Erlöserfassung wird das Realisationsprinzip entsprechend berücksichtigt.
2170,,None,None,II. ANGABEN ZUR BILANZ
2171,4.1,H3a,H3a.1,Anlagevermögen
2172,"4.1, 15","H3a, H17a","H3a.1, H17a",Die Aufgliederung und Entwicklung der Posten des Anlagevermögens sind im Anlagenspiegel (Anlage zum Anhang) dargestellt.
2173,"4.13, 61","H3a, H81","H3a.13, H81","Außerplanmäßige Abschreibungen aufgrund voraussichtlich dauernder Wertminderung wurden bei den Wertansätzen für Anteile an
verbundenen Unternehmen gemäß Paragraph 253 Abs. 3 Satz 5 HGB in Höhe von TEUR 2.050 vorgenommen."
2174,4.25,H3a,H3a.25,Forderungen aus Lieferungen und Leistungen und sonstige Vermögensgegenstände
2175,4.25,H3a,H3a.25,"Alle Forderungen aus Lieferungen und Leistungen haben eine Restlaufzeit von weniger als ein Jahr. Sonstige Vermögensgegenstände
in Höhe von TEUR 7 haben eine Restlaufzeit von mehr als einem Jahr. Die sonstigen Vermögensgegenstände beinhalten im
Wesentlichen Forderungen gegen das Finanzamt."
2176,4.27,H3a,H3a.27,Forderungen gegen verbundene Unternehmen
2177,4.27,H3a,H3a.27,"Forderungen gegen verbundene Unternehmen bestehen zum Bilanzstichtag nicht. (Vj. TEUR 470, betrafen ausschließlich Forderungen
aus Lieferungen und Leistungen)."
2178,4.33,H3a,H3a.33,Flüssige Mittel
2179,4.33,H3a,H3a.33,Die Position enthält den Kassenbestand und die Guthaben bei Kreditinstituten.
2180,"4.35, 4.64","H3a, H3a","H3a.35, H3a.64",Latente Steuern
2181,"4.35, 4.64","H3a, H3a","H3a.35, H3a.64","Zum 31. Dezember 2016 ergibt sich nach Saldierung der aktiven und passiven latenten Steuern (Gesamtdifferenzenbetrachtung) ein
Aktivüberhang der latenten Steuern von TEUR 5. Die Gesellschaft macht von dem Aktivierungswahlrecht des § 274 Abs. 1 Satz 2 HGB
keinen Gebrauch, so dass sich insgesamt kein Ausweis latenter Steuern in der Bilanz ergibt. Die ermittelten aktiven und passiven
latenten Steuern resultieren im Wesentlichen aus folgenden temporären Differenzen:"
2182,"4.35, 4.64","H3a, H3a","H3a.35, H3a.64","a) abweichenden Wertansätzen der bei den sonstigen Rückstellungen,
b) abweichende Wertansätze bei den Passiven Rechnungsabgrenzungsposten sowie
c) abweichende bilanzielle Darstellung der in Vorjahren erhaltenen Zuschüsse."
2183,"4.35, 4.64, 27","H3a, H3a, H30a","H3a.35, H3a.64, H30a",Die latenten Steuersalden und deren Änderungen im Geschäftsjahr 2016 sind nachfolgend dargestellt:
2184,"4.35, 4.64, 27","H3a, H3a, H30a","H3a.35, H3a.64, H30a","31.12.2015
TEUR
Zugang
TEUR
Abgang
TEUR
31.12.2016
TEUR
Aktive latente Steuern 369 139 139 369
Passive latente Steuern 638 139 408 369
Saldo zum 31.12.2015 - 269 Saldo zum 31.12.2016 0"
2185,4.37,H3a,H3a.37,Eigenkapital
2186,4.38,H3a,H3a.38,"Das Grundkapital der Gesellschaft beträgt EUR 139.082,00. Es ist voll eingezahlt."
2187,"4.45, 4.46, 36","H3a, H3a, H44","H3a.45, H3a.46, H44",Die Zusammensetzung des Bilanzgewinns zum Bilanzstichtag stellt sich im Vergleich zum Vorjahr wie folgt dar:
2188,"4.45, 4.46, 36","H3a, H3a, H44","H3a.45, H3a.46, H44","2016
EUR
2015
EUR
Gewinnvortrag 3.974.514,44 2.483.688,53
Entnahme zum Rückkauf / zur Einziehung eigener Aktien -2.600.000,00 0,00
Jahresüberschuss 1.016.989,65 1.490.825,91
Bilanzgewinn 2.391.504,09 3.974.514,44"
2189,"4.50, 46","H3a, H56","H3a.50, H56",Sonstige Rückstellungen
2190,"4.50, 46","H3a, H56","H3a.50, H56","Die sonstigen Rückstellungen setzten sich im Wesentlichen aus ausstehenden Kaufpreiszahlungsverpflichtungen (TEUR 800),
Rückstellung für ausstehende Vorgänge (TEUR 205) personalbezogenen Rückstellungen (TEUR 176) sowie Rückstellungen für
Gewährleistungsfälle (TEUR 144) zusammen."
2191,"4.50, 46","H3a, H56","H3a.50, H56",Die personalbezogenen Rückstellungen enthalten insbesondere Bonusrückstellungen für Mitarbeiter der Gesellschaft.
2192,"4.51, 48, 49","H3a, H61, H62","H3a.51, H61, H62",Verbindlichkeiten
2193,"4.51, 48, 49","H3a, H61, H62","H3a.51, H61, H62","Art der Verbindlichkeit davon mit einer Restlaufzeit
Gesamtbetrag
2016
TEUR
bis zu 1 Jahr
TEUR
über 1 Jahr
TEUR
davon größer 5
Jahre
TEUR
Gegenüber Kreditinstituten 1.800 746 1.054 654
(2015) (1.575) (180) (1.395) (815)
Erhaltene Anzahlungen 57 57 0 0
(2015) (90) (90) (0) (0)
Lieferungen und Leistungen 2.699 2.699 0 0
Art der Verbindlichkeit davon mit einer Restlaufzeit
Gesamtbetrag
2016
TEUR
bis zu 1 Jahr
TEUR
über 1 Jahr
TEUR
davon größer 5
Jahre
TEUR
(2015) (2.750) (2.750) (0) (0)
Gegenüber verbundenen Unternehmen 241 41 200 0
(2015) (276) (76) (200)
Sonstige Verbindlichkeiten 216 216 0 0
(2015) (43) (43) (0) (0)
5.013 3.759 1.254 654
(2015) (4.734) (3.139) (1.595) (815)"
2194,"4.58, 6","H3a, H5","H3a.58, H5","Die Verbindlichkeiten gegenüber verbundenen Unternehmen bestehen ausschließlich gegenüber der Xortex eBusiness GmbH,
Neufelden/Österreich aus Lieferungen und Leistungen, sowie eine Intercompany-Kredit von der Xortex GmbH an die
Muttergesellschaft in Höhe von TEUR 200."
2195,"4.54, 50, 51","H3a, FS5, H63","H3a.54, FS5, H63","Für die Verbindlichkeiten gegenüber Kreditinstituten von TEUR 1.800 bestehen folgende Sicherheiten:
― Buchgrundschulden über insgesamt TEUR 2.300
― Bareinlange über TEUR 326"
2196,,None,None,III. ANGABEN ZUR GEWINN- UND VERLUSTRECHNUNG
2197,4.66,H3a,H3a.66,Umsatzerlöse
2198,4.66,H3a,H3a.66,"Die Umsatzerlöse werden im Wesentlichen im Inland realisiert und betreffen vor allem den Verkauf von Servern und dazugehörigen
IT-Komponenten."
2199,"4.66, 2, 57","H3a, H2, H76","H3a.66, H2, H76","Die Vorjahreszahlen der Umsatzerlöse sind aufgrund der Neufassung von § 277 Abs. 1 HGB in der Fassung des BilRUG (HGB n.F.)
nicht vergleichbar, da auf eine Anpassung der Vorjahresumsatzerlöse verzichtet wurde. Bei Anwendung des § 277 Abs. 1 HGB n.F.
hätten sich für das Vorjahr Umsatzerlöse in Höhe von TEUR 27.954 ergeben."
2200,"4.66, 1, 57","H3a, H1b, H76","H3a.66, H1b, H76","Seit dem Geschäftsjahr 2016 werden folgende Erlöse – die in Vorjahren unter den sonstigen betrieblichen Erträgen erfasst wurden -
unter den Umsatzerlösen ausgewiesen:"
2201,"4.66, 1, 57","H3a, H1b, H76","H3a.66, H1b, H76",Erlöse aus dem Konzernumlagevertrag mit der Filoo GmbH in Höhe von TEUR 24 (Vj. TEUR 30).
2202,"4.69, 4.80","H3a, H3a","H3a.69, H3a.80",Sonstige betriebliche Erträge und Aufwendungen
2203,"4.69, 64,","H3a, H88, None","H3a.69, H88, None","Die sonstigen betrieblichen Erträge enthalten im Wesentlichen Erträge aus dem Verkauf von Anteilen an verbundenen Unternehmen in
Höhe von TEUR 3.035 (i.Vj. TEUR 0), Erträge aus Währungsumrechnungen TEUR 118 (i.Vj. TEUR 1.801) und periodenfremde Erträge
in Höhe von TEUR 167 (i.Vj. TEUR 4). Die Erträge aus Währungsumrechnung enthielten im Vorjahr im Wesentlichen Erträge aus
Devisentermingeschäften in Höhe von TEUR 1.572. Solche Geschäfte wurden im Jahr 2016 nicht abgeschlossen."
2204,"4.80, 64, ","H3a, H88, None","H3a.80, H88, None","Die sonstigen betrieblichen Aufwendungen enthalten neben Aufwendungen aus Währungsumrechnungen in Höhe von TEUR 236 (i.Vj.
TEUR 495) vor allem Werbe- und Reisekosten (TEUR 1.115), Vertriebsaufwendungen (TEUR 267), Kosten für Versicherungen und
Beiträge (TEUR 215) sowie Rechts- und Beratungskosten (TEUR 284). Es sind periodenfremde Aufwendungen in Höhe von TEUR 73
(i.Vj. TEUR 0) enthalten."
2205,4.90,H3a,H3a.90,Steuern vom Einkommen und vom Ertrag
2206,4.90,H3a,H3a.90,"Die Steuern vom Einkommen und vom Ertrag entfallen mit TEUR 271 auf das Ergebnis vor Steuern des Geschäftsjahres 2016. Es sind
periodenfremde Steuererträge in Höhe von TEUR 148 und periodenfremde Steueraufwendungen in Höhe von TEUR 192 mit den
Steueraufwendungen des laufenden Geschäftsjahres saldiert worden."
2207,,None,None,IV. SONSTIGE ANGABEN
2208,,None,None,Honorare des Abschlussprüfers
2209,,None,None,"Honorare des Abschlussprüfers in Höhe TEUR 40 betreffen ausschließlich Honorare im Zusammenhang mit
Abschlussprüfungsleistungen."
2210,82,None,None,Ereignisse nach dem Abschlussstichtag (Nachtragsbericht)
2211,82,None,None,"Vorgänge von besonderer Bedeutung, die nach dem Schluss des Geschäftsjahres eingetreten und weder in der Gewinn- und
Verlustrechnung noch in der Bilanz berücksichtigt sind, liegen nicht vor."
2212,80,H104,H104,Sonstige finanzielle Verpflichtungen
2213,80,H104,H104,"Die Verpflichtungen der aus wirtschaftlichen Gründen eingegangenen Leasing- und Mietverträge werden mit der Summe der Beträge
ausgewiesen, die bis zum frühesten Kündigungstermin anfallen. Der Gesamtbetrag dieser finanziellen Verpflichtungen zum 31.
Dezember 2016
beträgt TEUR 100."
2214,97,E43,E43,Organmitglieder
2215,97,E43,E43,"Vorstand:
• Herr Dr. David Hoeflmayr, Vorsitzender, Geschäftsbereiche Vertrieb und Marketing, München
• Herr Ralf Hohmann, Geschäftsbereiche Operations und Finanzen, Rödermark
Aufsichtsrat:
• Herr Andreas Marty, Partner und CFO Vorndran Mannheims Capital Advisors GmbH,
Vorsitzender bis 28. September 2016
• Herr Andrew Cook, CFO Vorndran Mannheims Capital Advisors GmbH,
Vorsitzender ab 29. September 2016 bis 11. Januar 2017
• Herr Guido Bollue, Management Consultant Vorndran Mannheims Capital Advisors GmbH,
Vorsitzender ab 12. Januar 2017
• Herr Daniel Saxena, Partner Vorndran Mannheims Capital Advisors GmbH,
stellvertretender Vorsitzender bis 28. September 2016
• Herr Maxim Preminger, Investmentmanager Vorndran Mannheims Capital Advisors GmbH,
ab 29. September 2016
• Herr Hermann Löffler"
2216,98,E44,E44,Aufsichtsratsvergütung wurde in Höhe von TEUR 56 gewährt.
2217,98,E44,E44,"Bezüglich der Gesamtbezüge des derzeitigen Vorstands der Muttergesellschaft wird die Schutzklausel des § 286 Abs. 4 HGB in
Anspruch genommen."
2218,103,E51,E51,Vorschüsse und Kredite an Organmitglieder wurden im Geschäftsjahr nicht gewährt.
2219,31,H37,H37,• Angaben über die Gattung der Aktien
2220,31,H37,H37,Das Grundkapital der Thomas-Krenn.AG ist eingeteilt in:
2221,31,H37,H37,"Grundkapital: EUR EUR
98.844 Stück Stückaktien mit rechnerischem Wert von je 1,4071 139.082,00
Es handelt sich um vinkulierte Namensaktien."
2222,24,H25,H25,"Aufgrund Beschluss der Hauptversammlung vom 19. April 2016 und in Übereinstimmung mit Paragraph 237 Abs. 1 und Abs. 3 Nr. 3
AktG wurden 40.238 Stückaktien im Geschäftsjahr 2016 eingezogen. Hierdurch erhöhte sich der Anteil der übrigen Aktien am
Grundkapital gemäß Paragraph 8 Abs. 3 AktG. Die Satzung der Gesellschaft wurde entsprechend angepasst."
2223,,None,None,"Mehrheitsgesellschafterin der Thomas-Krenn.AG ist seit dem 15. August 2011 die Korrigan S.à r.l. Luxemburg/Luxemburg, mit einem
Anteil am Grundkapital von 93,7 %. Gemäß § 20 Abs. 4 AktG hat die Korrigan S.à r.l. am 15. August 2011 der Gesellschaft mitgeteilt,
dass ihr die Mehrheit der Anteile und der Stimmrechte (Mehrheitsbeteiligung) an der Gesellschaft gehören."
2224,,None,None,Zum 31. Dezember 2016 stellt sich die Aktionärsstruktur wie folgt dar:
2225,,None,None,"Name der Aktionäre Aktien %
Korrigan S.à r.l, Luxemburg 92.625 93,7
Herr Christoph Maier 06.219 6,3
Summe 98.844 100 ,0"
2226,89,H122,H122,Beziehungen zu verbundenen Unternehmen
2227,89,H122,H122,"Die Gesellschaft ist an folgenden Gesellschaften unmittelbar beteiligt:
Name und Sitz der Gesellschaft
Anteil am Kapital
in % Eigenkapital EUR*
Jahresergebnis
EUR*
XORTEX eBusiness GmbH, Neufelden/Österreich 100 550.118,40 6.211,32
Thomas-Krenn Schweiz. AG, St. Gallen/Schweiz 100 64.194,44 -28.045,56
* Stichtag der vorliegenden Information ist der 31. Dezember 2016"
2228,77,FS57a,FS57a,Arbeitnehmer
