Konzernanhang für das Geschäftsjahr vom 1. Januar 2016 bis 31. Dezember 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
5.3. Latente Steuern; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
In der Konzernbilanz sind die folgenden latenten Steueransprüche beziehungsweise -schulden angesetzt:; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"31.12.2016
TEUR 31.12.2015
TEUR Veränderung
Latente Steueransprüche 1.055 1.103 -48
Latente Steuerschulden - -123 123
Saldo 1.055 980 75"; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die bilanzierten latenten Steuern können gemäß ihrer Verursachung den einzelnen Bilanzposten wie folgt zugeordnet werden:; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Latente Steuern 2016 Latente Steuern 2015
aktive
TEUR passive
TEUR aktive
TEUR passive
TEUR
Geschäftswerte aus Einzelabschlüssen 1.041 - 1.103 
Sonstige Rückstellungen - - - 123
Sonstige Verbindlichkeiten 14 - - 
  1.055 - 1.103 123"; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die steuerlichen Verlustvorträge der in den Konzernabschluss einbezogenen Unternehmen zum 31. Dezember 2016 belaufen sich auf insgesamt TEUR 8.257. Darauf entfallende latente Steueransprüche in Höhe von TEUR 2.089 wurden nicht aktiviert.; 5.35, 5.64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.4. Eigenkapital; 5.37 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Entwicklung des Eigenkapitals einschließlich der nicht beherrschenden Anteile ist im Konzern-Eigenkapitalspiegel dargestellt.; 5.37 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Das voll eingezahlte gezeichnete Kapital der COSMO CONSULT AG beläuft sich zum 31. Dezember 2016 auf EUR 900.000,00. Das Grundkapital entfällt auf 900.000,00 auf den Namen der Aktionäre lautende nennwertlose Stückaktien mit einem rechnerischen Nennwert von jeweils EUR 1,00.; 5.37 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Konzerngewinnrücklagen betreffen ausschließlich thesaurierte Gewinne von Tochtergesellschaften, die vor deren erstmaliger Einbeziehung in den Konzernabschluss erwirtschaftet wurden.; 5.37 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Das Konzernjahresergebnis und seine Aufteilung sind in der Konzern-Gewinn- und -verlustrechnung dargestellt. Vom Konzernergebnis entfallen TEUR 429 auf konzernfremde Gesellschafter.; 5.37, 56 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.5. Rückstellungen für Pensionen und ähnliche Verpflichtungen; 5.48 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Pensionsrückstellungen decken die Versorgungsverpflichtungen gegenüber ehemaligen Mitarbeitern ab. Teilweise werden die Pensionsverpflichtungen durch verpfändete Rückdeckungsversicherungen abgedeckt. Diese dienen ausschließlich der Erfüllung der Verpflichtungen aus der betrieblichen Altersversorgung und sind dem Zugriff übriger Gläubiger entzogen.; 5.48 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Anschaffungskosten der Rückdeckungsversicherungen entsprechen den beizulegenden Zeitwerten und wurden wie folgt bei der Ermittlung der Rückstellungen für Pensionen und ähnliche Verpflichtungen berücksichtigt:; 5.48 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"31.12.2016
TEUR 31.12.2015
TEUR
Abgezinster Erfüllungsbetrag der Pensionen und ähnlichen Verpflichtungen 671 663
Beizulegender Zeitwert der Rückdeckungsversicherungen -462 -444
Rückstellungen für Pensionen und ähnliche Verpflichtungen 209 219"; 5.48 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Zinsaufwand aus der Pensionsrückstellung (TEUR 26) wurde mit dem Zinsertrag aus der Rückdeckungsversicherung (TEUR 18) verrechnet.; 5.48 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.6. Steuerrückstellungen; 5.49 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Steuerrückstellungen betreffen im Wesentlichen Ertragsteuern (TEUR 3.231, Vorjahr: TEUR 3.178) und in geringem Umfang Umsatzsteuer und sonstige Steuern (TEUR 32, Vorjahr: TEUR 36).; 5.49 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.7. Sonstige Rückstellungen; 5.50 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen Rückstellungen wurden insbesondere für sonstige Verpflichtungen im Personalbereich (TEUR 2.016, Vorjahr: TEUR 2.059) sowie ausstehende Rechnungen (TEUR 713, Vorjahr: TEUR 773) gebildet.; 5.50 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.8. Verbindlichkeiten; 5.51 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Fristigkeiten der Verbindlichkeiten ergeben sich wie folgt:; 5.51 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"31.12.2016
Gesamtbetrag
TEUR Laufzeit
bis 1 Jahr
TEUR 1 bis 5 Jahre
TEUR über 5 Jahre
TEUR
Verbindlichkeiten gegenüber Kreditinstituten 4.606 1.935 2.421 250
Erhaltene Anzahlungen auf Bestellungen 205 205 - 
Verbindlichkeiten aus Lieferungen und Leistungen 5.751 5.751 - -
Verbindlichkeiten gegenüber verbundenen Unternehmen 9 9 - -
Sonstige Verbindlichkeiten 3.938 3.833 105 
Summe 14.509 11.733 2.526 250"; 5.51, 41 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"31.12.2015
Gesamtbetrag
TEUR Laufzeit
bis 1 Jahr
TEUR 1 bis 5 Jahre
TEUR über 5 Jahre
TEUR
Verbindlichkeiten gegenüber Kreditinstituten 4.441 1.730 2.105 606
Erhaltene Anzahlungen auf Bestellungen 398 398 - 
Verbindlichkeiten aus Lieferungen und Leistungen 6.799 6.799 - -
Verbindlichkeiten gegenüber verbundenen Unternehmen - - - -
Sonstige Verbindlichkeiten 3.695 3.577 118 
Summe 15.333 12.504 2.223 606"; 5.51, 41 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Verbindlichkeiten gegenüber Kreditinstituten sind in Höhe von TEUR 2.340 besichert durch die Abtretung von Forderungen.; 5.54, 42 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Verbindlichkeiten gegenüber verbundenen Unternehmen in Höhe von TEUR 9 betreffen ausschließlich Verbindlichkeiten aus Lieferungen und Leistungen.; 5.58, 7 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen Verbindlichkeiten beinhalten im Wesentlichen Verbindlichkeiten aus Steuern (TEUR 3.184, Vorjahr: TEUR 3.064), Verbindlichkeiten im Rahmen der sozialen Sicherheit (TEUR 448, Vorjahr: TEUR 389) sowie sonstige personalbezogene Verpflichtungen (TEUR 273, Vorjahr: TEUR 197).; 5.60 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
5.9. Sonstige finanzielle Verpflichtungen; 62 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen finanziellen Verpflichtungen betreffen Zahlungsverpflichtungen aus Miet- und Leasingverträgen mit folgenden Fälligkeiten:; 62 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2016
TEUR
Innerhalb eines Jahres 2.928
Zwischen ein und fünf Jahren 5.948
In mehr als fünf Jahren 3.191
  12.067"; 62 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6. Erläuterungen zur Konzern-Gewinn- und Verlustrechnung;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.1. Umsatzerlöse; 5.66 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Umsatzerlöse des Konzerns setzen sich wie folgt zusammen:; 5.66, 47 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2016
TEUR 2015
TEUR
Inland Dienstleistungen 35.509 32.169
  Wartung 12.566 16.787
  Software 7.805 7.986
  Sonstige 158 89
    56.038 57.031
Ausland Dienstleistungen 13.411 9.432
  Wartung 3.796 3.916
  Software 1.638 1.692
  Sonstige 117 182
    18.962 15.222
Konzern   75.000 72.253
Gesamt Dienstleistungen 48.920 41.601
  Wartung 16.362 20.703
  Software 9.443 9.678
  Sonstige 275 271
    75.000 72.253"; 5.66, 47 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.2. Sonstige betriebliche Erträge; 5.69 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen betrieblichen Erträge beinhalten im Wesentlichen verrechnete Sachbezüge (TEUR 889, Vorjahr: TEUR 735), Erträge aus der Auflösung von Wertberichtigungen auf Forderungen (TEUR 280, Vorjahr: TEUR 116) sowie Erträge aus der Auflösung von Rückstellungen (TEUR 51, Vorjahr: TEUR 77).; 5.69 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen betrieblichen Erträge enthalten Erträge aus der Währungsumrechnung in Höhe von TEUR 122 (Vorjahr: TEUR 186).; 5.69, 53 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.3. Personalaufwendungen; 5.73 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Personalaufwand setzt sich wie folgt zusammen:; 5.73 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2016
TEUR 2015
TEUR
Löhne und Gehälter 31.410 26.531
Kosten der sozialen Sicherheit 6.236 5.038
Kosten der Altersversorgung 637 770
  38.283 32.339"; 5.73, 8, 59 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.4. Sonstige betriebliche Aufwendungen; 5.80 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die sonstigen betrieblichen Aufwendungen beinhalten vor allem Raum- und Gebäudekosten (TEUR 2.379, Vorjahr: TEUR 1.878), Fahrzeugkosten (TEUR 1.881, Vorjahr: TEUR 1.634), Vertriebs- und Marketingkosten (TEUR 1.758, Vorjahr: TEUR 1.076), Werbe- und Reisekosten (TEUR 1.467, Vorjahr: TEUR 976) sowie Rechts- und Beratungskosten (TEUR 1.006, Vorjahr: TEUR 820).; 5.80 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Aufwendungen aus der Währungsumrechnung belaufen sich auf TEUR 65 (Vorjahr: TEUR 35).; 5.80 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.5. Zinsergebnis; 5.85 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Zinserträge beinhalten mit TEUR 67 (Vorjahr: TEUR 70) Zinserträge aus Darlehen, die an Gesellschafter der COSMO CONSULT AG ausgereicht wurden.; 5.85 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Aufwendungen aus der Aufzinsung von langfristigen Rückstellungen in Höhe von TEUR 26 (Vorjahr: TEUR 25) betreffen ausschließlich Pensionsverpflichtungen.; 5.85, 52 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
6.6. Steuern vom Einkommen und Ertrag; 5.90 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Ertragsteueraufwand im Konzern setzt sich wie folgt zusammen:; 5.90 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2016
TEUR 2015
TEUR
Gezahlte bzw. geschuldete Steuern 3.444 4.661
Latente Steuern auf temporäre Differenzen -75 -768
  3.369 3.893"; 5.90, 55 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Für die Berechnung sowohl der laufenden als auch der latenten Steuern wurden die in den einzelnen Ländern zum Realisierungszeitpunkt erwarteten unternehmensindividuellen Steuersätze zugrunde gelegt.; 5.90, 24 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Körperschaftsteuersatz für inländische Gesellschaften beträgt 15,0 % zzgl. eines Solidaritätszuschlags auf die Körperschaftsteuer von 5,5 %. Der Gesamtsteuersatz für diese Gesellschaften liegt in Abhängigkeit vom anzuwendenden Gewerbesteuerhebesatz wie im Vorjahr zwischen 30,2 % und 32,3 %. Die angewandten Ertragsteuersätze für ausländische Gesellschaften variieren zwischen 22,0 % und 28,0 %.; 5.90, 24 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7. Sonstige Angaben;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.1. Kapitalflussrechnung;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Finanzmittelbestand umfasst die Posten Kassenbestand und Guthaben bei Kreditinstituten sowie kurzfristige Verbindlichkeiten gegenüber Kreditinstituten aus in Anspruch genommenen Kreditlinien.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.2. Angaben zu den Organen;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Dem Vorstand der COSMO CONSULT AG gehören an:

? 
Uwe Bergmann (Vorsitzender), Chief Executive Officer, Berlin

? 
Klaus Aschauer, Chief Customer Officer, Berlin

? 
Gerrit Schiller, Chief Operating Officer, Dresden

";;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Zum 31. Dezember 2016 bestehen Forderungen aus an Mitglieder des Vorstands und zugleich Gesellschafter der COSMO CONSULT AG ausgereichte Darlehen sowie aus anteiligen Zinsen in Höhe von TEUR 3.886 (Vorjahr: TEUR 3.870). Die Darlehen werden mit 1,75% p.a. verzinst und sind durch die Abtretung aller Ansprüche der Darlehensnehmer an Immobilien oder durch Buchgrundschuld besichert. Die ausgereichten Darlehen sind jeweils spätestens am 31. Dezember 2025 zur Rückzahlung fällig; die Darlehensnehmer sind berechtigt, jederzeit Sondertilgungen zu leisten."; 87 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Aufsichtsrat bestand aus folgenden Mitgliedern:;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Jesko Nobiling, Rechtsanwalt, Steuerberater, Berlin (Vorsitzender)

  
Joachim Scheich, Kaufmann, Marl (Stellvertretender Vorsitzender)

  
Horst Bergmann, Kaufmann, Münster";;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Vergütung des Aufsichtsrats für seine Tätigkeit im Geschäftsjahr 2016 beläuft sich auf TEUR 13.; 78 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.3. Mitarbeiter im Jahresdurchschnitt; 57 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die durchschnittliche Zahl der während des Geschäftsjahres beschäftigten Mitarbeiter ergibt sich wie folgt:; 57 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"2016 2015
Angestellte 552 442
Gewerbliche Arbeitnehmer - 
  552 442"; 57 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Außerdem wurden durchschnittlich 26 Auszubildende beschäftigt.; 57 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.4. Honorar des Abschlussprüfers; 66 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Für die erbrachten Dienstleistungen des Konzernabschlussprüfers sind Honorare (inkl. Auslagenersatz) in Höhe von TEUR 100 für das Geschäftsjahr 2016 als Aufwand erfasst worden. Diese entfallen komplett auf Abschlussprüfungsleistungen.; 66 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.5. Befreiung von der Offenlegung nach § 264 Abs. 3 HGB; 105 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
"Folgende Gesellschaften nehmen für das Geschäftsjahr 2016 die Befreiungsvorschriften nach § 264 Abs. 3 HGB in Anspruch:

? 
COSMO CONSULT GmbH, Münster

? 
COSMO CONSULT International GmbH, Berlin

? 
COSMO CONSULT 365 GmbH, Berlin

"; 105 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.6. Nachtragsbericht; 64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Nach Abschluss des Geschäftsjahres 2016 sind keine Vorgänge von besonderer Bedeutung eingetreten.; 64 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
7.7. Vorschlag zur Gewinnverwendung;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die COSMO CONSULT AG weist für das Geschäftsjahr 2016 einen Jahresüberschuss von TEUR 3.001 aus. Unter Einbeziehung des Gewinnvortrags ergibt sich zum 31. Dezember 2016 ein Bilanzgewinn von TEUR 10.954, welcher bereits um die mit Beschluss vom 18. Januar 2017 beschlossene Ausschüttung in Höhe von TEUR 1.000 gemindert wurde.; 32 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Vorstand und Aufsichtsrat schlagen der Hauptversammlung vor, den Bilanzgewinn auf neue Rechnung vorzutragen.; 63 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Berlin, 4. Oktober 2017;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
