Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die Hauptversammlung hat am 09.06.2016 die bedingte Erhöhung des Grundkapitals von bis zu 2.000.000 Euro beschlossen (""Bedingtes Kapital 2016""). Das Grundkapital ist um bis zu 2.00.000 Euro durch
Ausgabe von bis zu 2.000.000 neuen, auf den Inhaber lautenden Stückaktien bedingt erhöht. Die bedingte Kapitalerhöhung wird nur insoweit durchgeführt, wie die Inhaber von Options- und Wandelungsrechten
oder die zur Wandlung- oder Optionsausübung Verpflichteten aus Options- und Wandelschuldverschreibungen, die von der Gesellschaft oder einer nachgeordneten Konzerngesellschaft der Gesellschaft auf Grund
der von der Hauptversammlung am 09.06.2016 beschlossenen Ermächtigung bis zum 08.06.2021 ausgegeben oder garantiert werden, von Ihren Options- oder Wandlungsrechten Gebrauch machen oder, soweit
sie zur Wandlung oder Optionsausübung verpflichtet sind, ihre Verpflichtung zur Wandlung oder Optionsausübung erfüllen oder soweit die Gesellschaft ein Wahlrecht ausübt, ganz oder teilweise anstelle der
Zahlung des fälligen Geldbetrags Stammaktien der Gesellschaft zu gewähren."; 5.38, 133 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Ausschüttungssperre;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Zum 31.12.2016 besteht in Höhe der Bilanzposition ""selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte"" ausgewiesene Vermögensgegenstände in Höhe von 1.178 TEUR (im Vorjahr:
858 TEUR) sowie zusätzlich in Höhe des Bilanzpostens ""Aktive latente Steuern"" in Höhe von 1.921 TEUR (im Vorjahr: 1.921 TEUR) eine Ausschüttungssperre.";59;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Rückstellungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die sonstigen Rückstellungen in Höhe von 1.403 TEUR (im Vorjahr 616 TEUR) beinhalten im Wesentlichen Rückstellungen für Personalaufwendungen, Gewährleistungen und Beratungsleistungen.; 5.50 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Rückstellungen für Personalkosten bestehen insbesondere für die Auszahlung variabler Gehaltsbestandteile.
Rückstellungen für noch zu erbringende Beratungsleistungen bestanden zum Stichtag in Höhe von 893 TEUR (im Vorjahr 0 TEUR)."; 5.50 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Verbindlichkeiten aus Lieferungen und Leistungen und sonstige Verbindlichkeiten;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Verbindlichkeiten aus Lieferungen und Leistungen in Höhe von 656 TEUR (im Vorjahr 599 TEUR) sind nicht verzinslich und haben in der Regel eine Fälligkeit von 30 Tagen. Sonstige Verbindlichkeiten
bestehen in Höhe von 1.012 TEUR (im Vorjahr 536 TEUR) und beinhalten im Wesentlichen Verbindlichkeiten aus der Inanspruchnahme von Darlehen und Steuerverbindlichkeiten. Alle Verbindlichkeiten haben
eine Laufzeit bis zu einem Jahr, Verbindlichkeiten mit einer Laufzeit von über 5 Jahren bestehen nicht. Nachfolgend findet sich eine Übersicht der Verbindlichkeiten und ihrer Laufzeiten:"; 5.56, 71 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Art der Verbindlichkeiten zum 31.12.2016 Gesamtbetrag davon mit einer Restlaufzeit
31.12.2016.
TEUR
< 1. Jahr.
TEUR
1. bis 5. Jahre.
TEUR
>5. Jahre.
TEUR
gegenüber Kreditinstituten 428 428 0 0
aus Lieferung und Leistung 556 655 0 0
sonstige Verbindlichkeiten 1.012 1.012 0 0
davon gegenüber Hauptaktionären 525 525 0 0
Summe 2.095 2.095 0 0"; 5.51, 71 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Erhaltene Anzahlungen;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Zum Bilanzstichtag betrugen die erhaltenen Anzahlungen für noch nicht abgeschlossene Aufträge 16 TEUR gegenüber einem Vorjahreswert von 162 TEUR. Der Auftragsbestand resultiert aus wenigen Projektarbeiten
die zu Beginn eine Abschlagzahlung vorsehen."; 5.55 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Passive Rechnungsabgrenzung;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die passive Rechnungsabgrenzung betreffen Abgrenzungen aus im Voraus abgerechneten Dienstleistungsprojekten.
TEUR 31.12.2016 31.12.2015
Miete Leasing Gesamt Miete Leasing Gesamt
bis zu einem Jahr 280 1830 2110 136 132 268
ein bis fünf Jahre 742 732 1474 543 528 1071
über fünf Jahre 0 0 0 0 0 0
Summe 1022 2562 3584 679 660 1339"; 5.63 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.7 Sonstige Angaben;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Mitarbeiter;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Im Geschäftsjahr beschäftigt der mVISE Konzern im Durchschnitt 72 Mitarbeiter (gegenüber dem Vorjahr mit 59 Mitarbeitern). Vorstände sind in dieser Zahl enthalten. Die Mitarbeiter gliedern sich in 63
operative und 9 administrative (gegenüber dem Vorjahr mit 52 operativen und 7 administrativen).";130;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.8 Nachtragsbericht;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Eine weitere Aufstockung der Anteile an der Just Intelligence erfolgte im Januar 2017 auf 78% durch Ausgabe von 210.000 Aktien im Rahmen einer Sachkapitalerhöhung aus dem genehmigten Kapital der
mVISE AG.";141;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Am 08.05.2017 hat die mVISE AG die Übernahme der Mehrheit von 75,1% an der alastic.io GmbH, Bonn bekanntgegeben. Die Übernahme von 75,1% erfolgt gegen Zahlung von Barmittel, für die verbleibenden
24,9% wurde ebenfalls eine vertragliche Regelung getroffen.";141;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Weitere Vorgänge von besonderer Bedeutung nach Ende des Geschäftsjahres, die wesentliche Auswirkung auf die Vermögens-, Finanz- und Ertragslage des Konzerns haben könnten, haben sich nicht ereignet.;141;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.9 Organe;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Vorstand;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Vorstand der mVISE AG bestand im Geschäftsjahr 2016 aus folgenden Mitgliedern:
Manfred Götz, Dipl. Informatiker (FH), Ratingen
Rainer Bastian, Dipl. Pädagoge, Düsseldorf
Die Gesellschaft wird durch beide Vorstände gemeinsam vertreten.";191;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Aufsichtsrat;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Aufsichtsrat setzte sich im Geschäftsjahr 2016 aus folgenden Personen zusammen:
Achim Plate, Dipl. Ing., Glückstadt, Vorsitzender des Aufsichtsrats, geschäftsführender Gesellschafter der SPSW Capital GmbH, Hamburg
Franziska Oelte, Rechtsanwältin, Hamburg, stellvertretende Vorsitzende des Aufsichtsrats, Vorsitzende des Aufsichtsrates der hello.de AG, Berlin
Malte-Matthias von der Ropp, Dipl. Kaufmann, Köln, Aufsichtratsmitglied ,Mitglied im Beirat der clickworker GmbH, Essen
Henning Soltau, Hamburg, Geschäftsführer der SPSW Capital GmbH, Ersatzmitglied des Aufsichtsrats (seit 27.08.2015)
Für mVISE AG veröffentlicht am 25. Oktober 2017.
mit Veröffentlichungsart Jahresabschlüsse
Quelle: Bundesanzeiger
Herr Plate und Herr Soltau waren im Geschäftsjahr nicht Mitglied in anderen gesetzlich zu bildenden Aufsichtsräten oder in vergleichbaren in- oder ausländischen Kontrollgremien von Wirtschaftsunternehmen.
Die Vergütung des Aufsichtsrats betrug im Berichtsjahr exklusive der Erstattung von Auslagen 25 TEUR (Vorjahr 20,4 TEUR). Die Angaben der Gesamtbezüge der Vorstände unterbleiben auf Grund der
Schutzklausel des §314 Abs. 3 S.2 HGB i.V.m. § 286 Abs. 4 HGB."; 191, 193 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Geschäfte mit nahestehenden Personen:;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Nahestehende Unternehmen und Personen sind juristische oder natürliche Personen, die auf den mVISE Konzern Einfluss nehmen können oder der Kontrolle oder des maßgeblichen Einflusses durch den mVISE
Konzern unterliegen. Bei den Geschäften mit nahestehenden Personen handelt es sich vor allem um Liefer-, Dienstleistungs- und Finanzierungsgeschäfte mit Tochterunternehmen des mVISE Konzerns. Sofern
für derartige Geschäfte ein entsprechender Markt besteht, werden Sie zu den jeweiligen marktüblichen Konditionen abgeschlossen.";177;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"8 Einzelabschluss -Bilanz 31.12.2016
der mVISE AG";;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Aktiva
31.12.2016.
EUR
31.12.2015.
EUR
A. Anlagevermögen
I. Immaterielle Vermögensgegenstände 1.242.833,00 1.006.775,00
II. Sachanlagen 72.586,00 50.685,00
III. Finanzanlagen 647.297,52 459.874,35
1.962.716,52 1.517.334,35
B. Umlaufvermögen
I. Vorräte
Unfertige Leistungen 107.255,68 268.677,59
II. Forderungen und sonstige Vermögensgegenstände
1. Forderungen aus Lieferungen und Leistungen 740.020,75 732.259,13
2. Forderungen gegen verbundene Unternehmen 402.306,10 58.036,37
3. Sonstige Vermögensgegenstände 167.413,46 151.888,76
--davon mit einer Restlaufzeit größer einem Jahr EUR 5.318,38 (iVj. TEUR 0)--
1.309.740,31 942.184,76
III. Kassenbestand, Guthaben bei Kreditinstituten 142.030,79 68.711,19
31.12.2016.
EUR
31.12.2015.
EUR
1.559.026,78 1.279.573,54
C. Rechnungsabgrenzungsposten 14.799,06 16.381,01
D. Aktive latente Steuern 1.920.689,40 1.920.689,40
5.457.231,76 4.733.978,30
Passiva
31.12.2016.
EUR
31.12.2015.
EUR
A. Eigenkapital
I. Grundkapital 8.164.052,00 7.914.052,00
II. Kapitalrücklage 13.782.471,78 13.652.471,78
III. Bilanzverlust -19.296.176,93 -18.895.685,18
IV. Fehlbetrag -277.339,14 -400.491,75
2.373.007,71 2.270.346,85
B. Rückstellungen
Sonstige Rückstellungen 1.370.322,47 616.280,17
C. Verbindlichkeiten
1. Verbindlichkeiten gegenüber Kreditinstituten
--davon mit einer Restlaufzeit bis zu einem Jahr EUR 427.661,69 (i.Vj. TEUR 0)-- 427.661,69 8,21
2. erhaltene Anzahlungen auf Bestellungen
--davon mit einer Restlaufzeit bis zu einem Jahr EUR 16.012,50 (i.Vj. TEUR 162)-- 16.012,50 161.893,81
3. Verbindlichkeiten aus Lieferungen und Leistungen
--davon mit einer Restlaufzeit bis zu einem Jahr EUR 462.300,95 (i.Vj. TEUR 599)-- 462.300,95 599.241,91
4. Sonstige Verbindlichkeiten
--davon aus Steuern EUR 126.933,40 (i. Vj. TEUR 169)--
--davon im Rahmen der Sozialen Sicherheit EUR 6.919,95 (i.Vj. TEUR 12)--
--davon mit einer Restlaufzeit bis zu einem Jahr EUR 807.926,44 (i.Vj. TEUR 536)-- 807.926,44 535.829,77
1.713.901,58 1.296.973,70
D. Rechnungsabgrenzungsposten 0,00 550.377,58
5.457.231,76 4.733.978,30
31.12.2016.
EUR
31.12.2015.
EUR
0,00 0,00";;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
