Ab S. 22; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Im Vorjahr unter den auáerordentlichen Aufwendungen ausgewiesene Aufwendungen in H”he von EUR 223.153,00 wurden zur Anpassung der Vorjahresvergleichszahlen in die Position sonstige betriebliche
Aufwendungen umgegliedert."; 1,3,4.80 ;2016;AG;Jahresabschluss;Kesel & Partner
21. SONSTIGE ZINSEN UND HNLICHE ERTRGE; 4.85 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016 2015
EUR TEUR
Zinsertrag aus der Aufzinsung von Forderungen 13.794,03 27
Sonstige 186.692,70 215
200.486,73 242"; 4.85,66 ;2016;AG;Jahresabschluss;Kesel & Partner
22. ZINSEN UND HNLICHE AUFWENDUNGEN; 4.88 ;2016;AG;Jahresabschluss;Kesel & Partner
"2016 2015
EUR TEUR
Zinsaufwand aus der Aufzinsung von Rckstellungen 611.673,00 3.348
Sonstige 365.102,00 369
976.775,00 3.717"; 4.88,66 ;2016;AG;Jahresabschluss;Kesel & Partner
23. STEUERN VOM EINKOMMEN UND VOM ERTRAG; 4.90 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Steuern vom Einkommen und vom Ertrag betreffen zum weit berwiegenden Teil das Ergebnis der gew”hnlichen Gesch„ftst„tigkeit.; 4.90,69 ;2016;AG;Jahresabschluss;Kesel & Partner
SONSTIGE ANGABEN;;2016;AG;Jahresabschluss;Kesel & Partner
24. ARBEITNEHMERZAHLEN;;2016;AG;Jahresabschluss;Kesel & Partner
"Die durchschnittliche Mitarbeiterzahl betrug:
2016 2015
Arbeiter (davon 22 Teilzeitkr„fte) 337 330
Angestellte (davon 71 Teilzeitkr„fte) 459 450
796 780"; 80 ;2016;AG;Jahresabschluss;Kesel & Partner
25. BEWERTUNGSEINHEITEN/DERIVATIVE FINANZINSTRUMENTE;;2016;AG;Jahresabschluss;Kesel & Partner
"Zur Absicherung von Wechselkursrisiken aus Fremdw„hrungsforderungen und zuknftigen, mit hoher Wahrscheinlichkeit erwarteten Zahlungsmittelzuflssen in Fremdw„hrungen wurden im Gesch„ftsjahr 2016,
wie bereits im Vorjahr, Bewertungseinheiten gebildet:"; 30 ;2016;AG;Jahresabschluss;Kesel & Partner
"Nominalvolumen
31.12.2016
Nominalvolumen
31.12.2015
abgesichertes Risiko EUR TEUR
Art der Grundgesch„fte
- Verm”gensgegenst„nde Wechselkursrisiko 7.677.143,32 1.339
- mit hoher Wahrscheinlichkeit erwartete Transaktionen Wechselkursrisiko 43.260,70 135"; 31 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Zusammenfassung der Gesch„fte in Bewertungseinheiten erfolgt in Form von Mikro-Hedges.; 29,30 ;2016;AG;Jahresabschluss;Kesel & Partner
"Aufgrund identischer Basisrisiken in den Grund- und Sicherungsgesch„ften, welche mit dem Wert von 1 negativ korreliert sind, gleichen sich die Marktwert„nderungen innerhalb der Bewertungseinheiten
vollst„ndig aus. Zur Effektivit„tsmessung wird daher die Critical Terms Match-Methode verwendet. Eine bilanzielle Bercksichtigung der negativen Marktwerte einzelner Grund- oder Sicherungsgesch„fte war
aufgrund des Ausgleichs innerhalb der bestehenden Bewertungseinheiten nicht erforderlich."; 30   ;2016;AG;Jahresabschluss;Kesel & Partner
Die Bewertungseinheiten zur Besicherung der Wechselkursrisiken laufen in 2017 entsprechend der Forderungstilgung aus.; 31   ;2016;AG;Jahresabschluss;Kesel & Partner
"Bei den mit hoher Wahrscheinlichkeit erwarteten Transaktionen handelt es sich, ebenso wie bei den abgesicherten Verm”gensgegenst„nden, im Wesentlichen um zuknftige Zahlungsmittelzuflsse in Fremdw„hrungen
von Konzernunternehmen der Duravit AG aus routinem„áigen Liefer- und Leistungsbeziehungen."; 31   ;2016;AG;Jahresabschluss;Kesel & Partner
Im Rahmen der Besicherung der oben dargestellten Bewertungseinheiten werden derivative Finanzinstrumente in folgendem Umfang eingesetzt:; 31   ;2016;AG;Jahresabschluss;Kesel & Partner
"Nominalvolumen
31.12.2016 Zeitwerte 31.12.2106 Buchwerte 31.12.2016
Nominalvolumen
31.12.2015 Zeitwerte 31.12.2015 Buchwerte 31.12.2015
EUR EUR EUR TEUR TEUR TEUR
Devisenterminkontrakte
- positive Zeitwerte 2.978.501,03 43.586,98 0,00 0 0 0
- negative Zeitwerte 4.741.902,99 -219.110,97 0,00 1.474 -7 0"; 31   ;2016;AG;Jahresabschluss;Kesel & Partner
Die Zeitwerte der derivativen Finanzinstrumente werden anhand der von Kreditinstituten best„tigten Marktwerte unter Glattstellungsfiktion ermittelt.; 31 ;2016;AG;Jahresabschluss;Kesel & Partner
26. AUSSERBILANZIELLE GESCHFTE;;2016;AG;Jahresabschluss;Kesel & Partner
"Art Immobilienleasing Designcenter Hornberg
Zweck Optimierung der Bilanzstruktur (Eigenkapitalquote)
Risiken und Vorteile
- Risiken Die durchschnittliche j„hrliche Gesamtbelastung betr„gt wegen einer variablen Gestaltung
der Zahlungsbelastungen TEUR 1.223. Dabei betr„gt die Restlaufzeit 1,67 Jahre fr einen
Betrag von TEUR 761, 7,17 Jahre fr einen Betrag von TEUR 417 sowie 17,67 Jahre fr einen
Betrag von TEUR 45. Ein Risiko besteht in einer m”glichen Erh”hung des Zinsniveaus
nach Ablauf der vertraglich vereinbarten Zinsbindung, die am 31.08.2018 endet.
- Vorteile Aufgrund des bestehenden Sachoptionsvertrags kann die Gesellschaft das Objekt nach Ablauf
der vertraglich festgelegten Fristen zu den kalkulierten Restwerten erwerben und somit
unbegrenzt weiter nutzen."; 82   ;2016;AG;Jahresabschluss;Kesel & Partner
27. SONSTIGE FINANZIELLE VERPFLICHTUNGEN;;2016;AG;Jahresabschluss;Kesel & Partner
"Belastung 2016 Restlaufzeit
TEUR 31.12.2016
Leasing/Miete EDV, technische Anlagen und Maschinen 353 bis 1 Jahr"; 83   ;2016;AG;Jahresabschluss;Kesel & Partner
28. ABSCHLUSSPRšFERHONORARE;;2016;AG;Jahresabschluss;Kesel & Partner
"2016 2015
EUR TEUR
Abschlussprfungsleistungen 76.989,58 73
Steuerberatungsleistungen 10.800,00 11
Sonstige Leistungen 1.500,00 15
89.289,58 99"; 89   ;2016;AG;Jahresabschluss;Kesel & Partner
29. VORSTAND;;2016;AG;Jahresabschluss;Kesel & Partner
"Prof. Dr. Frank Richter, Ulm - Vorsitzender -
Thomas Stammel, Hornberg
Dr. Reinhard Volk, Waldbronn-Etzenrot
Gesamtbezge 2016 EUR 3.185.293,55
Frhere Organmitglieder und ihre Hinterbliebenen
- Pensionen an frhere Vorst„nde bzw. Gesch„ftsfhrer und ihre Hinterbliebenen EUR 389.916,00
- dto. fr diese Personengruppe gebildete Pensionsrckstellungen (ohne Deckungslcke) EUR 5.549.621,00"; 102   ;2016;AG;Jahresabschluss;Kesel & Partner
30. AUFSICHTSRAT;;2016;AG;Jahresabschluss;Kesel & Partner
"Gregor Greinert, Kaufmann, Mannheim - Vorsitzender -
Klaus Greinert, Kaufmann, Mannheim - stellvertretender Vorsitzender -
Jutta Greinert, Kauffrau, Mannheim
Miguel Angel Munar, Master of Business and Economics, (bis 31.03.2016) Barcelona
Alexander Zschokke, CEO/President Franke Group, (ab 23.06.2016) Ksnacht
Axel Schmider, technischer Angestellter Badm”belfertigung, Gutach*
Thomas Mller, Abteilungsleiter Keramikproduktion, Hornberg*
* = Arbeitnehmervertreter
Gesamtbezge 2016 EUR 196.256,00"; 102   ;2016;AG;Jahresabschluss;Kesel & Partner
31. MITTEILUNGEN NACH õ 20 AKTG;;2016;AG;Jahresabschluss;Kesel & Partner
"Die Franke Deutschland Holding GmbH, Bad S„ckingen, hat mitgeteilt, dass ihr unmittelbar und damit der Franke Holding AG (Aarburg/Schweiz), der Artemis Holding AG (Hergiswil/Schweiz), der Centinox
Holding AG (Hergiswil/Schweiz) und Herrn Michael Pieper (Hergiswil/Schweiz) kraft Zurechnung gem„á õõ 20 Abs. 1, 16 Abs. 4 AktG mittelbar mehr als der vierte Teil der Aktien der Duravit AG, Hornberg,
geh”rt."; 99   ;2016;AG;Jahresabschluss;Kesel & Partner
32. NACHTRAGSBERICHT;;2016;AG;Jahresabschluss;Kesel & Partner
Der Gerichtshof der Europ„ischen Union (Vierte Kammer) hat mit Urteil vom 26.01.2017 ber unsere Revisionsklage vom 16.09.2013 (sog. Badezimmerkartell) entschieden.; 85   ;2016;AG;Jahresabschluss;Kesel & Partner
"Die fraglichen Vorg„nge, an denen Duravit beteiligt gewesen sein soll, betreffen Zeitr„ume vor 2005. In dem nunmehr gef„llten Urteil des Gerichtshofes ging es u.a. um Verfahrensfragen mit Sorgfaltspflichten
der Kommission und des Gerichts in der ersten Instanz bei der Prfung von Aussagen."; 85   ;2016;AG;Jahresabschluss;Kesel & Partner
Unsere diesbezglich eingebrachten Rechtsmittelgrnde wurden abgewiesen. S„mtliche Strafzahlungen wurden von Duravit in der Vergangenheit bereits beglichen.; 85   ;2016;AG;Jahresabschluss;Kesel & Partner
33. VORSCHLAG FšR DIE VERWENDUNG DES BILANZGEWINNS;;2016;AG;Jahresabschluss;Kesel & Partner
Der Jahresabschluss weist einen Bilanzgewinn von EUR 7.059.861,75 aus.; 78 ;2016;AG;Jahresabschluss;Kesel & Partner
"Im Einvernehmen mit dem Aufsichtsrat schl„gt der Vorstand der Hauptversammlung vor, aus dem Bilanzgewinn eine Ausschttung von EUR 5.645.103,00 vorzunehmen, EUR 1.414.000,00 in die anderen
Gewinnrcklagen einzustellen und EUR 758,75 auf neue Rechnung vorzutragen."; 84   ;2016;AG;Jahresabschluss;Kesel & Partner
Hornberg, den 2. M„rz 2017;;2016;AG;Jahresabschluss;Kesel & Partner
Duravit Aktiengesellschaft;;2016;AG;Jahresabschluss;Kesel & Partner
"Der Vorstand
Prof. Dr. Frank Richter
Thomas Stammel
Dr. Reinhard Volk";;2016;AG;Jahresabschluss;Kesel & Partner
