;  Annotierung (Angabe Nummer in Anahngscheckliste)  ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;
Die Geschäfts- oder Firmenwerte in der BP ESE betreffen im Wesentlichen mit TEUR 47.742 (Vorjahr: TEUR 143.225) Aral und mit TEUR 1.514 (Vorjahr: TEUR 4.541) ERE (Erdölraffinerie Emsland, Lingen) und werden linear über einen Zeitraum von mehr als fünf Jahren abgeschrieben. Planmäßige Abschreibungen in Höhe von TEUR 98.510 (Vorjahr: TEUR 98.510) wurden auf die Firmenwerte Aral und ERE vorgenommen.; 4.5 ;2016;BP Europa SE;Jahresabschluss;EY;;
Finanzanlagevermögen; 4.12 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE hat außerplanmäßige Abschreibungen in Höhe von TEUR 93.015 (Vorjahr: TEUR 2.254) vorgenommen.; 4.12, 64 ;2016;BP Europa SE;Jahresabschluss;EY;;
Entwicklung des Anlagevermögen vom 1. Januar - 31. Dezember 2016; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Anschaffungs- und Herstellungskosten
Stand 1.1.2016 Fremdwährungs-.
bewertung
Zugänge Zugänge aus Anwachsungen
/ Verschmelzungen
Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und
Werte
133.157 -20 26.107 0"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Anschaffungs- und Herstellungskosten
Stand 1.1.2016 Fremdwährungs-.
bewertung
Zugänge Zugänge aus Anwachsungen
/ Verschmelzungen
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
174.892 -633 4.851 0
Geschäfts- oder Firmenwert 1.491.743 0 0 0
Geleistete Anzahlungen 36.205 -158 15.119 444
Immaterielle Vermögensgegenstände 1.835.997 -811 46.077 444
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der
Bauten auf fremden Grundstücken
1.984.915 -17.528 21.888 0
Technische Anlagen und Maschinen 2.801.404 -3.159 43.332 0
Andere Anlagen, Betriebs- und Geschäftsausstattung 216.174 -978 6.313 307
Geleistete Anzahlungen und Anlagen im Bau 214.222 -686 125.918 0
Sachanlagen 5.216.715 -22.351 197.451 307
Anteile an verbundenen Unternehmen 2.114.312 -71 1.039 0
Ausleihungen an verbundene Unternehmen 6.907 0 1.024 1.772
Beteiligungen 176.657* 27 626.990 0
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht
298.953 2 128 43
Wertpapiere des Anlagevermögens 539 0 0 0
Sonstige Ausleihungen 14.724 -276 6.694 3.714
Finanzanlagen 2.612.092 -318 635.875 5.529
Anlagevermögen 9.664.804 -23.480 879.403 6.280
Anschaffungs- und Herstellungskosten
Abgänge Umbuchungen Stand 31.12.2016
Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte 10.847 2.178 150.575
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie
Lizenzen an solchen Rechten und Werten
1.255 12.565 190.420
Geschäfts- oder Firmenwert 0 493 1.492.236
Geleistete Anzahlungen 1 -15.460 36.149
Immaterielle Vermögensgegenstände 12.103 -224 1.869.380"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Anschaffungs- und Herstellungskosten
Abgänge Umbuchungen Stand 31.12.2016
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken
27.449 18.564 1.980.390
Technische Anlagen und Maschinen 72.702 114.339 2.883.214
Andere Anlagen, Betriebs- und Geschäftsausstattung 5.237 11.965 228.544
Geleistete Anzahlungen und Anlagen im Bau 998 -144.644 193.812
Sachanlagen 106.386 224 5.285.960
Anteile an verbundenen Unternehmen 3.703** 690.000 2.801.577
Ausleihungen an verbundene Unternehmen 735 146.421 155.389
Beteiligungen 74.300 -638.000 91.374
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht 21.946 -198.421 78.759
Wertpapiere des Anlagevermögens 0 0 539
Sonstige Ausleihungen 10.013 0 14.843
Finanzanlagen 110.697 0 3.142.481
Anlagevermögen 229.186 0 10.297.821"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Entwicklung der Abschreibungen
Stand 1.1.2016 Fremdwährungs-.
bewertung
Abschreibungen Zugänge aus Anwachsungen
/ Verschmelzungen
Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und
Werte
16.383 12 13.391 0
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
105.927 457 17.132 0
Geschäfts- oder Firmenwert 1.343.099 0 98.800 0
Geleistete Anzahlungen 0 0 0 0
Immaterielle Vermögensgegenstände 1.465.409 469 129.323 0
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der
Bauten auf fremden Grundstücken
1.084.514 5.565 43.042 0
Technische Anlagen und Maschinen 2.279.653 1.469 81.156 0
Andere Anlagen, Betriebs- und Geschäftsausstattung 161.037 709 15.489 307
Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0
Sachanlagen 3.525.204 7.743 139.687 307
Entwicklung der Abschreibungen
Stand 1.1.2016 Fremdwährungs-.
bewertung
Abschreibungen Zugänge aus Anwachsungen
/ Verschmelzungen
Anteile an verbundenen Unternehmen 173.576 0 8.015 0
Ausleihungen an verbundene Unternehmen 0 0 0 0
Beteiligungen 12.872* 0 25.000 0
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht
707 0 60.000 0
Wertpapiere des Anlagevermögens 96 0 0 0
Sonstige Ausleihungen 672 -3 0 305
Finanzanlagen 187.923 -3 93.015 305
Anlagevermögen 5.178.536 8.209 362.025 612
Entwicklung der Abschreibungen
Abgänge Zuschreibungen Umbuchungen Stand 31.12.2016
Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und
Werte
2.622 0 216 27.356
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
1.041 0 -13 121.548
Geschäfts- oder Firmenwert 0 0 0 1.441.899
Geleistete Anzahlungen 0 0 0 0
Immaterielle Vermögensgegenstände 3.663 0 203 1.590.803
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der
Bauten auf fremden Grundstücken
24.423 0 -17.422 1.080.146
Technische Anlagen und Maschinen 69.774 0 14.794 2.304.360
Andere Anlagen, Betriebs- und Geschäftsausstattung 4.998 0 2.425 173.551
Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0
Sachanlagen 99.195 0 -203 3.558.057
Anteile an verbundenen Unternehmen 526 0 0 181.065
Ausleihungen an verbundene Unternehmen 0 0 0 0
Beteiligungen 0 0 0 37.872
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht
0 0 0 60.707"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Entwicklung der Abschreibungen
Abgänge Zuschreibungen Umbuchungen Stand 31.12.2016
Wertpapiere des Anlagevermögens 0 0 0 96
Sonstige Ausleihungen 256 1 0 723
Finanzanlagen 782 1 0 280.463
Anlagevermögen 103.640 1 0 5.429.323"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nettobuchwerte
Stand 31.12.2016 Stand 31.12.2015
Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte 123.219 116.774
Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten
und Werten
68.872 68.965
Geschäfts- oder Firmenwert 50.337 148.644
Geleistete Anzahlungen 36.149 36.205
Immaterielle Vermögensgegenstände 278.577 370.588
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 900.244 900.401
Technische Anlagen und Maschinen 578.854 521.751
Andere Anlagen, Betriebs- und Geschäftsausstattung 54.993 55.137
Geleistete Anzahlungen und Anlagen im Bau 193.812 214.222
Sachanlagen 1.727.903 1.691.511
Anteile an verbundenen Unternehmen 2.620.512 1.940.736
Ausleihungen an verbundene Unternehmen 155.389 6.907
Beteiligungen 53.502 163.785
Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht 18.052 298.246
Wertpapiere des Anlagevermögens 443 443
Sonstige Ausleihungen 14.120 14.052
Finanzanlagen 2.862.018 2.424.169
Anlagevermögen 4.868.498 4.486.268
* Im Vorjahr zu hoch ausgewiesene Werte der Anschaffungs- und Herstellungskosten sowie der Wertberichtigungen wurden erfolgsneutral korrigiert.
** davon Abgänge aus Verschmelzungen - TEUR 2.890
"; 15 ;2016;BP Europa SE;Jahresabschluss;EY;;
Liste des Anteilsbesitzes; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
Beteiligungsstand zum 31.12.2016; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
BP Europa SE
1. Actomat B.V. 100,00%
2. AGES Maut System
GmbH & Co. KG
24,70%
3. AG ES EETS GmbH 100,00%
4. AG ES ETS GmbH 100,00%
5. AG ES International
GmbH & Co.KG
100,00%
6. AGES Maut System Verwaltungs-
GmbH
100,00%
7. AG ES RUC GmbH 100,00%
B. AGES GTA GmbH 100,00%
9. AGES GTC GmbH 100,00%
10. Aircraft Fuel Supply B.V. 9,09%
11. Aircraft Refuelling Company
GmbH
33,33%
12. Ammenn GmbH 50,00%
13. Anal Aktiengesellschaft 100,00%
14. Aral Luxembourg S.A. 100,00%
15. Aral Services Luxembourg
S.à r.l.
100,00%
16. Aral Tankstellen Services
S. r.l.
100,00%
17. Anal Mineralölvertrieb
GmbH
100,00%
18. Anal Vertrieb GmbH 100,00%
19. Autobahn-Betriebe GmbH 32,58%
20. BAYERNOII. Raffineriegesellschaft
mbH
10,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
21. Beer GmbH 50,00%
22. Beer GmbH & Co. Mineralöl-
Vertriebs-KG
50,00%
23. BFS Berlin Fuelling Services
GbR
12,50%
24. BGFH Betankungs-Gesellschaft
Frankfurt-Hahn
GbR
50,00%
25. BP Gelsenkirchen GmbH 100,00%
26. BP Holdings international
B.Y.
100,00%
27. Air BP Albania SHA 100,00%
28. Air BP Safes Romania
S.R.L
95,00%
29. BP Management International
B.V.
100,00%
30. BP Marketing Egypt LLC 95,00%
31. BP Mauritius Limibad 100,00%
32. BP Muturi Holdings B.V. 100,00%
33. BP Nederland Holdings
B.Y.
100,00%
34. Air BP Sales Romania
S.R.L
5,00%
35. BP Exploracion de Venezuela
S. A.
100,00%
36. BP Management Netherlands
B. V.
100,00%
37. BP RaffinaderiJ Rotterdam
B. V.
100,00%
38. Castrol B. V. 100,00%
39. Castrol Lubricants (CR)
s.r.o.
10,00"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
40. Windpark Energy Nederland
B. V.
100,00%
41. BP Oil and Chemicals International
Philippinen
100,00%
42. BP PETRONAS Acetyls
Sdn. Bhd.
70,00%
43. BP Toplivnaya Kompanya
LLC
100,00%
44. Castrol Lubricants (CR)
s.r.o.
90,00%
45. Castrol Lubricants (RO)
S.R.L
100,00%
46. Castrol Pakistan (Private)
Limibad
100,00%
47. Castrol Slovensko s.r.o. 99,00%
48. Jamaica Aircraft Refuelling
Services Limibad
51,00%
49. Setra Lubricants 100,00%
50. BP Lingen GmbH 100,00%
51. bp Lubas Marketing
GmbH
100,00%
52. BP Luxembourg S.A. 100,00%
53. BP Capellen S.à r.l. 100,00%
54. BP 011 Marketing GmbH 100,00%
55. BP Olec Fanal Mineralöl
GmbH
100,00%
56. BP Fuels Deutschland
GmbH
100,00%
57. N.V. Rotterdam-Rijn Pijpleiding
Maatschappij
N.V.
2222%
58. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
15,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
59. BP Polska Services Sp. z
o.o.
100,00%
60. BP Refining & Petrochemicals
GmbH
100,00%
61. BP Trade and Supply
(Germany) GmbH
100,00%
62. Bunde-Etel-Pipelinegesellschaft
mbH & Co. KG
16,00%
63. Bunde-Etel-Pipeline Verwaltungsgesellschaft
mbH
16,00%
64. Castrol Austria GmbH 100,00%
65. Castrol Hungöria Kft 100,00%
66. Castrol Industrie und Service
GmbH
100,00%
67. Conoassionaria Stalvedro
SA
50,00%
68. CSG Convenience Service
GmbH
24,80%
69. Düsseldorf Fuelling Servioas
(DFS) GbR
33,30%
70. Deutsche Transalpine Oelleftung
GmbH
9,00%
71. Erdöl-Lagergesellschaft
mbH
23,07%
72. ELG Asset GmbH
(ELAG), Lannach
100,00%
73. ELG Beteiligung GmbH
(ELBG), Lannach
100,00%
74. Erdöl Tanklagerbetrieb
GmbH
100,00%
75. eroil Mineraloel GmbH -
Diehl
50,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
76. Etel-Kavernenbetriebsgesellschaft
mbH & Co. KG
33,33%
77. Etel-Kavernenbetriebs-
Verwaltungsgesellschaft
mbH
33,33%
78. FFS Frankfurt Fuelling
Services (GmbH & Co.)
OHG
33,30%
79. Fibil SA 50,00%
80. Fip Verwaltungs GmbH 50,00%
81. Flughafen Düsseldorf
Tanklager GmbH
10,00%
82. Flughafen Hannover Pipelinegesellschaft
mbH &
Co. KG
50,00%
83. Flughafen Hannover Pipeline
Verwaltungsgesellschaft
mbH
50,00%
84. Freebees B.V. 100,00%
85. FSH Flughafen-Schwechat-
Hydranbangesellschaft
OG
1428%
86. Gasolin GmbH 100,00%
87. Geneva Fuelling Services
SA
20,00%
88. Georg Reitberger Mineralöle
Verwaltungs GmbH
50,00%
89. Reitberger Mineralöle
GmbH & Co. KG
50,00%
90. GezamenliJke Tankdienst
Schiphol B.V.
50,00%
91. GlobeFuel Systems & Services
GmbH Lt.
33,33%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
92. GVO Gebinde-Verwertungsgesellschaft
der Mineralölwirtschaft
mbH
20,35%
93. Hamburg Fuelling Services
(HFS) GbR
50,00%
94. Hamburg Tank Service
(HTS) GbR
33,30%
95. Heinrich Flp GmbH & Co.
KG
50,00%
96. Heinrich Fip Tankstellen
Betriebs GmbH
100,00%
97. Hydranten-Betriebs OHG
Flughafen Frankfurt/Main
12,80%
98. Klaus Köhn GmbH 50,00%
99. Köhn & Plambeck GmbH
& Co. KG
49,90%
100. Kurt Ammenn GmbH &
Co. KG
50,00%
101. Langenhagen Fuelling Services
(LFS) GbR
50,00%
102. Land Gut Wohnbau Errichlungs
GmbH
10,00%
103. Lotos-Air BP Polska Sp. z
o.o.
50,00%
104. Lully.01 SA 9,00%
105. Mineralöl-Handelsgesellschaft
mbH
50,00%
106. Mobene GmbH & Co. KG 50,00%
107. Hiergeist Heizölhandel
GmbH & Co. KG
100,00%
108. Hiergeist Verwaltungs
GmbH
100,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
109. COM-OII. Energie i- Service
GmbH
100,00%
110. Bären Wärme Mineraloelgesellschaft
mbH
100,00%
111. BMG Energie und Service
GmbH & Co. KG
100,00%
112. T & M Mineralöl GmbH
& Co. KG
100,00%
113. CETAN Logistik GmbH &
Co. KG
50,00%
114. CETAN Logistik Verwaltungs-
GmbH
50,00%
115. Oft GROUP Mineralölhandel
GmbH & Co. KG
100,00%
116. Zweigle Mineralöl GmbH
& Co. KG
100,00%
117. Mobene B.V. 100,00%
118. Schimpfhauser & Dengler
GmbH
100,00%
119. sd Logistik GmbH 100,00%
120. Oel-Huff Energie GmbH
& Co. KG
60,00%
121. Mobene Verwaltungs-
GmbH
50,00%
122. Mövenpick Raststätte
Glarnerland AG
20,00%
123. Multi Tank Card B.V. 19,64%
124. Nord-West Ölleitung
GmbH
25,64%
125. Oelwerke Jullus Schindier
GmbH
100,00%
126. Rühl Gesellschaft m.b.H.
& Co. KG
50,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
127. Paul Harling Mineralöle
GmbH & Co. KG
50,00%
128. Petrostock SA 50,00%
129. Raimund Mineralöl GmbH 50,00%
130. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
20,00%
131. Rühl Gesellschaft m.b.H.
& Co. KG
50,00%
132. Ruhr Oel Gesellschaft mä
beschränkter Haftung
100,00%
133. DHC Solvent Chemie Gesellschaft
mit beschränkter
Haftung
100,00%
134. Maatschap Europoort Terminal
50,00%
135. N. V. Rotterdam-Rip
Njplatt:ling MaatschappiJ
2222%
136. Nord-West Ölleitung
GmbH
33,69%
137. Runde' Mineralölvertrieb
GmbH
50,00%
138. Salzburg Fuelling GmbH 33,33%
139. SARACO SA 20,00%
140. SAPPRO SA (Socieba du
pipeline a produits petroliers
sur territoire genevois)
17,88%
141. SBB Dortmund GmbH
Dienstleistungs- und Handelsbetriebe
25,00%
142. Società Italiana per rOleodotto
Transapino S.P.A.
5,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
143. STDG Straßentransport
Dispositionsgesellschaft
mbH
50,00%
144. Tankanlagen Mellingen
AG
33,30%
145. Tanklager-Gesellschaft
Hannover-Langenhagen
(TGHL) GbR
50,00%
146. Tanklagergesellschaft
Köln-Bonn (TGK) GbR
20,00%
147. TAR - Tankanlage Rümlang
AG
27,32%
148. TAU Tanklager Auhafen
AG
50,00%
149. Tanklager-Gesellschaft Tegel
(TGT) GbR
12,50%
150. Tecklenburg GmbH 50,00%
151. Tecklenburg GmbH & Co.
Energiebedarf KG
50,00%
152. TGFH Tanklager-Gesellschaft
Frankfurt-Hahn
GbR
50,00%
153. TGH Tankdienst-Gesellschaft
Hamburg GbR
66,67%
154. TGN Tankdienst-Gesellschaft
Nürnberg GbR
33,33%
155. TLM Tanklager Management
GmbH
49,00%
156. TLS Tanklager Stuttgart
GmbH
45,00%
157. TRaBP GbR 50,00%
158. Trafineo GmbH & Co. KG 75,00%
159. TRaBP GbR 50,00%"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Anteil %
160. Trafineo Limibad 100,00%
161. Trafineo Verwaltungs-
GmbH
75,00%
162. Transalpine Ölleitung in
Österreich GmbH
9,00%
163. TransTank GmbH 50,00%
164. Turbo Fuel Services Sachsen
(TFSS) GbR
20,00%
165. VTA Verfahrenstechnik
und Automatisierung
GmbH
100,00%
Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
BP Europa SE
1. Actomat B.V. Niederlande/Capelle aan
den IJsseI
2. AGES Maut System
GmbH & Co. KG
Langenfeld
3. AG ES EETS GmbH Langenfeld
4. AG ES ETS GmbH Langenfeld
5. AG ES International
GmbH & Co.KG
Langenfeld
6. AGES Maut System Verwaltungs-
GmbH
Langenfeld
7. AG ES RUC GmbH Langenfeld
B. AGES GTA GmbH Langenfeld
9. AGES GTC GmbH Langenfeld
10. Aircraft Fuel Supply B.V. Niederlande/Den Haag
11. Aircraft Refuelling Company
GmbH
Österreich/Wien
12. Ammenn GmbH Wilhelmshaven
13. Anal Aktiengesellschaft Bochum
14. Aral Luxembourg S.A. Luxembourg/Bertrange"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
15. Aral Services Luxembourg
S.à r.l.
Belgien/Berchem
16. Aral Tankstellen Services
S. r.l.
Luxembourg/Bertrange
17. Anal Mineralölvertrieb
GmbH
Bochum
18. Anal Vertrieb GmbH Hamburg
19. Autobahn-Betriebe GmbH Österreich/Wien
20. BAYERNOII. Raffineriegesellschaft
mbH
Vohburg
21. Beer GmbH Nürnberg
22. Beer GmbH & Co. Mineralöl-
Vertriebs-KG
Nürnberg
23. BFS Berlin Fuelling Services
GbR
Berlin
24. BGFH Betankungs-Gesellschaft
Frankfurt-Hahn
GbR
Frankfurt/Main
25. BP Gelsenkirchen GmbH Gelsenkirchen
26. BP Holdings international
B.Y.
Niederlande/Amsterdam
27. Air BP Albania SHA Albanien/Tirana
28. Air BP Safes Romania
S.R.L
Rumänien/Bukarest
29. BP Management International
B.V.
Niederlande/Rotterdam
30. BP Marketing Egypt LLC Ägypten/Kairo
31. BP Mauritius Limibad Mauritius/Port Louis
32. BP Muturi Holdings B.V. Niederlande/Rotterdam
33. BP Nederland Holdings
B.Y.
Niederlande/Amsterdam"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
34. Air BP Sales Romania
S.R.L
Rumänien/Bukarest
35. BP Exploracion de Venezuela
S. A.
Venezuela/Caracas
36. BP Management Netherlands
B. V.
Niederlande/Rotterdam
37. BP RaffinaderiJ Rotterdam
B. V.
Niederlande/Rotterdam
38. Castrol B. V. Niederlande/Rotterdam
39. Castrol Lubricants (CR)
s.r.o.
Tschechien/Prag
40. Windpark Energy Nederland
B. V.
Niederlande/Capelle aan
den IJssel
41. BP Oil and Chemicals International
Philippinen
Philippines/ Makati City
42. BP PETRONAS Acetyls
Sdn. Bhd.
Malaysia/Kuala Lumpur
43. BP Toplivnaya Kompanya
LLC
Russland/Moskau
44. Castrol Lubricants (CR)
s.r.o.
Tschechien/Prag
45. Castrol Lubricants (RO)
S.R.L
Rumänien/Bukarest
46. Castrol Pakistan (Private)
Limibad
Pakistan/Karachi
47. Castrol Slovensko s.r.o. Slowakei/Bratislava
48. Jamaica Aircraft Refuelling
Services Limibad
Jamaika/Kingston
49. Setra Lubricants Russland/Moskau
50. BP Lingen GmbH Lingen (Ems)
51. bp Lubas Marketing
GmbH
Hamburg
52. BP Luxembourg S.A. Luxembourg/Capellen"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
53. BP Capellen S.à r.l. Luxembourg/Capellen
54. BP 011 Marketing GmbH Bochum
55. BP Olec Fanal Mineralöl
GmbH
Hamburg
56. BP Fuels Deutschland
GmbH
Hamburg
57. N.V. Rotterdam-Rijn Pijpleiding
Maatschappij
N.V.
Niederlande/Rotterdam
58. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
Köln
59. BP Polska Services Sp. z
o.o.
Polen/Krakau
60. BP Refining & Petrochemicals
GmbH
Gelsenkirchen
61. BP Trade and Supply
(Germany) GmbH
Hamburg
62. Bunde-Etel-Pipelinegesellschaft
mbH & Co. KG
Westerstede
63. Bunde-Etel-Pipeline Verwaltungsgesellschaft
mbH
Westerstede
64. Castrol Austria GmbH Österreich/Wr. Neudorf
65. Castrol Hungöria Kft Ungarn/Budapest
66. Castrol Industrie und Service
GmbH
Mönchengladbach
67. Conoassionaria Stalvedro
SA
Schweiz/Airolo
68. CSG Convenience Service
GmbH
Bochum
69. Düsseldorf Fuelling Servioas
(DFS) GbR
Hamburg
70. Deutsche Transalpine Oelleftung
GmbH
München"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
71. Erdöl-Lagergesellschaft
mbH
Österreich/Lannach
72. ELG Asset GmbH
(ELAG), Lannach
Österreich/Lannach
73. ELG Beteiligung GmbH
(ELBG), Lannach
Österreich/Lannach
74. Erdöl Tanklagerbetrieb
GmbH
Österreich/Wien
75. eroil Mineraloel GmbH -
Diehl
Zweibrücken
76. Etel-Kavernenbetriebsgesellschaft
mbH & Co. KG
Bremen
77. Etel-Kavernenbetriebs-
Verwaltungsgesellschaft
mbH
Bremen
78. FFS Frankfurt Fuelling
Services (GmbH & Co.)
OHG
Hamburg
79. Fibil SA Schweiz/Coldrerio
80. Fip Verwaltungs GmbH Osnabrück
81. Flughafen Düsseldorf
Tanklager GmbH
Düsseldorf
82. Flughafen Hannover Pipelinegesellschaft
mbH &
Co. KG
Hamburg
83. Flughafen Hannover Pipeline
Verwaltungsgesellschaft
mbH
Hamburg
84. Freebees B.V. Niederlande/Rotterdam
85. FSH Flughafen-Schwechat-
Hydranbangesellschaft
OG
Osterreich/Wien
86. Gasolin GmbH Bochum"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
87. Geneva Fuelling Services
SA
Schweiz/Meyrin
88. Georg Reitberger Mineralöle
Verwaltungs GmbH
Aichach
89. Reitberger Mineralöle
GmbH & Co. KG
Aichach
90. GezamenliJke Tankdienst
Schiphol B.V.
Niederlande/Schiphol
91. GlobeFuel Systems & Services
GmbH Lt.
Hamburg
92. GVO Gebinde-Verwertungsgesellschaft
der Mineralölwirtschaft
mbH
Hamburg
93. Hamburg Fuelling Services
(HFS) GbR
Hamburg
94. Hamburg Tank Service
(HTS) GbR
Hamburg
95. Heinrich Flp GmbH & Co.
KG
Osnabrück
96. Heinrich Fip Tankstellen
Betriebs GmbH
Osnabrück
97. Hydranten-Betriebs OHG
Flughafen Frankfurt/Main
Frankfurt/Main
98. Klaus Köhn GmbH Oldenburg
99. Köhn & Plambeck GmbH
& Co. KG
Oldenburg
100. Kurt Ammenn GmbH &
Co. KG
Wilhelmshaven
101. Langenhagen Fuelling Services
(LFS) GbR
Hamburg
102. Land Gut Wohnbau Errichlungs
GmbH
Osterreich/Wien"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
103. Lotos-Air BP Polska Sp. z
o.o.
Polen/Danzig
104. Lully.01 SA Schweiz/Lully FR
105. Mineralöl-Handelsgesellschaft
mbH
Cella
106. Mobene GmbH & Co. KG Hamburg
107. Hiergeist Heizölhandel
GmbH & Co. KG
Marienstein
108. Hiergeist Verwaltungs
GmbH
Marienstein
109. COM-OII. Energie i- Service
GmbH
Hamburg
110. Bären Wärme Mineraloelgesellschaft
mbH
Berlin
111. BMG Energie und Service
GmbH & Co. KG
Hamburg
112. T & M Mineralöl GmbH
& Co. KG
Hamburg
113. CETAN Logistik GmbH &
Co. KG
Hamburg
114. CETAN Logistik Verwaltungs-
GmbH
Hamburg
115. Oft GROUP Mineralölhandel
GmbH & Co. KG
Hamburg
116. Zweigle Mineralöl GmbH
& Co. KG
Hamburg
117. Mobene B.V. Niederlande/Capelle aan
den IJssel
118. Schimpfhauser & Dengler
GmbH
Holzkirchen
119. sd Logistik GmbH Holzkirchen
120. Oel-Huff Energie GmbH
& Co. KG
Hamburg"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
