Anhang zum 31. Dezember 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"(in TEUR) 2016 Vorjahr
Latente Steueransprüche
Immaterielle Vermögensgegenstände 88 264
Sachanlagen 676 580
Forderungen gegen verbundene Unternehmen 99 460
Sonstige Vermögensgegenstände 9.934 10.140
Sonstige Rückstellungen 724 1.082
Rückstellungen für Pensionen 1.790 2.443
Sonstige Verbindlichkeiten 0 52
Summe latenter Steueransprüche 13.311 15.021
Latente Steuerverbindlichkeiten
Immaterielle Vermögensgegenstände 81 0
Sachanlagen 0 27
Finanzanlagen 13 13
Sonstige Rückstellungen 1.959 2.875
Rückstellungen für Pensionen 26 24
Sonstige Verbindlichkeiten 29 0
Summe latente Steuerverbindlichkeiten 2.108 2.939
Latente Steueransprüche 11.203 12.082
Nicht bilanzierte latente Steueransprüche -11.203 -12.082
Bilanzausweis 0 0"; 4.90 ;2016;SICK AG;Jahresabschluss;EY
"Die auf Ebene der SICK AG dargestellten latenten Steueransprüche und -verbindlichkeiten beinhalten auch die latenten Steuern der Organgesellschaften. Für die Berechnung der latenten Steuer wird ein Steuersatz
von 29 Prozent für Körperschaftsteuer, Solidaritätszuschlag und Gewerbesteuer zugrunde gelegt."; 4.90 ;2016;SICK AG;Jahresabschluss;EY
"Insgesamt werden die passiven latenten Steuern durch aktive Steuerlatenzen überkompensiert. Von dem Wahlrecht, gemäß § 274 Abs. 1 S. 2 HGB, den Überhang aktiver latenter Steuern zu bilanzieren, wurde
kein Gebrauch gemacht."; 4.90 ;2016;SICK AG;Jahresabschluss;EY
(21) Sonstige Steuern;;2016;SICK AG;Jahresabschluss;EY
Diese Position beinhaltet sonstige Steuern in Höhe von TEUR 94 (Vorjahr TEUR 137).; 4.92 ;2016;SICK AG;Jahresabschluss;EY
(22) Bilanzgewinn;;2016;SICK AG;Jahresabschluss;EY
"Gemäß Beschluss der Hauptversammlung vom 10. Mai 2016 wurde aus dem Bilanzgewinn der SICK AG zum 31. Dezember 2015 für das Geschäftsjahr 2015 eine Dividende von TEUR 36.685 ausgeschüttet
sowie eine Einstellung in andere Gewinnrücklagen in Höhe von TEUR 40.000 vorgenommen. Der Restbetrag in Höhe von TEUR 19.129 wurde auf neue Rechnung vorgetragen."; 35 ;2016;SICK AG;Jahresabschluss;EY
"Der ausschüttungsgesperrte Unterschiedsbetrag zwischen dem Ansatz der Rückstellungen für Altersversorgungsverpflichtungen nach Maßgabe des entsprechenden durchschnittlichen Marktzinssatzes aus den
vergangenen zehn sowie den vergangenen sieben Geschäftsjahren beträgt TEUR 427. Da dem ausschüttungsgesperrten Betrag andere Gewinnrücklagen in Höhe von TEUR 217.048 gegenüberstehen, besteht
keine Ausschüttungssperre in Bezug auf den Bilanzgewinn."; 38 ;2016;SICK AG;Jahresabschluss;EY
F. Sonstige Angaben;;2016;SICK AG;Jahresabschluss;EY
(23) Angaben zu nicht in der Bilanz enthaltenen Geschäften, Haftungsverhältnissen und sonstigen finanziellen Verpflichtungen;;2016;SICK AG;Jahresabschluss;EY
"Bei den sonstigen finanziellen Verpflichtungen handelt es sich neben Bestellobligo und einer Kaufpreisverpflichtung um Dauerschuldverhältnisse aus Miet-, Leasing-, Wartungs- und Serviceverträgen, die zum
Abschlussstichtag bestanden haben. Die Wartungs- und Serviceverträge stellen hierbei die größte Position dar. Diese Verträge dienen der Aufrechterhaltung des Geschäftsbetriebes. Bei den gemieteten bzw. geleasten
Sachanlagen handelt es sich im Wesentlichen um Büro-, Geschäftsausstattung und Investitionen. Durch die abgeschlossenen Verträge erfolgt keine Ausweitung der Fremdfinanzierung und kein Liquiditätsentzug
zum Investitionszeitpunkt, allerdings erfolgt der Liquiditätsabfluss kontinuierlich über die Laufzeit der Verträge. Demgegenüber stehen Planungssicherheit und ein aktueller technischer Stand."; 82 ;2016;SICK AG;Jahresabschluss;EY
Weitere außerbilanzielle Geschäfte wie Factoring, unechte Pensionsgeschäfte, Sale-and-lease-back-Geschäfte sowie Konsignationslagervereinbarungen lagen zum Abschlussstichtag nicht vor.; 82 ;2016;SICK AG;Jahresabschluss;EY
Haftungsverhältnisse;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2016 Vorjahr
Bürgschaften/Garantieerklärungen 30.481 28.257
(davon für verbundene Unternehmen) (30.481) (28.257)"; 54 ;2016;SICK AG;Jahresabschluss;EY
"Bürgschaften und Garantieerklärungen wurden nahezu ausschließlich zugunsten von Tochtergesellschaften abgegeben. Die zugrunde liegenden Verpflichtungen können von den betreffenden Gesellschaften nach
unseren Erkenntnissen in allen Fällen erfüllt werden; mit einer Inanspruchnahme ist aufgrund der guten Vermögens-, Finanz- und Ertragslage der betreffenden Unternehmen nicht zu rechnen."; 54 ;2016;SICK AG;Jahresabschluss;EY
Sonstige finanzielle Verpflichtungen;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR ) 2017 2018 2019 2020 2021ff
Miet- und Leasingverträge für Sachanlagen
(ohne Immobilien) und immaterielle
Vermögensgegenstände
5.080 3.447 2.340 865 76
Miet- und Pachtverträge für Immobilien
2.188 1.963 1.174 944 2.392
Bestellobligo für Sachanlagen und
immaterielle Vermögensgegenstände
12.327 - - - -
Wartungs-, Service-, sonstige Verpflichtungen
11.380 4.413 3.885 290 461"; 83 ;2016;SICK AG;Jahresabschluss;EY
Die übrigen finanziellen Verpflichtungen liegen im geschäftsüblichen Rahmen.; 83 ;2016;SICK AG;Jahresabschluss;EY
(24) Finanzinstrumente;;2016;SICK AG;Jahresabschluss;EY
Zeitwerte von Finanzinstrumenten;;2016;SICK AG;Jahresabschluss;EY
"Der Marktwert von Devisenterminkontrakten wird anhand der zum Bilanzstichtag herrschenden Kurse auf dem Devisenmarkt bestimmt. Als Grundlage für die Berechnung der Marktwerte werden jeweils die
Devisenmittelkurse verwendet. Bei Zinsswaps wird der Zeitwert als Barwert der geschätzten künftigen Cashflows, inklusive der aufgelaufenen Stückzinsen auf Basis des jeweiligen Marktwertes, berechnet.";;2016;SICK AG;Jahresabschluss;EY
"Der Zeitwert der Optionen wird mit der von Garman und Kohlhagen modifizierten Black-Scholes Methode ermittelt. Die Bewertung einer Option basiert vor allem auf den Devisenkursen, den jeweiligen Zinssätzen
des Währungspaares und der Volatilität zum Bilanzstichtag sowie der Restlaufzeit. Bei der Bewertung wird nur der Zeitwert angesetzt, da die Optionsprämie bereits als Vermögenswert eingebucht ist.";;2016;SICK AG;Jahresabschluss;EY
Buchwerte von derivativen Finanzinstrumenten;;2016;SICK AG;Jahresabschluss;EY
In den sonstigen Vermögensgegenständen sind zum 31. Dezember 2016 Optionen mit einem Buchwert von TEUR 208 (Vorjahr TEUR 466) erfasst.;;2016;SICK AG;Jahresabschluss;EY
"Die sonstigen Rückstellungen beinhalten zum 31. Dezember 2016 Drohverlustrückstellungen aus Devisentermingeschäften in Höhe von TEUR 1.416 (Vorjahr TEUR 472) und Zinsswaps in Höhe von TEUR
0 (Vorjahr TEUR 93).";;2016;SICK AG;Jahresabschluss;EY
Derivative Finanzinstrumente;;2016;SICK AG;Jahresabschluss;EY
Zum Bilanzstichtag ergaben sich die Wiederbeschaffungswerte der derivativen Finanzinstrumente wie folgt:;;2016;SICK AG;Jahresabschluss;EY
"Kontraktwert oder Nominalbetrag Positiver Wiederbeschaffungswert Negativer Wiederbeschaffungswert
(in TEUR) 2016 2015 2016 2015 2016 2015
Währungsinstrumente
mit Hedgebeziehung
Devisenterminkontrakte 8.732 7.971 195 181 29 24
Währungsinstrumente
ohne Hedgebeziehung
Devisenterminkontrakte 73.626 86.369 358 895 1.416 472
Währungsoptionen
(OTC)1)
32.331 24.708 208 498 0 0
Summe Währungsinstrumente
114.689 119.048 761 1.574 1.445 496
Zinsinstrumente mit
Hedgebeziehung
Zinsswap 0 708 0 0 0 7
Zinsinstrumente ohne
Hedgebeziehung
Zinsswap 0 9.292 0 0 0 93
Summe Zinsinstrumente 0 10.000 0 0 0 100
1) OTC: over the counter";;2016;SICK AG;Jahresabschluss;EY
"Die Währungsinstrumente werden hauptsächlich eingesetzt, um Währungsrisiken in USD, CNY, AUD, GBP und KRW abzusichern. Die gesamten Absicherungen in Höhe von TEUR 114.689 haben eine Laufzeit
von weniger als zwölf Monaten.";;2016;SICK AG;Jahresabschluss;EY
"Soweit die Voraussetzungen für eine Bilanzierung gegeben sind, werden die von der SICK AG verwendeten Sicherungsgeschäfte zusammen mit den dazugehörigen Grundgeschäften zu einer Bewertungseinheit
im Sinne des § 254 HGB zusammengefasst."; 30 ;2016;SICK AG;Jahresabschluss;EY
Folgende Vermögensgegenstände und Verbindlichkeiten wurden in Bewertungseinheiten einbezogen:; 30 ;2016;SICK AG;Jahresabschluss;EY
"Bilanzposition
Betrag.
TEUR
Art der abgesicherten Risiken
Art der Bewertungseinheit Gesichertes Volumen
Forderung gegen verb. Unternehmen 95 Währungsrisiko Micro Hedge TILS 400
Forderung gegen verb. Unternehmen 735 Währungsrisiko Micro Hedge TMXN 16.300
Forderung gegen verb. Unternehmen 4.661 Währungsrisiko Micro Hedge TMYR 21.771
Forderung gegen verb. Unternehmen 505 Währungsrisiko Micro Hedge TTWD 17.000
Verbindlichkeiten gegenüber verb. Unternehmen 840 Währungsrisiko Micro Hedge TAED 3.500
Verbindlichkeiten gegenüber verb. Unternehmen 1.897 Währungsrisiko Micro Hedge TTRY 7.027"; 30 ;2016;SICK AG;Jahresabschluss;EY
Die Sicherung erfolgt durch derivative Finanzinstrumente in Form von Devisenterminkontrakten.;;2016;SICK AG;Jahresabschluss;EY
"Alle Finanzderivate sowie die zugrunde liegenden Grundgeschäfte unterliegen einer regelmäßigen internen Kontrolle und Bewertung im Rahmen einer Vorstandsrichtlinie. Der Abschluss derivativer Finanzinstrumente
ist auf die wirtschaftliche Absicherung des operativen Geschäfts begrenzt."; 30 ;2016;SICK AG;Jahresabschluss;EY
"Zu Beginn einer Sicherungsbeziehung werden sowohl die Sicherungsbeziehung als auch die Risikomanagementstrategie im Hinblick auf die Absicherung formal festgelegt und dokumentiert. Diese Dokumentation
enthält die Festlegung des Sicherungsinstruments, des Grundgeschäfts oder der abgesicherten Transaktionen und die Art des abzusichernden Risikos sowie eine Beschreibung, wie das Unternehmen die Wirksamkeit
des Sicherungsinstruments ermitteln wird. Derartige Sicherungsbeziehungen werden als in hohem Maße wirksam eingeschätzt. Sie werden fortlaufend dahingehend beurteilt, ob sie tatsächlich während der
gesamten Berichtsperiode, für die die Sicherungsbeziehung designiert wurde, hochwirksam waren. Zur Messung der Effektivität der Sicherungsbeziehung wird die ""Critical-Term-Match-Method"" verwendet."; 30 ;2016;SICK AG;Jahresabschluss;EY
(25) Vorschlag zur Gewinnverwendung;;2016;SICK AG;Jahresabschluss;EY
Vorstand und Aufsichtsrat schlagen vor, den Bilanzgewinn für das Geschäftsjahr 2016 wie folgt zu verwenden:;;2016;SICK AG;Jahresabschluss;EY
"–Zahlung einer Dividende von EUR 1,00 je dividendenberechtigte Aktie in Höhe von insgesamt TEUR 26.205,
–Einstellung in andere Gewinnrücklagen in Höhe von TEUR 30.000,
–Vortrag des verbleibenden Betrags auf neue Rechnung (Gewinnvortrag) in Höhe von TEUR 28.865"; 35, 84 ;2016;SICK AG;Jahresabschluss;EY
G. Honorare des Abschlussprüfers;;2016;SICK AG;Jahresabschluss;EY
Die Angaben sind im IFRS-Konzernabschluss der SICK AG enthalten. Dieser ist am Sitz der Gesellschaft erhältlich.;;2016;SICK AG;Jahresabschluss;EY
H. Wesentliche Ereignisse nach dem Bilanzstichtag;;2016;SICK AG;Jahresabschluss;EY
Wesentliche Ereignisse nach dem Bilanzstichtag haben sich nicht ergeben.;;2016;SICK AG;Jahresabschluss;EY
I. Angaben zu Vorstand und Aufsichtsrat;;2016;SICK AG;Jahresabschluss;EY
Vorstand;;2016;SICK AG;Jahresabschluss;EY
"Dr. Robert Bauer, Emmendingen (Vorsitzender)
Products & Technology
Reinhard Bösl, Freiburg
Systems & Industries
Dr. Mats Gökstorp, Freiburg
Sales & Service
Dr. Martin Krämer, Waldkirch
Human Resources, Procurement, Legal & Compliance
Markus Vatter, Vörstetten
Finance, Controlling & IT"; 102 ;2016;SICK AG;Jahresabschluss;EY
Aufsichtsrat;;2016;SICK AG;Jahresabschluss;EY
"Der Aufsichtsrat besteht gemäß § 95 AktG i.V.m. § 8 Absatz 1 der Satzung aus zwölf Mitgliedern. Hiervon werden sechs Mitglieder von der Hauptversammlung und sechs Mitglieder von den Arbeitnehmern
gemäß den Bestimmungen des Mitbestimmungsgesetzes 1976 gewählt. Der Aufsichtsrat setzt sich wie folgt zusammen:
Gisela Sick, Waldkirch
Ehrenvorsitzende
Privatier"; 102 ;2016;SICK AG;Jahresabschluss;EY
Vertreter der Anteilseigner:;;2016;SICK AG;Jahresabschluss;EY
"Klaus M. Bukenberger, Schenkenzell (Vorsitzender)
Corporate Governance Consulting, Stuttgart
Franz Bausch, Hinterzarten
Steuerberater, vereidigter Buchprüfer
Prof. Dr. Mark K. Binz, Stuttgart
Rechtsanwalt
Dr. Ronaldo H. Schmitz, Frankfurt
Ehemaliges Mitglied des Vorstands der Deutsche Bank AG, Frankfurt
Renate Sick-Glaser, Freiburg
Geschäftsführerin der Sick Holding GmbH, Freiburg
Prof. Dr. Dr. h. c. mult. Horst Wildemann, München
Leiter des Forschungsinstituts für Unternehmensführung, Logistik und Produktion an der Technischen Universität München";;2016;SICK AG;Jahresabschluss;EY
Vertreter der Arbeitnehmer:;;2016;SICK AG;Jahresabschluss;EY
"Roberto Hernandez, Waldkirch (stellvertretender Vorsitzender)
Vorsitzender des Betriebsrats der SICK AG, Waldkirch
Vorsitzender des Gesamtbetriebsrats der SICK AG, Waldkirch
Engelbert Herbstritt, Waldkirch
Stellvertretender Vorsitzender des Betriebsrats der SICK AG, Waldkirch Vorsitzender des Konzernbetriebsrats
Dr. Matthias Müller, Braunschweig
Leiter des Bereichs Finanzen im DGB Bundesvorstand, Berlin
Gabriele Pontiggia, Winden
Personalreferentin bei der SICK AG, Waldkirch
Roland Schiller, Hinterzarten
Mitglied der Geschäftsleitung der SICK AG, Waldkirch
Hermann Spieß, Breisach
Gewerkschaftssekretär der IG Metall";;2016;SICK AG;Jahresabschluss;EY
Organvergütung:;;2016;SICK AG;Jahresabschluss;EY
Insgesamt beliefen sich die Vergütungen der Mitglieder des Vorstands auf TEUR 3.982 für das Geschäftsjahr.; 103 ;2016;SICK AG;Jahresabschluss;EY
"Die Gesamtvergütungen früherer Mitglieder der Geschäftsführung und deren Hinterbliebenen betrugen im Geschäftsjahr 2016 TEUR 1.118. Für Pensionsverpflichtungen gegenüber diesem Personenkreis sind
TEUR 10.413 zurückgestellt. Der gegenüber diesem Personenkreis bestehende Fehlbetrag gemäß Art. 67 Abs. 1 S. 1 EGHGB beträgt TEUR 1.413."; 111 ;2016;SICK AG;Jahresabschluss;EY
Die Vergütungen des Aufsichtsrats der SICK AG betrugen TEUR 744.; 103 ;2016;SICK AG;Jahresabschluss;EY
Waldkirch, den 16. März 2017;;2016;SICK AG;Jahresabschluss;EY
"SICK AG
Der Vorstand
Dr. Robert Bauer, Vorsitzender
Reinhard Bösl
Dr. Mats Gökstorp
Dr. Martin Krämer
Markus Vatter";;2016;SICK AG;Jahresabschluss;EY
Anlage A zum Anhang;;2016;SICK AG;Jahresabschluss;EY
Entwicklung des Anlagevermögens der SICK AG für die Zeit vom 1. Januar 2016 bis 31. Dezember 2016;;2016;SICK AG;Jahresabschluss;EY
"Anschaffungs-/Herstellungskosten
Posten des Anlagevermögens
Stand 01.01.2016.
TEUR
Zugänge.
TEUR
Abgänge.
TEUR
Umbuchungen.
TEUR
Stand 31.12.2016.
TEUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen, gewerbliche
Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten
und Werten
59.338 9.715 1.425 478 68.106
2. Geschäfts- oder Firmenwert
632 0 0 0 632
3. Geleistete Anzahlungen 521 567 0 -478 610
60.491 10.282 1.425 0 69.348
II. Sachanlagen
1. Grundstücke und Bauten 126.300 2.440 0 13.995 142.735
2. Technische Anlagen und
Maschinen
96.550 9.136 3.004 14.611 117.293
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
54.455 9.157 1.712 7.490 69.390
4. Geleistete Anzahlungen
und Anlagen im Bau
39.384 20.043 0 -36.096 23.331
316.689 40.776 4.716 0 352.749
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
90.284 1.700 0 0 91.984
2. Beteiligungen 627 0 0 0 627
90.911 1.700 0 0 92.611
Gesamt 468.091 52.758 6.141 0 514.708"; 15 ;2016;SICK AG;Jahresabschluss;EY
"Kumulierte Abschreibungen
Posten des Anlagevermögens
Stand 01.01.2016.
TEUR
Zugänge.
TEUR
Abgänge.
TEUR
Umbuchungen.
TEUR
Stand 31.12.2016.
TEUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen, gewerbliche
Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen
an solchen Rechten
und Werten
47.196 7.240 1.425 0 53.011
2. Geschäfts- oder Firmenwert
225 42 0 0 267
3. Geleistete Anzahlungen 0 0 0 0 0
47.421 7.282 1.425 0 53.278
II. Sachanlagen
1. Grundstücke und Bauten 46.320 4.334 0 0 50.654
2. Technische Anlagen und
Maschinen
66.868 10.746 2.531 -105 74.978
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
37.841 5.923 1.342 105 42.527
4. Geleistete Anzahlungen
und Anlagen im Bau
0 0 0 0 0
151.029 21.003 3.873 0 168.159
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
1.823 0 0 0 1.823
2. Beteiligungen 0 0 0 0 0
1.823 0 0 0 1.823
Gesamt 200.273 28.285 5.298 0 223.260"; 15 ;2016;SICK AG;Jahresabschluss;EY
"Restbuchwert
Posten des Anlagevermögens
31.12.2016.
TEUR
31.12.2015.
TEUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie Lizenzen an solchen
Rechten und Werten
15.095 12.142
2. Geschäfts- oder Firmenwert 365 407
3. Geleistete Anzahlungen 610 521
16.070 13.070
II. Sachanlagen
1. Grundstücke und Bauten 92.081 79.980
2. Technische Anlagen und Maschinen 42.315 29.682
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 26.863 16.614
4. Geleistete Anzahlungen und Anlagen im Bau 23.331 39.384
184.590 165.660
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen 90.161 88.461
2. Beteiligungen 627 627
90.788 89.088
Gesamt 291.448 267.818"; 15 ;2016;SICK AG;Jahresabschluss;EY
Anlage B zum Anhang;;2016;SICK AG;Jahresabschluss;EY
"Name und Sitz der Gesellschaft Beteiligung (in Prozent)
indirekte Beteiligung über
Nr.
Eigenkapital (IFRS).
TEUR
Jahresergebnis (IFRS).
TEUR
Muttergesellschaft
SICK AG, Waldkirch/Deutschland
I. Anteile an verbundenen Unternehmen
11. SICK S.à.r.l., Émerainville/Frankreich 100,0 9.587 2.487
2. SICK (UK) Ltd., St. Albans/Großbritannien 100,0 9.319 3.060
3. SICK, Inc., Minneapolis, Minnesota/USA 100,0 60.830 4.474
4. SICK B.V., Bilthoven/Niederlande 100,0 3.633 2.146
5. SICK AG, Stans/Schweiz 100,0 1.693 2.065
6. SICK Pty Ltd, Heidelberg West, VIC/Australien 100,0 5.558 -420
7. SICK A/S, Birkerød/Dänemark 100,0 3.310 1.765
8. SICK NV/SA, Zellik-Asse/Belgien 100,0 5.598 1.498
9. SICK K.K., Tokio/Japan 100,0 3.396 95
10. SICK Optic-Electronic S.A., Sant Just Desvern/Spanien 100,0 6.429 2.812
11. SICK Engineering GmbH, Ottendorf-Okrilla/Deutschland1) 100,0 11.115 927
12. SICK Oy, Vantaa/Finnland 100,0 2.033 704
13. SICK Pte. Ltd., Singapur/Singapur 100,0 6.187 1.223
14. SICK AS, Rud/Norwegen 100,0 672 386
15. SICK AB, Vårby/Schweden 100,0 3.567 1.989
16. SICK Sp. z o.o., Warschau/Polen 100,0 5.502 1.795
17. SICK Solução em Sensores Ltda., São Paulo/Brasilien 100,0 10.633 1.112
18. Sick Optic-Electronic Co., Ltd., Hongkong/China 100,0 3.918 1.740
19. SICK S.p.A., Vimodrone (MI)/Italien2) 100,0 10.787 3.595
20. SICK Kft., Kunsziget/Ungarn 100,0 21.204 5.420
21. SICK GmbH, Wiener Neudorf/Österreich 100,0 5.573 2.056
22. SICK spol. s r.o., Prag/Tschechische Republik 100,0 6.586 3.390
23. SICK Management GmbH, Waldkirch/Deutschland1) 100,0 7.406 0
24. SICK Co., Ltd., Seoul/Korea 85,0 4.474 1.856
25. SICK Automatisierung International GmbH, Waldkirch/Deutschland 100,0 3.988 -151
26. SICK China Co., Ltd., Guangzhou/China 100,0 18 10.640 4.824
27. SICK STEGMANN GmbH, Donaueschingen/Deutschland1) 3) 100,0 23 9.158 -544
28. SICK MAIHAK (Beijing) Co., Ltd., Peking/China 85,0 18.831 3.043
29. SICK IVP AB, Linköping/Schweden 100,0 1.801 499
30. Sensörler ve ?leri Cihazlar Kontrol A.?., Istanbul/Türkei 100,0 5.250 2.217
31. SICK LLC, Moskau/Russland4) 100,0 25 2.676 1.725
32. SICK Vertriebs-GmbH, Düsseldorf/Deutschland1) 100,0 2.858 307
33. SICK d.o.o., Ljubljana/Slowenien 100,0 21 136 22
34. SICK INDIA Pvt. Ltd., Mumbai/Indien 100,0 25 1.128 203
35. SICK Sensors Ltd., Misgav/Israel 100,0 6.061 417
36. SICK S.R.L., Timisoara/Rumänien5) 100,0 25 267 56
37. SICK TAIWAN Co., Ltd., Taipei/Taiwan 100,0 2.189 567
38. SICK Automation Solutions S.A. de C.V., Tlalnepantla/Mexiko 100,0 25 481 446
39. SICK Ltd., Moncton, New Brunswick/Kanada 100,0 3 3.371 966
40. SICK Automation Southern Africa (Pty) Ltd., Roodepoort, Johannesburg/
Südafrika
100,0 25 1.501 385
41. SICK Sdn. Bhd., Johor Bahru/Malaysia 100,0 43 5.323 1.165
42. SICK System Engineering AG, Buochs/Schweiz 100,0 -94 119
43. SICK Product Center Asia Pte. Ltd., Singapur/Singapur 100,0 8.606 3.159
44. SICK FZE, Dubai/Vereinigte Arabische Emirate 100,0 25 2.254 461
45. SICK Sensor (Malaysia) Sdn. Bhd., Petaling Jaya/Malaysia6) 100,0 25 106 -8
46. SICK (THAILAND) Co., Ltd., Bangkok/Thailand 100,0 25 - -
47. SICK NZ Ltd., Auckland/Neuseeland 100,0 25 601 429
48. SICK Ertekesito Szolgaltato Kft., Budapest/Ungarn 100,0 25 139 113
49. SICK Metering Systems N.V., Kalmthout/Belgien 82,0 11 -780 532
50. Vision Solution Engineering s.r.o., Prag/Tschechische Republik 100,0 25 -825 -828
II. Beteiligungen und übrige Anteile
51. SICK OPTEX Co., Ltd., Kyoto/Japan 50,0 3.009 316
52. SICK kluge GmbH, Königswartha/Deutschland 50,0 11 138 9
53. Beijing BAIF-Maihak Analytical Instrument Co., Ltd., Beijing/China6)
15,0 1.676 6
54. Puls Design A/S, Hvidovre/Dänemark6) 25,0 7 292 76
55. WABE gGmbH, Waldkirch/Deutschland6) 16,7 405 -76
56. Schädler SICK SpA, Santiago de Chile/Chile 50,0 25 979 90
zu 1) Die Gesellschaften haben von der Befreiungsvorschrift des § 264 Abs. 3 HGB Gebrauch gemacht.
zu 2) 10 % der Anteile werden von der SICK Engineering GmbH, Ottendorf-Okrilla/Deutschland (Nr. 11) gehalten.
zu 3) 6 % der Anteile werden von der SICK AG, Waldkirch/Deutschland gehalten.
zu 4) 15 % der Anteile werden von der SICK AG, Waldkirch/Deutschland gehalten.
zu 5) 0,5 % der Anteile werden von der SICK AG, Waldkirch/Deutschland gehalten.
zu 6) Angaben zum 31.12.2015"; 94 ;2016;SICK AG;Jahresabschluss;EY
