Ab PDF S. 10; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Die Steuerrückstellungen und die sonstigen Rückstellungen berücksichtigen alle ungewissen Verbindlichkeiten und drohenden Verluste aus schwebenden Geschäften. Sie werden in Höhe des nach vernünftiger
kaufmännischer Beurteilung notwendigen Erfüllungsbetrags, d.h. einschließlich zukünftiger Kosten- und Preissteigerungen, angesetzt. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden, mit
den entsprechend ihrer Restlaufzeit von der Bundesbank veröffentlichten Zinssätzen, abgezinst. Bei der Ermittlung der Rückstellung für drohende Verluste aus schwebenden Verkaufsgeschäften wurden Vollkosten
zugrunde gelegt.";;2016/2017;GmbH;Konzernabschluss;EY
"Die Rückstellungen für Verpflichtungen aus Altersteilzeitvereinbarungen umfassen die Aufwendungen für die Lohn- und Gehaltszahlungen an Mitarbeiter in der Freistellungs-phase sowie die Aufstockungsleistungen.
Diese Rückstellungen werden mit Abschluss der Altersteilzeitvereinbarungen gebildet und mit dem Barwert bewertet. Die ausschließlich der Erfüllung der Altersversorgungsverpflichtungen dienenden,
dem Zugriff aller übrigen Gläubiger entzogenen Vermögensgegenstände (Deckungsvermögen i. S. d. § 246 Abs. 2 Satz 2 HGB), werden mit ihrem beizulegenden Zeitwert bewertet und mit den Rückstellungen
verrechnet.";;2016/2017;GmbH;Konzernabschluss;EY
Verbindlichkeiten werden mit ihrem Erfüllungsbetrag angesetzt.;;2016/2017;GmbH;Konzernabschluss;EY
"Für die Ermittlung latenter Steuern aufgrund von temporären oder quasi-permanenten Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
und ihren steuerlichen Wertansätzen oder aufgrund steuerlicher Verlustvorträge werden diese mit den unternehmensindividuellen Steuersätzen im Zeitpunkt des Abbaus der Differenzen bewertet und
die Beträge der sich ergebenden Steuerbe- und -entlastung nicht abgezinst. Dabei werden auch Differenzen, die auf Konsolidierungsmaßnahmen gemäß den §§ 300 bis 307 HGB beruhen, berücksichtigt, nicht
jedoch Differenzen aus dem erstmaligen Ansatz eines Geschäfts- oder Firmenwerts bzw. eines negativen Unterschiedsbetrags aus der Kapitalkonsolidierung. Soweit im Rahmen des Erwerbs von Tochterunternehmen
steuerliche Verlustvorträge mit erworben werden, für die innerhalb der nächsten fünf Jahre eine Verrechenbarkeit zu erwarten ist, wird die Möglichkeit, hierfür im Zuge der Kaufpreisaufteilung bis zum
Ablauf der Anpassungsperiode i.S.d. § 301 Abs. 2 Satz 2 HGB aktive latente Steuern erfolgsneutral zu berücksichtigen, in Anspruch genommen. Aktive und passive Steuerlatenzen werden verrechnet.";;2016/2017;GmbH;Konzernabschluss;EY
D. Erläuterungen zum Konzernabschluss;;2016/2017;GmbH;Konzernabschluss;EY
I. Konzern-Bilanz;;2016/2017;GmbH;Konzernabschluss;EY
1. Anlagevermögen;;2016/2017;GmbH;Konzernabschluss;EY
"Die Aufgliederung und die Bewegungen des Anlagevermögens sind der Anlage zum Anhang ""Entwicklung des Konzernanlagevermögens"" zu entnehmen.";;2016/2017;GmbH;Konzernabschluss;EY
"Wesentliche immaterielle Vermögensgegenstände, die unter den entgeltlich erworbenen Konzessionen, gewerblichen Schutzrechten und ähnlichen Rechten und Werten sowie Lizenzen an solchen Rechten und
Werten ausgewiesen werden, betreffen Patente, Schutzrechte und Software der TAKATA Aktiengesellschaft (TEUR 2.650), der TAKATA Romania S.R.L., Rumänien (TEUR 697) und der Takata Safety Systems
Hungary Kft, Ungarn (TEUR 440). Die Summe für alle Gesellschaften beträgt zum 31. März 2017 TEUR 4.051.";;2016/2017;GmbH;Konzernabschluss;EY
Unter den immateriellen Vermögensgegenständen der TAKATA Aktiengesellschaft werden zum 31. März 2017 entgeltlich erworbene Belieferungsrechte für einen Kunden in Höhe von TEUR 1.108 ausgewiesen.;;2016/2017;GmbH;Konzernabschluss;EY
Der bilanzierte Geschäfts- oder Firmenwert beträgt TEUR 34.828 (Vj. TEUR 5.933) und resultiert aus der erfolgten Erstkonsolidierung der Takata Safety Systems Hungary Kft., Ungarn.;;2016/2017;GmbH;Konzernabschluss;EY
Die TAKATA Europe GmbH ist direkt oder indirekt an den folgenden Unternehmen beteiligt:;;2016/2017;GmbH;Konzernabschluss;EY
"Sitz der Gesellschaft Anteil Eigenkapital Jahresergebnis
31.03.2017 31.03.2017 2016/2017
Konsolidierte Unternehmen % TEUR TEUR
TAKATA Sachsen GmbH Elterlein / Deutschland 100,00 41.106 01)
TAKATA PlasTec GmbH Bad Kissingen- Albertshausen
/ Deutschland
100,00 36 01)
TAKATA Sibiu S.R.L. Sibiu / Rumänien 99,99 + 94 % v. 0,01 44.119 1.994
TAKATA AG Aschaffenburg / Deutschland
94,00 91.279 01)
TAKATA GmbH Inflator Systems Aschaffenburg / Deutschland
94 % v. 100,00 -46.585 -545
TAKATA Parts s.r.o. Rtyne v Podkrkonosi /
Tschechien
94 % v. 100,00 33.690 4.020
TAKATA Parts Polska Sp. z o.o. Krzeszów / Polen 94 % v. 100,00 2.701 -4.134
TAKATA Spólka z o.o. Krzeszów / Polen 94 % v. 100,00 5.894 47
TAKATA Romania S.R.L. Arad / Rumänien 94 % v. 100,00 76.750 13.157
TAKATA South Africa (Pty.) Ltd. Durban / Südafrika 94 % v. 100,00 -19.409 5.925
TAKATA Ignition Systems GmbH Schönebeck / Deutschland 100,00 881 01)
Takata Safety Systems Hungary Kft. Miskolc / Ungarn 100,00 -8.762 -15.997";;2016/2017;GmbH;Konzernabschluss;EY
"Sitz der Gesellschaft Anteil Eigenkapital Jahresergebnis
31.03.2017 31.03.2017 2016/2017
Nicht konsolidierte Unternehmen % TEUR TEUR
Dalphi Metal Espana S. A. 2) Vigo / Spanien 94 % v. 21,59 27.571 -7.453
Dalphi Metal Internacional S. A. 2) Vigo / Spanien 94 % v. 49,00 6.922 55
Dalphi Metal Seguridad S. A. 2) Vigo / Spanien 94 % v. 49,00 29.403 299
Dalphi Metal Portugal S. A. 3) Vila Nova de C. / Portugal 94 % v. 49,00 18.446 1.527
GSB Gesellschaft zur Entsorgung von Sondermüll in Bayern 2) München / Deutschland 94 % v. 0,09 62.087 13.529
1) Ergebnisabführungsvertrag
2) Jahresabschluss per 31.12.2015
3) Jahresabschluss per 31.12.2016";;2016/2017;GmbH;Konzernabschluss;EY
2. Vorräte;;2016/2017;GmbH;Konzernabschluss;EY
Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.;;2016/2017;GmbH;Konzernabschluss;EY
3. Forderungen aus Lieferungen und Leistungen;;2016/2017;GmbH;Konzernabschluss;EY
"Die Forderungen aus Lieferungen und Leistungen betragen TEUR 200.735 (Vj. TEUR 165.624) und haben wie im Vorjahr ausschließlich eine Restlaufzeit bis zu einem Jahr. Der Anstieg resultiert hauptsächlich
aus der erfolgten Erstkonsolidierung der Takata Safety Systems Hungary Kft., Ungarn (TEUR 18.889) und gestiegenen Forderungen der TAKATA Romania S.R.L., Rumänien (TEUR 11.768).";;2016/2017;GmbH;Konzernabschluss;EY
4. Forderungen gegen verbundene Unternehmen;;2016/2017;GmbH;Konzernabschluss;EY
Die Forderungen gegen verbundene Unternehmen in Höhe von TEUR 90.621;;2016/2017;GmbH;Konzernabschluss;EY
"(Vj. TEUR 165.823) resultieren in Höhe von TEUR 76.302 (Vj. TEUR 47.152) aus Lieferungen und Leistungen, die wie im Vorjahr innerhalb eines Jahres fällig sind. Der Gesamtbestand der Forderungen gegen
verbundene Unternehmen hat sich durch die Einbeziehung der ungarischen Gesellschaft Takata Safety Systems Hungary Kft., Ungarn in den Konzernkreis der TAKATA Europe GmbH erheblich reduziert. Der
starke Anstieg bei den Forderungen aus Lieferungen und Leistungen ist hauptsächlich auf die rückrufbedingte Weiterbelastung von Kosten seitens der TAKATA Sachsen GmbH an die TK Holdings Inc., USA,
zurückzuführen.";;2016/2017;GmbH;Konzernabschluss;EY
Die Forderungen gegen verbundene Unternehmen resultieren zudem in Höhe von TEUR 860 (Vj. TEUR 31.843) aus sonstigen Forderungen, die ebenfalls wie im Vorjahr innerhalb eines Jahres fällig sind.;;2016/2017;GmbH;Konzernabschluss;EY
"Von den Finanzforderungen gegen verbundene Unternehmen sind TEUR 2.850 (Vj. TEUR 3.700) innerhalb eines Jahres fällig und entfallen mit TEUR 1.950 (Vj. TEUR 3.700) auf die TAKATA Maroc S.A.R.L.,
Marokko und mit TEUR 900 (Vj. TEUR 0) auf die TAKATA Istanbul Automotive Safety Systems Production and Trading Ltd., Türkei.";;2016/2017;GmbH;Konzernabschluss;EY
"Zudem bestehen langfristige Finanzforderungen in Höhe von TEUR 10.500 (Vj. TEUR 82.700), davon TEUR 7.500 (Vj. TEUR 7.500) gegen die TAKATA Maroc S.A.R.L, Marokko sowie TEUR 3.000 (Vj. TEUR
14.000) gegen die TAKATA Rus LLC, Russland. Der Rückgang der Forderungen resultiert vor allem aus der erstmaligen Einbeziehung der Takata Safety Systems Hungary Kft., Ungarn in den Konsolidierungskreis
der TAKATA Europe GmbH, gegen welche im Vorjahr Forderungen in Höhe von TEUR 60.000 bestanden.";;2016/2017;GmbH;Konzernabschluss;EY
5. Sonstige Vermögensgegenstände;;2016/2017;GmbH;Konzernabschluss;EY
"Von den sonstigen Vermögensgegenständen in Höhe von TEUR 45.674 (Vj. TEUR 34.479) entfallen TEUR 13.141 auf die TAKATA Europe GmbH, TEUR 11.920 auf die TAKATA AG, TEUR 5.500 auf die
TAKATA Romania S.R.L., Rumänien, TEUR 5.048 auf die TAKATA South Africa (Pty.) Ltd., Südafrika, TEUR 4.845 auf die Takata Safety Systems Hungary Kft., Ungarn, TEUR 2.492 auf die TAKATA Sibiu
S.R.L., Rumänien und TEUR 1.918 auf die TAKATA Parts Polska Sp. z o.o., Polen.";;2016/2017;GmbH;Konzernabschluss;EY
Sonstige Vermögensgegenstände mit einer Restlaufzeit von mehr als einem Jahr betragen TEUR 1.877 (Vj. TEUR 2.994) und betreffen ausschließlich Ansprüche aus Rückdeckungsversicherungen für Pensionsverpflichtungen.;;2016/2017;GmbH;Konzernabschluss;EY
6. Rechnungsabgrenzungsposten;;2016/2017;GmbH;Konzernabschluss;EY
"Ein aktiver Rechnungsabgrenzungsposten wurde in Höhe von TEUR 6.546 (Vj. TEUR 9.701) gebildet und betraf im Wesentlichen die TAKATA Europe GmbH in Höhe von TEUR 4.180 (Vj. TEUR 6.971) für
Versicherungsprämien des Geschäftsjahres 2017/2018 sowie die TAKATA Aktiengesellschaft in Höhe von TEUR 1.243 (Vj. TEUR 1.261).";;2016/2017;GmbH;Konzernabschluss;EY
7. Aktive latente Steuern; 25   ;2016/2017;GmbH;Konzernabschluss;EY
"Latente Steuern resultieren zum einen aus den Einzelabschlüssen der Tochtergesellschaften und zum anderen aus erfolgswirksamen Konsolidierungsbuchungen. Sie werden auf Verlustvorträge bzw. auf zeitliche
Differenzen zwischen den steuerlichen Bilanzwerten und den handelsrechtlichen Buchwerten gebildet. Bei der TAKATA GmbH Inflator Systems (TEUR 12.655), TAKATA South Africa (Pty.) Ltd., Südafrika
(TEUR 11.537), TAKATA Parts Polska Sp. z o.o., Polen (TEUR 10.611) und bei der Takata Safety Systems Hungary Kft., Ungarn (TEUR 2.577) wurden Wertberichtigungen auf die latenten Steuern vorgenommen.
Zusätzlich wurden Wertberichtungen auf aktive latente Steuern in Höhe von TEUR 30.750 für die Gesellschaften der Organschaft der TAKATA Europe GmbH in Deutschland vorgenommen."; 25   ;2016/2017;GmbH;Konzernabschluss;EY
"Die aktiven latenten Steuern in Höhe von TEUR 31.955 (Vj. TEUR 27.354) wurden auf temporäre Differenzen in Höhe von TEUR 30.744 (Vj. TEUR 24.668), auf steuerliche Verlustvorträge in Höhe von TEUR
69.145 (Vj. TEUR 61.971) und auf Konsolidierungsbuchungen in Höhe von TEUR 377 (Vj. TEUR 402) gebildet. Aktive latente Steuern auf Verlustvorträge in Höhe von TEUR 46.349, die auf die deutschen
Gesellschaften entfallen, sowie Verlustvorträge der TAKATA South Africa (Pty.) Ltd., Südafrika in Höhe von TEUR 11.537 sind grundsätzlich unverfallbar. Aktive latente Steuern auf Verlustvorträge bei der
TAKATA Parts Polska Sp. z o.o., Polen in Höhe von TEUR 6.953 könnten bis 31. Dezember 2026 genutzt werden und aktive latente Steuern auf Verlustvorträge bei der Takata Safety Systems Hungary Kft.,
Ungarn in Höhe von TEUR 4.294 bleiben bis 31. März 2024 bestehen. Temporäre Differenzen bestanden hauptsächlich in den Positionen Sachanlagevermögen, Vorräte und Rückstellungen. Auf Steuergutschriften
wurden im Berichtsjahr wie im Vorjahr keine aktiven latenten Steuern gebildet."; 25, 26 ;2016/2017;GmbH;Konzernabschluss;EY
Die latenten Steuern wurden anhand der folgenden Steuersätze berechnet:; 25   ;2016/2017;GmbH;Konzernabschluss;EY
"%
TAKATA Romania S.R.L. 16,00
TAKATA Sibiu S.R.L. 16,00
TAKATA Parts s.r.o. 19,00
TAKATA Spölka z o.o. 19,00
TAKATA Parts Polska Sp. z o.o. 19,00
TAKATA Europe GmbH 29,61
TAKATA GmbH Inflator Systems 29,83
TAKATA AG 29,61
TAKATA Sachsen GmbH 29,61
TAKATA PlasTec GmbH 29,61
TAKATA Ignition Systems GmbH 29,61
Takata Safety Systems Hungary Kft. 10,00
TAKATA Europe Konzern 29,61"; 25   ;2016/2017;GmbH;Konzernabschluss;EY
8. Eigenkapital;;2016/2017;GmbH;Konzernabschluss;EY
Die Anteile anderer Gesellschafter betreffen die sich im Besitz von Herrn Shigehisa Takada befindlichen Anteile an der TAKATA Aktiengesellschaft;;2016/2017;GmbH;Konzernabschluss;EY
"Für das Mutterunternehmen besteht eine Ausschüttungssperre für TEUR 24.982 (Vj. TEUR 24.854). Sie betrifft die Aktivierung latenter Steuern in Höhe von TEUR 17.316 sowie den Unterschiedsbetrag nach
§ 253 Abs. 6 S. 1 HGB in Höhe von TEUR 7.666.";;2016/2017;GmbH;Konzernabschluss;EY
9. Sonderposten für Investitionszulag;;2016/2017;GmbH;Konzernabschluss;EY
"Der Sonderposten für Investitionszulagen in Höhe von TEUR 14.033 (Vj. TEUR 2.038) resultiert aus TEUR 12.601 (Vj. TEUR 0) bei der Takata Safety Systems Hungary Kft., Ungarn, TEUR 1.257 (Vj. TEUR
1.407) bei der TAKATA Aktiengesellschaft und TEUR 175 (Vj. TEUR 631) aus der TAKATA Sachsen GmbH.";;2016/2017;GmbH;Konzernabschluss;EY
10. Rückstellungen für Pensionen und ähnliche Verpflichtungen;;2016/2017;GmbH;Konzernabschluss;EY
"Im Vergleich zum Vorjahr erhöhten sich die Rückstellungen für Pensionen und ähnliche Verpflichtungen zum 31. März 2017 geringfügig um TEUR 505. Während der BilMoG-Zinssatz erneut reduziert wurde
von 4,25 % im Vorjahr auf 3,94 % zum Stichtag, blieb der Rententrend bei den deutschen Gesellschaften mit 1,50 % unverändert zum Vorjahr. Der Gehaltstrend bei den rumänischen Gesellschaften hat sich
von 5,0 % p.a auf 9,0 % p.a erhöht.";;2016/2017;GmbH;Konzernabschluss;EY
11. Steuerrückstellungen;;2016/2017;GmbH;Konzernabschluss;EY
"Die Steuerrückstellungen im Konzern in Höhe von TEUR 1.344 (Vj. TEUR 723) betreffen im Wesentlichen die TAKATA Romania S.R.L., Rumänien mit 889 TEUR (Vj. TEUR 0) und die TAKATA Europe
GmbH mit TEUR 403 (Vj. TEUR 627).";;2016/2017;GmbH;Konzernabschluss;EY
12. Sonstige Rückstellungen;;2016/2017;GmbH;Konzernabschluss;EY
"Die sonstigen Rückstellungen des Konzerns in Höhe von TEUR 99.456 (Vj. TEUR 114.382) enthalten Risiken aus Einkaufs- und Verkaufsgeschäften in Höhe von TEUR 26.180 (Vj. TEUR 44.491), belegschaftsbezogene
Rückstellungen in Höhe von TEUR 32.613 (Vj. TEUR 28.380) und übrige Rückstellungen in Höhe von TEUR 40.664 (Vj. TEUR 41.510).";;2016/2017;GmbH;Konzernabschluss;EY
"Von den Risiken aus Einkaufs- und Verkaufsgeschäften entfallen TEUR 8.599 (Vj. TEUR 17.499) auf Rückstellungen für drohende Verluste aus schwebenden Geschäften und TEUR 8.135 (Vj. TEUR 13.697)
auf die Rückstellung für Gewährleistung.";;2016/2017;GmbH;Konzernabschluss;EY
"Innerhalb der belegschaftsbezogenen Rückstellungen stellen Bonusrückstellungen in Höhe von TEUR 13.742 (Vj. TEUR 12.729) die größte Einzelrückstellung dar. Von diesem Betrag entfallen TEUR 8.148
(Vj. TEUR 7.149) auf die TAKATA Aktiengesellschaft.";;2016/2017;GmbH;Konzernabschluss;EY
Die Rückstellungen für Restrukturierungsmaßnahmen betragen TEUR 1.496 (Vj. TEUR 1.735). Von diesem Betrag entfallen TEUR 896 (Vj. TEUR 1.637) auf die TAKATA Parts s.r.o., Tschechien.;;2016/2017;GmbH;Konzernabschluss;EY
Die Rückstellung für Altersteilzeit beträgt saldiert TEUR 1.381 (Vj. TEUR 940), wobei diese Rückstellung teilweise mit einem Aktivwert aus der Altersteilzeitinsolvenzsicherung verrechnet wird.;;2016/2017;GmbH;Konzernabschluss;EY
Die Rückstellung für Altersteilzeit beträgt saldiert TEUR 1.381 (Vj. TEUR 940), wobei diese Rückstellung teilweise mit einem Aktivwert aus der Altersteilzeitinsolvenzsicherung verrechnet wird.;;2016/2017;GmbH;Konzernabschluss;EY
13. Angaben zur Verrechnung nach § 246 Abs. 2 Satz 2 HGB;;2016/2017;GmbH;Konzernabschluss;EY
"TEUR
Erfüllungsbetrag der verrechneten Schulden 3.776
Anschaffungskosten der Vermögensgegenstände 2.376
Beizulegender Zeitwert der Vermögensgegenstände 2.376";;2016/2017;GmbH;Konzernabschluss;EY
"Die Bewertung der Vermögensgegenstände erfolgt zum Aktivwert. Dieser Wert stellt den Zeitwert und gleichzeitig die fortgeführten Anschaffungskosten der Insolvenzsicherung der Altersversorgungsverpflichtungen
dar.";;2016/2017;GmbH;Konzernabschluss;EY
Aufwendungen und Erträge wurden nicht miteinander verrechnet.;;2016/2017;GmbH;Konzernabschluss;EY
14. Verbindlichkeiten; 43   ;2016/2017;GmbH;Konzernabschluss;EY
"Art der Verbindlichkeit 31.03.2017
davon Restlaufzeit bis zu
1 Jahr
davon Restlaufzeit 1 bis 5
Jahre 31.03.2016
davon Restlaufzeit bis zu
1 Jahr
davon Restlaufzeit 1 bis 5
Jahre
TEUR TEUR TEUR TEUR TEUR TEUR
Verbindlichkeiten gegenüber
Kreditinstituten
136.021 136.021 0 136.053 136.053 0
Erhaltene Anzahlungen
auf Bestellungen
7.056 7.056 0 866 866 0
Verbindlichkeiten aus
Lieferungen und Leistungen
144.500 144.500 0 96.250 96.250 0
Verbindlichkeiten gegenüber
verbundenen Unternehmen
150.920 70.496 80.424 81.509 52.398 29.111
Sonstige Verbindlichkeiten
22.816 22.816 22.164 22.163 1
davon aus Steuern (7.538) (7.538) (6.756) (6.756)
davon im Rahmen der sozialen
Sicherheit
(4.963) (4.963) (0) (2.371) (2.370) (1)
davon übrige Verbindlichkeiten
(10.314) (10.314) (0) (13.036) (13.036) (0)
461.313 380.889 80.424 336.842 307.730 29.112"; 43   ;2016/2017;GmbH;Konzernabschluss;EY
"Die Verbindlichkeiten gegenüber verbundenen Unternehmen resultieren überwiegend aus Finanzverbindlichkeiten in Höhe von TEUR 100.424 (Vj. TEUR 29.111) und aus Lieferungen und Leistungen in Höhe
von TEUR 43.085 (Vj. TEUR 48.442). Von den Finanzverbindlichkeiten sind TEUR 20.000 innerhalb eines Jahres fällig und TEUR 80.424 haben eine Restlaufzeit von 1 bis 5 Jahren. Der Anstieg an Finanz-verbindlichkeiten
um TEUR 71.313 im Vergleich zum Vorjahr ist auf die erstmalige Konsolidierung der Takata Safety Systems Hungary Kft., Ungarn (TEUR 34.775) und die Darlehensaufnahme beim Gesellschafter
durch die TAKATA Europe GmbH (TEUR 36.539) zurückzuführen."; 43   ;2016/2017;GmbH;Konzernabschluss;EY
Die Verbindlichkeiten gegenüber verbundenen Unternehmen beinhalten Verbindlichkeiten gegenüber Gesellschaftern in Höhe von TEUR 104.962 (Vj. TEUR 32.650).; 19, 43 ;2016/2017;GmbH;Konzernabschluss;EY
15. Passive latente Steuern;;2016/2017;GmbH;Konzernabschluss;EY
Passive latente Steuern wurden nicht gebildet (Vj. TEUR 927).; 29   ;2016/2017;GmbH;Konzernabschluss;EY
16. Sonstige finanzielle Verpflichtungen;;2016/2017;GmbH;Konzernabschluss;EY
"31.03.2017
TEUR
Verpflichtungen aus Miet- und Leasingverträgen
fällig bis 31.03.2018 5.170
fällig zwischen 01.04.2018 und 31.03.2021 4.360
fällig ab 01.04.2021 2.681
Bestellobligo für Anlagevermögen 3.824
Bestellobligo für Vorratsvermögen 8.487
24.522";;2016/2017;GmbH;Konzernabschluss;EY
"Als wesentliches Risiko aus den Leasingverträgen ist die Verringerung zukünftiger Cashflows aufgrund fester Liquiditätsabflüsse zu nennen. Vorteile ergeben sich insbesondere daraus, dass die Leasingverträge
eine langfristige Kapitalbindung verhindern, und dass der langfristige Liquiditätsabfluss für die Gesellschaft planbar ist.";;2016/2017;GmbH;Konzernabschluss;EY
17. Haftungsverhältnisse; 44   ;2016/2017;GmbH;Konzernabschluss;EY
"31.03.2017
TEUR
Aus Bürgschaften 29.904"; 44   ;2016/2017;GmbH;Konzernabschluss;EY
"Zwischen der TAKATA Europe GmbH und der Erste Group Bank, Wien besteht eine Zahlungsgarantie für die TAKATA Aktiengesellschaft, die TAKATA Sachsen GmbH und die TAKATA Romania S.R.L.,
Rumänien in Höhe von TEUR 20.000. Außerdem besteht noch eine gesamtschuldnerische Garantie durch die TAKATA Europe GmbH an das ungarische Außen- und Handelsministerium im Zusammenhang mit
erhaltenen Investitionskostenzuschüssen bei der Takata Safety Systems Hungary Kft., Ungarn in Höhe von TEUR 7.400."; 44   ;2016/2017;GmbH;Konzernabschluss;EY
"Die TAKATA Europe GmbH hat eine Bürgschaft in Höhe von TEUR 2.300 dem ungarischen National Office für Berufsausbildung und Erwachsenenbildung im Zusammenhang mit erhaltenen Ausbildungszuschüssen
für die Takata Safety Systems Hungary Kft., Ungarn gewährt."; 44   ;2016/2017;GmbH;Konzernabschluss;EY
Ansonsten handelt es sich um Zollbürgschaften, übliche Mietkautionsbürgschaften und Bürgschaften im Zusammenhang mit erhaltenen Ausbildungszuschüssen.; 44   ;2016/2017;GmbH;Konzernabschluss;EY
Das Risiko der Inanspruchnahme aus Bürgschaften wird insgesamt aufgrund der guten Vermögens-, Finanz- und Ertragslage als relativ gering eingeschätzt.; 44, 45 ;2016/2017;GmbH;Konzernabschluss;EY
II. Konzern-Gewinn- und Verlustrechnung;;2016/2017;GmbH;Konzernabschluss;EY
1. Umsatzerlöse;;2016/2017;GmbH;Konzernabschluss;EY
"Durch die erstmalige Anwendung des BilRUG für das Geschäftsjahr 2016/2017 sind die ausgewiesenen Umsatzerlöse nicht mehr direkt mit denen des Geschäftsjahres 2015/2016 vergleichbar. Hintergrund ist die
Umgliederung von sonstigen betrieblichen Erträgen wie Managementleistungen, IT-Leistungen, Mitarbeiterüberlassungen, Nutzungsrechten an Patenten, Lizenzen und Verkauf von Schrott in die Umsatzerlöse.
Unter Anwendung des § 277 Abs. 1 HGB n.F. hätten sich im Vorjahr Umsatzerlöse in Höhe von TEUR 1.811.809 ergeben.";;2016/2017;GmbH;Konzernabschluss;EY
Die Nettoumsätze entfallen auf die Produktgruppen wie folgt:; 48, 49 ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
Lenkräder 497.261 445.586
Airbagmodule 459.943 442.858
Sicherheitsgurte 328.708 300.762
Kunststoffteile 50.745 55.432
Gasgeneratoren 47.546 84.066
Elektronik (inkl. Kontakteinheiten) 28.928 34.904
Luftsäcke 12.684 17.223
Kindersitze 4.706 3.988
Sonstige Erlöse 109.633 116.604
1.540.154 1.501.423
Abzüglich Erlösschmälerungen -18.986 -22.757
Nettoerlöse 1.521.168 1.478.666"; 48, 49 ;2016/2017;GmbH;Konzernabschluss;EY
Die Nettoumsätze setzen sich nach Absatzmärkten wie folgt zusammen:;;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
EU-Länder (ohne Deutschland) 788.397 742.267
Inland 531.217 544.981
Nordamerika 82.710 56.372
Asien 59.305 77.629
Übriges Europa 32.523 32.851
Mittel- und Südamerika 13.152 13.643
Übrige Länder 13.864 10.923
Gesamt 1.521.168 1.478.666";;2016/2017;GmbH;Konzernabschluss;EY
2. Sonstige betriebliche Erträge; 54   ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
Erträge aus der Entkonsolidierung 38.637 0
Erträge aus der Auflösung von Rückstellungen 22.233 7.102
Währungskursgewinne 20.994 8.738
Erträge aus der Auflösung von Einzelwertberichtigungen 389 892
Erträge aus dem Abgang von Gegenständen des Anlagevermögens 81 3.000
Erträge aus der Herabsetzung der Pauschalwertberichtigung 24 259
Management Fees 0 2.168
Sonstige übrige Erträge 6.384 5.000
88.742 27.159"; 54   ;2016/2017;GmbH;Konzernabschluss;EY
Die Erträge aus Währungskursgewinnen verteilten sich folgendermaßen auf die Gesellschaften:; 54   ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
TAKATA Romania S.R.L. 7.612 2.784
TAKATA South Africa (Pty.) Ltd. 6.041 1.984
TAKATA Sibiu S.R.L. 2.800 610
TAKATA Sachsen GmbH 1.738 1.462
Takata Safety Systems Hungary Kft. 1.355 0
TAKATA AG 870 1.080
TAKATA Parts Polska Sp. z o.o. 322 401
TAKATA Parts s.r.o. 123 258
SCHROTH Safety Products GmbH 108 78
TAKATA PlasTec GmbH 11 13
TAKATA Europe GmbH 10 51
TAKATA Ignition Systems GmbH 3 7
TAKATA Spólka z o.o. 1 10
20.994 8.738"; 54   ;2016/2017;GmbH;Konzernabschluss;EY
"Bei den Erträgen aus der Auflösung von Rückstellungen und den Anpassungen der Wertberichtigungen handelt es sich um periodenfremde Erträge. Die Erträge aus der Auflösung von Rückstellungen verteilten
sich folgendermaßen auf die Gesellschaften:"; 52   ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
TAKATA AG 12.892TAKATA Sachsen GmbH 5.630 2.850
TAKATA PlasTec GmbH 2.832 443
TAKATA Parts s.r.o. 692 1.027
SCHROTH Safety Products GmbH 119 121
TAKATA Ignition Systems GmbH 37 16
TAKATA GmbH Inflator Systems 31 8
TAKATA Parts Polska Sp. z o.o. 0 20
TAKATA Europe GmbH 0 6
22.233 7.102 2.611
";;2016/2017;GmbH;Konzernabschluss;EY
3. Sonstige betriebliche Aufwendungen; 54   ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
Allgemeine Betriebskosten 104.596 107.718
Verwaltungskosten 23.574 17.528
Vertriebsaufwendungen 20.868 22.996
Währungskursverluste 16.723 21.103
Freiwillige Sozialaufwendungen 2.032 1.879
Abschreibungen auf Forderungen 155 1.128
Lizenzaufwendungen 76 2.409
Aufwand für Zuführung zu sonstigen Rückstellungen 93 3.103
Übrige Aufwendungen 8.319 9.650
176.436 187.514"; 54   ;2016/2017;GmbH;Konzernabschluss;EY
"In den allgemeinen Betriebskosten sind externe Beratungskosten und Rechtsberatungskosten, Versicherungsprämien, Kosten für Mieten/Pachten/Leasing, externe Dienstleistungen sowie Transport- und Verpackungskosten
enthalten.";;2016/2017;GmbH;Konzernabschluss;EY
