Ab S. 42; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
V. Angaben zu Haftungsverh„ltnissen und sonstigen finanziellen Verpflichtungen;;2016/2017;AG;Jahresabschluss;Ebner Stolz
Sonstige finanzielle Verpflichtungen; 83 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die sonstigen finanziellen Verpflichtungen setzen sich zum 31. M„rz 2017 wie folgt zusammen:; 83 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"2016/17.
TEUR
2015/16.
TEUR
Diverse Mietvertr„ge (bis 2021) 6.618 8.745
Diverse Leasingvertr„ge (bis 2021) 1.114 1.479
Diverse Wartungsvertr„ge (bis 2018) 562 713"; 83 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Das Bestellobligo aus Autorenvertr„gen betr„gt zum Bilanzstichtag TEUR 23.695. Die Zahlungstermine sind abh„ngig vom Eintritt im jeweiligen Vertrag geregelter Ereignisse, z. B. der Einreichung des Manuskriptes
fr ein eingekauftes Werk."; 83 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
VI. Sonstige Angaben;;2016/2017;AG;Jahresabschluss;Ebner Stolz
Entsprechenserkl„rung nach õ 161 AktG; 88 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Entsprechenserkl„rung ist auf der Internetseite der Bastei Lbbe AG unter https://www.luebbe.com/de/investor-relations/corporate-governance/entsprechenserklaerung dauerhaft ”ffentlich zug„nglich gemacht.
Vorstand und Aufsichtsrat haben im Juni 2016 die Erkl„rung gem„á õ 161 AktG zu den Empfehlungen der Regierungskommission Deutscher Governance Kodex abgegeben."; 88 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Besch„ftigte;;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die durchschnittliche Besch„ftigtenzahl betrug:; 80 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"2016/17 2015/16
Angestellte 293 305"; 80 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Im Gesch„ftsjahr 2016/17 waren von den durchschnittlich 293 Angestellten 29 % (im Vj. 31 %) m„nnlich und 71 % (im Vj. 69 %) weiblich.; 80 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Abschlussprferhonorare; 89 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Angaben zu den Abschlussprferhonoraren sind im Konzernabschluss der Bastei Lbbe AG enthalten.; 89 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Organe;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Mitglieder des Aufsichtsrates waren bis zum 30. November 2016:
?Dr. Friedrich Wehrle, Stuttgart (Vorsitzender), Diplom-Kaufmann
Herr Dr. Wehrle ist Gesellschafter der Outstore GmbH und Gesellschafter der FST Marketing GmbH
?Prof. Dr. Michael Nelles, Essen (stellvertretender Vorsitzender), ™konom
Herr Prof. Dr. Nelles ist Vorstandsvorsitzender der Conpair AG, Gesch„ftsfhrer der Nelles Verm”gensverwaltungs GmbH, Beirat der B”rse Dsseldorf und Aufsichtsratsvorsitzender der oolipo AG
?Prof. Dr. Gordian Hasselblatt, K”ln, Rechtsanwalt
Herr Prof. Dr. Hasselblatt ist Partner der CMS Hasche Sigle Partnerschaft von Rechtsanw„lten und Steuerberatern"; 102 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die ausschlieálich fixen Bezge des Aufsichtsrats sowie ihre Aufteilung fr den Zeitraum 1. April 2016 - 30. November 2016 lauten wie folgt:
ş Dr. Friedrich Wehrle (Aufsichtsratsvorsitzender) 40 TEUR
ş Prof. Dr. Michael Nelles (stellvertretender Vorsitzender) 30 TEUR
ş Prof. Dr. Gordian Hasselblatt 20 TEUR"; 103, 107,108 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Der auf der Hauptversammlung vom 30. November 2016 neu gew„hlte Aufsichtsrat setzt sich wie folgt zusammen:
?Robert Stein (Aufsichtsratsvorsitzender), Dipl. Betriebswirt (BA)
Herr Stein ist Gesch„ftsfhrer der Arcana Capital GmbH, Gesch„ftsfhrer der Rotaviru GmbH, K”ln, Verwaltungsratsmitglied der Arcana Capital AG, Zug (Schweiz)
Aufsichtsratsmitglied der fluid Operations AG, Walldorf und Aufsichtsratsvorsitzender der Younicos AG, Berlin
?Dr. Mirko Caspar (stellvertretender Vorsitzender), Diplom-Kaufmann
Herr Dr. Caspar ist Gesch„ftsfhrer der Mister Spex GmbH, Berlin, Gesellschafter der Userlutions GmbH, Berlin, und Gesellschafter der Caspar Feld Marketing-Performance UG (haftungsbeschr„nkt), Berlin
?Prof. Dr. Friedrich L. Ekey, Rechtsanwalt
Partner der Rechtsanwaltssoziet„t Dr. Ekey & Kollegen, K”ln"; 102 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die ausschlieálich fixen Bezge des Aufsichtsrats sowie Ihre Aufteilung fr den Zeitraum 1. Dezember 2016 - 31. M„rz 2017 lauten wie folgt:
ş Robert Stein (Aufsichtsratsvorsitzender) 27 TEUR
ş Dr. Mirko Caspar (stellvertretender Vorsitzender) 20 TEUR
ş Prof. Dr. Friedrich L. Ekey 13 TEUR"; 103,107 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Zu Vorstandsmitgliedern der Bastei Lbbe AG wurden bestellt:
?Thomas Schierack, K”ln, Vorstandsvorsitzender, CEO
?Klaus Kluge, K”ln, Vorstand Programm, Vertrieb und Marketing
?Ulrich Zimmermann, Hamburg, Finanzvorstand, CFO (seit 19. Juni 2017)"; 102 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Gesamtbezge des Vorstandes sind in den folgenden Tabellen abgebildet:;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"in TEUR Festvergtung Nebenvergtung Tantieme
Korrektur Tantieme Vorjahre
Versorgung Gesamt
Thomas Schierack 430 24 81 -134 20 521
Klaus Kluge 310 23 54 -87 20 320"; 103,107 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Auáerdem wurde Herrn Klaus Kluge ein kurzfristiges, mit 1,5 % zu verzinsendes Darlehen in H”he von TEUR 25 gew„hrt.; 112 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Konzernverh„ltnisse;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Bastei Lbbe AG, K”ln, ist Mutterunternehmen, das als b”rsennotiertes Unternehmen gem„á õ 315a Abs. 1 HGB einen Konzernabschluss nach den International Financial Reporting Standards (IFRS) aufstellt.
Dieser wird im Bundesanzeiger und im Unternehmensregister (Amtsgericht K”ln, HRB 79249) ver”ffentlicht."; 92 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Nach õ 20 Abs. 6 AktG und õ 26 Abs. 1 WpHG ver”ffentlichte Mitteilungen (õ 160 Abs. 1 Nr. 8 AktG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"21.10.2014 - DGAP-PVR: BASTEI LšBBE AG: VER™FFENTLICHUNG GEMSS
õ 26 ABS. 1 WPHG MIT DEM ZIEL DER EUROPAWEITEN VERBREITUNG"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Frau Birgit Lbbe, Deutschland, hat uns gem„á õ 21 Abs. 1 WpHG am 17.10.2014 mitgeteilt, dass ihr Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland, am 13.10.2014 die Schwelle von 50 % der
Stimmrechte unterschritten hat und an diesem Tag 48,87 % (das entspricht 6.500.000 Stimmrechten) betragen hat. 12,78 % der Stimmrechte (das entspricht 1.700.000 Stimmrechten) sind Frau Lbbe gem„á õ
22 Abs. 1, Satz 1, Nr. 1 WpHG zuzurechnen. Dabei werden zugerechnete Stimmrechte ber das folgende von Birgit Lbbe kontrollierte Unternehmen, dessen Stimmrechtsanteil an der Bastei Lbbe AG 3 %
oder mehr betr„gt, gehalten: Lbbe Beteiligungs-GmbH."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Lbbe Beteiligungs-GmbH, K”ln, Deutschland hat uns gem„á õ 21 Abs. 1 WpHG am 20.04.2015 mitgeteilt, dass ihr Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland am 16.04.2015 die Schwelle
von 3 % der Stimmrechte unterschritten hat und an diesem Tag 0 % (das entspricht 0 Stimmrechten) betragen hat."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"24.10.2014 - DGAP-PVR: BASTEI LšBBE AG: VER™FFENTLICHUNG GEMSS
õ 26 ABS. 1 WPHG MIT DEM ZIEL DER EUROPAWEITEN VERBREITUNG"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Herr Andreas Roggen, Deutschland, hat uns gem„á õ 21 Abs. 1 WpHG am 24.10.2014 mitgeteilt, dass sein Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland, am 13.10.2014 die Schwelle von 3 %
der Stimmrechte berschritten hat und an diesem Tag 3,01 % (das entspricht 400.000 Stimmrechten) betragen hat."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"24.10.2014 - DGAP-PVR: BASTEI LšBBE AG: VER™FFENTLICHUNG GEMSS
õ 26 ABS. 1 WPHG MIT DEM ZIEL DER EUROPAWEITEN VERBREITUNG"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Frau Eva Meinecke, Deutschland, hat uns gem„á õ 21 Abs. 1 WpHG am 24.10.2014 mitgeteilt, dass ihr Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland, am 13.10.2014 die Schwelle von 3 % der
Stimmrechte berschritten hat und an diesem Tag 3,01 % (das entspricht 400.000 Stimmrechten) betragen hat."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"24.10.2014 - DGAP-PVR: BASTEI LšBBE AG: VER™FFENTLICHUNG GEMSS
õ 26 ABS. 1 WPHG MIT DEM ZIEL DER EUROPAWEITEN VERBREITUNG"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Frau Diana Roggen, Deutschland, hat uns gem„á õ 21 Abs. 1 WpHG am 24.10.2014 mitgeteilt, dass ihr Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland, am 13.10.2014 die Schwelle von 3 % der
Stimmrechte berschritten hat und an diesem Tag 3,01 % (das entspricht 400.000 Stimmrechten) betragen hat."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"16.09.2015 - DGAP-PVR: BASTEI LšBBE AG: VER™FFENTLICHUNG GEMSS
õ 26 ABS. 1 WPHG MIT DEM ZIEL DER EUROPAWEITEN VERBREITUNG"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Frau Larissa Juliana Zang, Deutschland, hat uns gem„á õ 21 Abs. 1 WpHG am 16.09.2015 mitgeteilt, dass ihr Stimmrechtsanteil an der Bastei Lbbe AG, K”ln, Deutschland, am 08.09.2015 die Schwelle von
3 % der Stimmrechte berschritten hat und an diesem Tag 3,01 % (das entspricht 400.000 Stimmrechten) betragen hat."; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Korrektur der Ver”ffentlichung vom 03.12.2015; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
X Sonstiger Grund: Bestandsmitteilung nach õ41 Abs. 4f WpHG / Freiwillige Konzernbestandsmitteilung"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name: Registrierter Sitz und Staat:
Allianz SE Mnchen, Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42334; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 9,77% 0,00% 9,77% 13300000
letzte Mitteilung 9,77% % % /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 1300000 % 9,77%
Summe 1300000 9,77%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Mitteilungspflichtiger (3.) wird weder beherrscht noch beherrscht Mitteilungspflichtiger andere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
X Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen
Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her
Allianz SE % % %
Allianz Asset Management AG % % %
Allianz Global Investors GmbH 9,77% % 9,77%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Stimmrechtsmitteilung vom 28.07.2016; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 9 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
Sonstiger Grund:"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name:
Registrierter Sitz und
Staat:
LAZARD FRERES GESTION S.A.S Paris, Frankreich"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42572; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 3,07% % 3,07% 13300000
letzte Mitteilung % % % /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 408001 3,07% %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
Summe 408001 3,07%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Mitteilungspflichtiger (3.) wird weder beherrscht noch beherrscht Mitteilungspflichtiger andere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen
Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Stimmrechtsmitteilung vom 15.11.2016; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
X Sonstiger Grund: Bestandsmitteilung nach õ41 Abs. 4g WpHG / Freiwillige Konzernbestandsmitteilung"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name: Registrierter Sitz und Staat:
Universal Investment GmbH Frankfurt am Main, Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42683; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 3,04% 0 % 3,04% 13300000
letzte Mitteilung n/a % n/a % n/a % /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 403884 % 3,04%
Summe 403884 3,04%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Mitteilungspflichtiger (3.) wird weder beherrscht noch beherrscht Mitteilungspflichtiger andere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen
Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her
% % %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Stimmrechtsmitteilung vom 13.02.2017; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
Sonstiger Grund:"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name: Registrierter Sitz und Staat:
Natixis Asset Management Paris, Frankreich"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42773; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 2,998% % 2,998% 13300000
letzte Mitteilung 3,036% % 3,036% /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 398678 2,998% %
Summe 398678 2,998%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Mitteilungspflichtiger (3.) wird weder beherrscht noch beherrscht Mitteilungspflichtiger andere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Stimmrechtsmitteilung vom 24.05.2017; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
