Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
7 ANGABEN ZU AUSSCHÜTTUNGSGESPERRTEN BETRÄGEN;;2016;AG;Jahresabschluss;EY
Zur Ausschüttung gesperrte Beträge im Sinne des § 268 Abs. 8 HGB bestehen unter Berücksichtigung der frei verfügbaren Gewinnrücklagen wie im Vorjahr keine.; 38 ;2016;AG;Jahresabschluss;EY
8 RÜCKSTELLUNGEN FÜR PENSIONEN UND ÄHNLICHE VERPFLICHTUNGEN; 4.48 ;2016;AG;Jahresabschluss;EY
Verpflichtungen aus Pensionszusagen sind teilweise durch qualifizierte Versicherungspolicen (Deckungsvermögen) gesichert. Die Leistungen aus den Versicherungspolicen dienen ausschließlich der Erfüllung der jeweiligen Pensionsverpflichtungen und sind dem Zugriff übriger Gläubiger durch Verpfändung entzogen.; 4.48 ;2016;AG;Jahresabschluss;EY
Der beizulegende Zeitwert des Rückdeckungsanspruchs besteht aus dem geschäftsplanmäßigen Deckungskapital des Versicherungsunternehmens zuzüglich eines vorhandenen Guthabens aus Beitragsrückerstattung (sogenannte Überschussbeteiligung).; 4.48 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 31.12.2016 31.12.2015
Erfüllungsbetrag der Pensionen und ähnlichen Verpflichtungen 73.743 70.818
Beizulegender Zeitwert der Rückdeckungsversicherung 71.145 66.917
Nettowert der Pensionen und ähnlichen Verpflichtungen (Rückstellung) 2.598 3.901
Anschaffungskosten des in der Rückdeckungsversicherung angelegten Vermögens 71.145 66.917
"; 4.48, 44 ;2016;AG;Jahresabschluss;EY
Die aus dem Deckungsvermögen resultierenden Erträge und die Zinsaufwendungen aus korrespondierenden Erfüllungsbeträgen der Pensionsrückstellungen im Geschäftsjahr 2016 sind nachstehend dargestellt:; 4.48, 44 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 2015
Zinserträge aus Deckungsvermögen 1.718 1.705
Zinsaufwand aus korrespondierenden Pensionsrückstellungen 2.049 6.751
Saldierter Zinsaufwand 331 5.046
"; 4.48, 44 ;2016;AG;Jahresabschluss;EY
"Der Saldo in Höhe von 331 TEUR wird im Zinsaufwand ausgewiesen. Darin enthalten sind 692 TEUR Zinsertrag aus der Veränderung des Rechnungszinses (2016: 4,01 %; 2015: 3,90 %)."; 4.48 ;2016;AG;Jahresabschluss;EY
Aufgrund der geänderten handelsrechtlichen Vorschriften im Kontext des Gesetzes zur Umsetzung der Wohnimmobilienkreditrichtlinie sind die Rückstellungen für Pensionszusagen und ähnliche Verpflichtungen nicht mehr mit dem laufzeitadäquaten durchschnittlichen Marktzinssatz der vergangenen sieben, sondern mit dem der vergangenen zehn Geschäftsjahre abzuzinsen. Der Unterschiedsbetrag hieraus beträgt zum 31.12.2016 5.330 TEUR (10-Jahres-Durch-schnitt: 4,01 %/7-Jahres-Durchschnitt: 3,23 %).; 4.48, 42 ;2016;AG;Jahresabschluss;EY
9 SONSTIGE RÜCKSTELLUNGEN; 4.50, 47 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 31.12.2016 31.12.2015
Personalaufwendungen 34.061 29.413
Ausstehende Eingangsrechnungen 34.849 24.477
Retourenrückstellung 4.981 5.836
Aufwendungen für Storeschließungen 25.900 -
Übrige Rückstellungen 21.221 23.694
  121.012 83.420
"; 4.50, 47 ;2016;AG;Jahresabschluss;EY
Die Rückstellungen für Personalaufwendungen betreffen überwiegend Rückstellungen für kurz- und mittelfristige Tantiemen und Boni sowie Altersteilzeit.; 4.50, 47 ;2016;AG;Jahresabschluss;EY
Ausstehende Rechnungen, deren Höhe und Fälligkeit bekannt ist, werden in den Verbindlichkeiten aus Lieferungen und Leistungen ausgewiesen.; 4.50 ;2016;AG;Jahresabschluss;EY
Die Retourenrückstellung beinhaltet Warenrücksendungen, die innerhalb der nächsten 12 Monate abgewickelt werden.; 4.50 ;2016;AG;Jahresabschluss;EY
Im Rahmen des Maßnahmenprogramms für beschlossene Storeschließungen wurden Ausgleichszahlungen an verbundene Unternehmen eingestellt.; 4.50 ;2016;AG;Jahresabschluss;EY
Die übrigen Rückstellungen betreffen überwiegend Rückstellungen für sonstige Risiken, im Wesentlichen Zinsen zu erwartenden Steuernachzahlungen aus der Betriebsprüfung 2007-2011 in Höhe von 4.485 TEUR (2015: 5.297 TEUR) und Drohverlustrückstellungen aus Lieferantenverträgen in Höhe von 3.423 TEUR (2015: 2.624 TEUR).; 4.50 ;2016;AG;Jahresabschluss;EY
10 VERBINDLICHKEITEN; 4.51, 49, 50 ;2016;AG;Jahresabschluss;EY
"(in TEUR) Mit einer Restlaufzeit von 
Gegliedert nach Restlaufzeiten bis zu 1 Jahr 1 bis 5 Jahren mehr als 5 Jahren GESAMT
2016        
Verbindlichkeiten gegenüber Kreditinstituten 1.991 7.966 1.992 11.949
Verbindlichkeiten aus Lieferungen und Leistungen 97.784 - - 97.784
Verbindlichkeiten gegenüber verbundenen Unternehmen 359.256 100.000 - 459.256
Sonstige Verbindlichkeiten 7.027 892 - 7.919
  466.058 108.858 1.992 576.908
2015        
Verbindlichkeiten gegenüber Kreditinstituten 1 - 13.939 13.940
Verbindlichkeiten aus Lieferungen und Leistungen 95.111 - - 95.111
Verbindlichkeiten gegenüber verbundenen Unternehmen 157.297 100.000 - 257.297
Sonstige Verbindlichkeiten 5.641 1.140 - 6.781
  258.050 101.140 13.939 373.129
"; 4.51, 49, 50 ;2016;AG;Jahresabschluss;EY
Die Verbindlichkeiten gegenüber verbundenen Unternehmen betreffen mit 458.151 TEUR (2015: 256.375 TEUR) Darlehen, im Übrigen Lieferungen und Leistungen.; 4.51, 6 ;2016;AG;Jahresabschluss;EY
Zum 31. Dezember 2016 bestehen Sicherheiten in Form von Grundschulden in Höhe von 11.949 TEUR für die passivierten Verbindlichkeiten gegenüber Kreditinstituten (2015: 13.939 TEUR).; 4.51, 51, 52 ;2016;AG;Jahresabschluss;EY
AUFTEILUNG DER SONSTIGEN VERBINDLICHKEITEN; 4.60 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 31.12.2016 31.12.2015
Aus Steuern 3.779 3.777
Im Rahmen der sozialen Sicherheit 59 90
Übrige 4.081 2.914
  7.919 6.781
"; 4.60 ;2016;AG;Jahresabschluss;EY
11 LATENTE STEUERN; 4.35, 4.64 ;2016;AG;Jahresabschluss;EY
Als Ertragsteueraufwendungen werden Körperschaftsteuer, Gewerbesteuer, Solidaritätszuschlag und im Ausland entrichtete Ertragsteuern (z. B. anrechenbare Quellensteuer) ausgewiesen.; 4.35, 4.64 ;2016;AG;Jahresabschluss;EY
Insgesamt besteht zum 31. Dezember 2016 aus zeitlichen Unterschieden zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Rechnungsabgrenzungen und Schulden - sowohl aus eigenen als auch aus solchen Gesellschaften des steuerlichen Organkreises beziehungsweise von Personengesellschaften, an denen HUGO BOSS als Gesellschafter beteiligt ist - eine zukünftige Steuerentlastung von 20.934 TEUR (2015: 11.541 TEUR). Die Ermittlung dieses Betrags erfolgt auf Basis eines kombinierten Ertragsteuersatzes von 29,55 % (2015: 29,55 %) (HUGO BOSS AG und Organgesellschaften) beziehungsweise 15,83 % (Beteiligungen in der Rechtsform einer Personengesellschaft).; 4.35, 4.64, 27 ;2016;AG;Jahresabschluss;EY
Aktive Steuerlatenzen resultieren im Wesentlichen aus unterschiedlichen Wertansätzen im Anlagevermögen. Die Unterschiede bei den Pensionsrückstellungen und dem zu saldierenden Planvermögen führen ebenfalls zu aktiven Steuerlatenzen. Weitere aktive Latenzen resultieren aus für steuerliche Zwecke nicht ansetzbaren Rückstellungen. Passive Steuerlatenzen ergaben sich im Wesentlichen aus unterschiedlichen Wertansätzen in den Verbindlichkeiten und immateriellen Wirtschaftsgütern der einbezogenen Gesellschaften.; 4.35, 4.64, 27 ;2016;AG;Jahresabschluss;EY
Insgesamt ergibt sich nach Saldierung ein aktiver latenter Steuerüberhang in Höhe von 20.934 TEUR (2015: 11.541 TEUR). In Ausübung des Wahlrechts aus § 274 Absatz 1 Satz 2 HGB wurde eine aktive latente Steuer nicht bilanziert.; 4.35, 4.64, 27 ;2016;AG;Jahresabschluss;EY
Latente Steuern sind im Steueraufwand nicht enthalten; 4.35, 4.64 ;2016;AG;Jahresabschluss;EY
ERLÄUTERUNGEN ZUR GEWINN- UND VERLUSTRECHNUNG;;2016;AG;Jahresabschluss;EY
12 UMSATZERLÖSE; 4.66 ;2016;AG;Jahresabschluss;EY
"(in TEUR) Kollektion Umsatzerlöse Gesamtbetrag
2016 BOSS HUGO Sonstige Produkte Dienstleistung 
Europa1 719.6492 187.600 41.259 31.760 980.268
Amerika 135.3223 27.227 2.436 12 164.997
Asien/Pazifik 84.2334 2.364 2.184 21 88.802
  939.204 217.191 45.879 31.793 1.234.067
"; 4.66, 58 ;2016;AG;Jahresabschluss;EY
"1 Inkl. Naher Osten und Afrika.
2 Davon bei BOSS 65 %, Orange 17 %, Green 18 %.
3 Davon bei BOSS 73 %, Orange 4 %, Green 23 %.
4 Davon bei BOSS 83 %, Orange 5 %, Green 12 %."; 4.66, 58 ;2016;AG;Jahresabschluss;EY
"Vor BilRUG-Umgliederung BilRUG-Umgliederung Nach BilRUG-Umgliederung
Kollektion Umsatzerlöse Gesamtbetrag
2015 BOSS HUGO Sonstige Produkte Dienstleistung 
Europa1 784.9082 139.108 45.047 22.436 991.499
Amerika 201.8633 17828 4.387 47 224.125
Asien/Pazifik 103.8944 2.365 3.256 38 109.553
  1.090.665 159.301 52.690 22.521 1.325.177"; 4.66, 3, 59 ;2016;AG;Jahresabschluss;EY
"1 Inkl. Naher Osten und Afrika.
2 Davon bei BOSS 74 %, Orange 15 %, Green 11 %.
3 Davon bei BOSS 83 %, Orange 5 %, Green 12 %.
4 Davon bei BOSS 84 %, Orange 6 %, Green 10 %."; 4.66, 59 ;2016;AG;Jahresabschluss;EY
13 VERTRIEBSKOSTEN; 4.104 ;2016;AG;Jahresabschluss;EY
Die Aufwendungen für Vertriebskosten setzen sich aus folgenden Positionen zusammen:; 4.104 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 Nach Umgliederung BilRUG 2015 BilRUG-Umgliederung 2015 Vor Umgliederung BilRUG 2015
Marketingaufwendungen 34.212 33.355 -53.324 86.679
Aufwendungen für eigenen Einzelhandel, indirekte Vertriebs- und Marketingorganisation 131.609 127.909 -2.304 130.213
Lageraufwendungen 46.375 47.413 -13.121 60.534
Ausgangsfrachten und Lizenzgebühren 86.185 91.707 - 91.707
  298.381 300.384 -68.749 369.133
"; 4.104, 59 ;2016;AG;Jahresabschluss;EY
14 ALLGEMEINE VERWALTUNGSKOSTEN; 4.105 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 Nach Umgliederung BilRUG 2015 BilRUG-Umgliederung 2015 Vor Umgliederung BilRUG 2015
Verwaltungskosten 99.014 98.148 -4.580 102.728
"; 4.105, 59 ;2016;AG;Jahresabschluss;EY
Die allgemeinen Verwaltungskosten resultieren hauptsächlich aus Personalkosten, Raummieten, Leasingkosten, Abschreibungen sowie diversen IT-Aufwendungen.; 4.105 ;2016;AG;Jahresabschluss;EY
15 SONSTIGE BETRIEBLICHE ERTRÄGE; 4.69 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 Nach Umgliederung BILRUG 2015 BILRUG-Umgliederung 2015 Vor Umgliederung BILRUG 2015
Sonstige betriebliche Erträge 79.492 96.466 -75.211 171.677
Davon aus Währungsumrechnung (3.497) (5.442) - (5.442)"; 4.69, 59, 67 ;2016;AG;Jahresabschluss;EY
Die sonstigen betrieblichen Erträge enthalten hauptsächlich Erlöse aus der Weiterberechnung von Kosten und Leistungen an verbundene Unternehmen.; 4.69 ;2016;AG;Jahresabschluss;EY
16 SONSTIGE BETRIEBLICHE AUFWENDUNGEN; 4.80 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 Nach Umgliederung BILRUG 2015 BILRUG-Umgliederung 2015 Vor Umgliederung BILRUG 2015
Sonstige betriebliche Aufwendungen 114.172 67.651 -2.161 69.812
Davon Forschungs- und Entwicklungsaufwendungen (37.864) (39.528) - (39.528)
Davon aus Währungsumrechnung (2.015) (6.579) - (6.579)
"; 4.80, 59, 67 ;2016;AG;Jahresabschluss;EY
Der Anstieg innerhalb der sonstigen betrieblichen Aufwendungen beruht im Wesentlichen auf Konzernumlagen.; 4.80 ;2016;AG;Jahresabschluss;EY
17 ERTRÄGE AUS BETEILIGUNGEN; 4.81 ;2016;AG;Jahresabschluss;EY
Erträge aus Beteiligungen werden grundsätzlich in dem Zeitpunkt vereinnahmt, in dem der Anspruch entstanden und der Eingang der entsprechenden Erträge bei vernünftiger kaufmännischer Beurteilung sicher zu erwarten ist.; 4.81 ;2016;AG;Jahresabschluss;EY
Die Erträge aus Beteiligungen entfallen vollständig auf verbundene Unternehmen. Sie betreffen überwiegend den Jahresüberschuss der HUGO BOSS Trade Mark Management GmbH &Co. KG, Metzingen, in Höhe von 91.117 TEUR (2015: 90.303 TEUR), welcher entsprechend den gesellschaftsvertraglichen Regelungen auf das Darlehenskonto der Kommanditistin HUGO BOSS AG gutgeschrieben und entnommen wird.; 4.81 ;2016;AG;Jahresabschluss;EY
18 SONSTIGE ZINSEN UND ÄHNLICHE ERTRÄGE/ZINSEN UND ÄHNLICHE AUFWENDUNGEN; 4.85, 4.88 ;2016;AG;Jahresabschluss;EY
In den sonstigen Zinsen und ähnlichen Erträgen sind im Wesentlichen Erträge aus verbundenen Unternehmen in Höhe von 1.288 TEUR (2015: 853 TEUR) enthalten.; 4.85, 4.88 ;2016;AG;Jahresabschluss;EY
Zinsen und ähnliche Aufwendungen enthalten Aufwendungen aus der Aufzinsung von Rückstellungen in Höhe von 584 TEUR (2015: 5.292 TEUR). Im Gesamtbetrag der Zinsen und ähnlichen Aufwendungen sind 7.263 TEUR (2015: 6.354 TEUR) an verbundene Unternehmen enthalten.; 4.85, 4.88, 66 ;2016;AG;Jahresabschluss;EY
19 ERTRÄGE AUS GEWINNABFÜHRUNG/AUFWENDUNGEN AUS VERLUSTÜBERNAHME; 4.86 ;2016;AG;Jahresabschluss;EY
Erträge aus den Gewinnabführungsverträgen werden dann vereinnahmt, wenn das abzuführende Ergebnis zweifelsfrei beziffert werden kann, auch ohne dass der Jahresabschluss der Tochtergesellschaft bereits festgestellt ist.; 4.86 ;2016;AG;Jahresabschluss;EY
Mit den Tochterunternehmen HUGO BOSS Beteiligungsgesellschaft mbH, Metzingen, und HUGO BOSS Internationale Beteiligungs-GmbH, Metzingen, bestehen Beherrschungs- und Gewinnabführungsverträge.; 4.86 ;2016;AG;Jahresabschluss;EY
20 STEUERN VOM EINKOMMEN UND VOM ERTRAG; 4.90 ;2016;AG;Jahresabschluss;EY
Die Steuern vom Einkommen und vom Ertrag betreffen Steuern des Berichtszeitraums sowie Quellensteuererstattungen vergangener Geschäftsjahre.; 4.90 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 2015
Insgesamt 40.380 63.756"; 4.90 ;2016;AG;Jahresabschluss;EY
ZUSÄTZLICHE ERLÄUTERUNGEN ZUR GEWINN- UND VERLUSTRECHNUNG;;2016;AG;Jahresabschluss;EY
MATERIALAUFWAND; 4.70, 60 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 Nach Umgliederung BilRUG 2015 BilRUG-Umgliederung 2015 Vor Umgliederung BilRUG 2015
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren 450.449 500.191 52.970 447.221
Aufwendungen für bezogene Leistungen 79.079 78.955 11.816 67.139
Materialaufwand 529.528 579.146 64.786 514.360"; 4.70, 59, 60 ;2016;AG;Jahresabschluss;EY
PERSONALAUFWAND; 4.73, 61 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 2016 2015
Löhne und Gehälter 196.246 174.946
Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung 29.195 27.657
Davon für Altersversorgung (133) (570)
Personalaufwand 225.441 202.603"; 4.73, 61 ;2016;AG;Jahresabschluss;EY
AUSSERGEWÖHNLICHE AUFWENDUNGEN UND ERTRÄGE;;2016;AG;Jahresabschluss;EY
Im Geschäftsjahr ergaben sich außergewöhnliche Aufwendungen aus Anlass der Beendigung der Arbeitsverhältnisse ehemaliger Vorstände in Höhe von 10.610 TEUR. Für beschlossene Storeschließungen wurden konzerninterne Aufwendungen für Ausgleichszahlungen gebucht (25.900 TEUR). Ferner wurden Aufwendungen an eine Konzerngesellschaft für den Ausgleich von Handelsvertreteransprüchen geleistet (8.750 TEUR).; 68 ;2016;AG;Jahresabschluss;EY
Darüber hinaus gab es keine außerordentlichen Geschäftsvorgänge.;;2016;AG;Jahresabschluss;EY
PERIODENFREMDE AUFWENDUNGEN UND ERTRÄGE; 65 ;2016;AG;Jahresabschluss;EY
Im abgelaufenen Geschäftsjahr fielen periodenfremde Erträge in Höhe von 8.171 TEUR (2015: 8.949 TEUR) an. Diese stammen im Wesentlichen aus Auflösung von Rückstellungen und Nachberechnungen aus Konzernumlagen des Vorjahres sowie Nachverrechnungen aus Bonusverträgen gegenüber Lieferanten. Ferner fielen aperiodische Erträge aus Steuern in Höhe von 490 TEUR aus finalen Steuererklärungen der Vorjahre an (2015: aperiodischer Aufwand 1.839 TEUR).; 65 ;2016;AG;Jahresabschluss;EY
"In den aperiodischen Aufwendungen waren 3.768 TEUR (2015: 1.681 TEUR) enthalten, die sich im Wesentlichen aus Nachberechnungen zusätzlicher Konzernumlagen zusammensetzen sowie Aufwendungen, die das Vorjahr betrafen (2016: 3.490 TEUR; 2015: 1.027 TEUR)."; 65 ;2016;AG;Jahresabschluss;EY
SONSTIGE ANGABEN;;2016;AG;Jahresabschluss;EY
MITARBEITERZAHLEN;;2016;AG;Jahresabschluss;EY
Im Jahresdurchschnitt wurden beschäftigt:;;2016;AG;Jahresabschluss;EY
" 2016 2015
Gewerbliche Arbeitnehmer 1.115 1.113
Kaufmännische Arbeitnehmer 2.610 2.388
  3.725 3.501"; 80 ;2016;AG;Jahresabschluss;EY
NICHT IN DER BILANZ ENTHALTENE GESCHÄFTE NACH § 285 NR. 3 HGB; 82 ;2016;AG;Jahresabschluss;EY
HUGO BOSS nutzt nicht nur eigene Grundstücke und Gebäude, sondern ist auch Mieter mehrerer Gebäude und der dazugehörenden Grundstücke. Dieser Nutzung liegen Immobilienleasingverträge (Operating-Leasing) zugrunde. Dies trägt zur Verringerung der Kapitalbindung bei und belässt das Investitionsrisiko beim Leasinggeber. Die Leasingverträge haben Restlaufzeiten von 7 bis 10 Jahren. Die Leasingverträge führen zu einem jährlichen Leasingaufwand in Höhe von derzeit 15.270 TEUR. Die Leasingraten sind in der Aufstellung zu sonstigen finanziellen Verpflichtungen nach § 285 Nr. 3a HGB enthalten. Diese Immobilienleasingverträge enthalten Rückkaufoptionen für die jeweiligen Immobilien.; 82 ;2016;AG;Jahresabschluss;EY
SONSTIGE FINANZIELLE VERPFLICHTUNGEN NACH § 285 NR. 3A HGB; 83 ;2016;AG;Jahresabschluss;EY
"(in TEUR)  Miet- und Leasingverträge  Davon verb. Unternehmen
GESAMT Gebäude/Immobilien Hard- und Software Sonstige Verträge Gebäude Leasing Sonstige Verträge
2016            
Fällig 2017 57.008 41.466 13.831 1.711 3.918 -
Fällig 2018-2021 163.177 148.914 13.655 608 15.671 -
Fällig nach 2021 75.578 75.577 - 1 8.225 -
  295.763 265.957 27.486 2.320 27.814 -
Verpflichtungen aus im Geschäftsjahr begonnenen Investitionsvorhaben, fällig 2017 und 2018 630          
2015            
Fällig 2016 54.986 41.304 12.113 1.569 4.565 -
Fällig 2017-2020 162.351 149.724 12.143 484 18.259 -
Fällig nach 2020 104.038 104.035 - 3 15.162 -
  321.375 295.063 24.256 2.056 37.986 -
Verpflichtungen aus im Geschäftsjahr begonnenen Investitionsvorhaben, fällig 2016 und 2017 6.647          
(in TEUR) 2016 Davon assoz. Unternehmen
Gebäude Leasing Sonstige Verträge
Fällig 2017 11.574 -
Fällig 2018-2021 46.298 -
Fällig nach 2021 46.512 -
  104.384 -
Verpflichtungen aus im Geschäftsjahr begonnenen Investitionsvorhaben, fällig 2017 und 2018    
2015    
Fällig 2016 11.574 -
Fällig 2017-2020 46.298 -
Fällig nach 2020 58.087 -
  115.959 -"; 83 ;2016;AG;Jahresabschluss;EY
Verpflichtungen aus im Geschäftsjahr begonnenen Investitionsvorhaben, fällig 2016 und 2017 ; 83 ;2016;AG;Jahresabschluss;EY
Bei den Werten handelt es sich um Nominalbeträge, d. h. nicht abgezinste Beträge.; 83 ;2016;AG;Jahresabschluss;EY
HAFTUNGSVERHÄLTNISSE; 54 ;2016;AG;Jahresabschluss;EY
"(in TEUR) 31.12.2016 31.12.2015
Haftungsverhältnisse aus Bürgschaften 114.965 117.148
Davon für verbundene Unternehmen (114.965) (117.148)
Haftungsverhältnisse aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten 9.865 9.804
Davon für verbundene Unternehmen (9.865) (9.804)
  124.830 126.952
"; 54 ;2016;AG;Jahresabschluss;EY
Bürgschaften und Sicherheiten für fremde Verbindlichkeiten wurden ausschließlich zugunsten von Tochtergesellschaften abgegeben. Die zugrunde liegenden Verpflichtungen können von den betreffenden Gesellschaften nach unseren Erkenntnissen in allen Fällen erfüllt werden. Mit einer Inanspruchnahme aus den oben aufgeführten Haftungsverhältnissen ist aufgrund einer guten Vermögens-, Finanz- und Ertragslage der betreffenden Tochterunternehmen derzeit nicht zu rechnen.; 55 ;2016;AG;Jahresabschluss;EY
VERGÜTUNG VON VORSTAND UND AUFSICHTSRAT;;2016;AG;Jahresabschluss;EY
Die Mitglieder des Vorstands und Aufsichtsrats sind auf den Seiten 50 bis 51 angegeben.;;2016;AG;Jahresabschluss;EY
VERGÜTUNG DER MITGLIEDER DES VORSTANDS;;2016;AG;Jahresabschluss;EY
Die Gesamtvergütung der Mitglieder des Vorstands nach § 285 Abs. 1 Nr. 9 a) Satz 1 bis 4 HGB belief sich im Geschäftsjahr 2016 auf 3.613 TEUR (2015: 4.918 TEUR). Davon entfielen 2.261 TEUR auf die Grundvergütung inklusive Nebenleistungen (2015: 3.690 TEUR).; 103 ;2016;AG;Jahresabschluss;EY
"Ein Betrag in Höhe von 113 TEUR (2015: 644 TEUR) entfällt auf den für das Geschäftsjahr 2016 vereinbarten ""Short Term Incentive"" (STI), ein Betrag in Höhe von 13 TEUR entfällt auf eine einmalige Sondervergütung. Auf den Mehrjahresbonus für den Zeitraum 2014-2016 entfallen insgesamt 167 TEUR (2015: 584 TEUR). Auf den LTI 2016-2018 entfällt ein Betrag in Höhe von 1.061 TEUR (2015: 0 TEUR), der sich für 20.998 im Jahr 2016 gewährte Bezugsrechte ergibt. Der STI 2016 sowie der Mehrjahresbonus 2014-2016 werden im Geschäftsjahr 2017 innerhalb einer Woche nach Billigung des Konzernabschlusses 2016 durch den Aufsichtsrat zur Auszahlung kommen."; 53, 103 ;2016;AG;Jahresabschluss;EY
Im Geschäftsjahr 2016 hatte der Vorstand Anspruch auf eine Abschlagszahlung in Höhe von insgesamt 540 TEUR auf den Mehrjahresbonus für das Geschäftsjahr 2015-2017 (2015: 540 TEUR Abschlagszahlung auf den Mehrjahresbonus 2014-2016), dessen endgültige Bemessung sich nach der Zielerreichung für den Mehrjahreszeitraum 2015-2017 richtet. Diese Abschlagszahlung wurde mit dem die tatsächliche Zielerreichung übersteigenden Betrag der Vorauszahlung auf den Mehrjahresbonus 2013-2015 in Höhe von 429 TEUR verrechnet. Insgesamt belaufen sich die gewährten Abschlagszahlungen auf die Mehrjahresboni 2014-2016 und 2015-2017 zum Bilanzstichtag somit auf 1.080 TEUR (2015: 5.688 TEUR).; 103 ;2016;AG;Jahresabschluss;EY
Im Geschäftsjahr 2016 wurden Vorstandsmitgliedern darüber hinaus weder Kredite gewährt, noch wurden zugunsten dieser Personen Haftungsverhältnisse eingegangen.;;2016;AG;Jahresabschluss;EY
VERSORGUNGSZUSAGEN (in TEUR);;2016;AG;Jahresabschluss;EY
"Mark Langer Vorstandsvorsitzender (seit 19.05.2016)1 Bernd Hake Mitglied des Vorstands (seit 01.03.2016) Ingo Wilts Mitglied des Vorstands (seit 15.08.2016)
2016 2015 2016 2015 2016 2015
Dienstzeitaufwand nach HGB 806 866 188 - 237 -
Pensionsrückstellung nach HGB 1.359 934 - - - -"; 103, 107, 108 ;2016;AG;Jahresabschluss;EY
"Claus-Dietrich Lahrs Vorstandsvorsitzender (bis 29.02.2016) Christoph Auhagen Mitglied des Vorstands (bis 22.04.2016) Summe
2016 2015 2016 2015 2016 2015
Dienstzeitaufwand nach HGB -352 1.492 117 1.234 996 3.592
Pensionsrückstellung nach HGB - -2.395 - -849 1.359 -2.310
"; 103, 107, 108 ;2016;AG;Jahresabschluss;EY
1 Mitglied des Vorstands seit 15.01.2010.;;2016;AG;Jahresabschluss;EY
VERGÜTUNG EHEMALIGER VORSTANDSMITGLIEDER; 111 ;2016;AG;Jahresabschluss;EY
Ehemalige Vorstandsmitglieder und deren Hinterbliebene erhielten im Jahr 2016 Gesamtbezüge in Höhe von 12.051 TEUR (2015: 245 TEUR). Darin enthalten sind Vergütungen aus Anlass der Beendigung von Arbeitsverhältnissen in Höhe von 11.741 TEUR. Die Abfindungen wurden um Vorauszahlungen der Vorjahre in Höhe von 3.360 TEUR gekürzt.; 111 ;2016;AG;Jahresabschluss;EY
Für frühere Mitglieder des Vorstands und deren Hinterbliebenen bestehen Pensionsverpflichtungen in Höhe von 33.183 TEUR (2015: 21.887 TEUR). Das entsprechende Planvermögen in Form der Rückdeckungsversicherung beläuft sich auf 34.459 TEUR (2015: 17.982 TEUR).; 111 ;2016;AG;Jahresabschluss;EY
VERGÜTUNG FÜR DEN AUFSICHTSRAT;;2016;AG;Jahresabschluss;EY
Der Aufsichtsrat erhielt für seine Tätigkeit im Jahr 2015 Gesamtbezüge in Höhe von 2.015 TEUR. Für das Jahr 2016 betragen die Gesamtbezüge voraussichtlich 1.540 TEUR, darin enthalten ist ein variabler Anteil in Höhe von 785 TEUR (2015: 1.332 TEUR), der sich an der Höhe des Ergebnisses je Aktie im Konzernabschluss bemisst.; 103, 105 ;2016;AG;Jahresabschluss;EY
Die Mitglieder des Vorstands und Aufsichtsrats halten insgesamt weniger als 1 % (2015: weniger als 1 %) der von der HUGO BOSS AG ausgegebenen Aktien.; 104 ;2016;AG;Jahresabschluss;EY
Die Angaben nach § 285 Satz 1 Nr. 9 a) Satz 5 bis 9 HGB sind im Vergütungsbericht im zusammengefassten Lagebericht enthalten.;;2016;AG;Jahresabschluss;EY
CORPORATE GOVERNANCE CODEX; 88 ;2016;AG;Jahresabschluss;EY
Vorstand und Aufsichtsrat der HUGO BOSS AG haben im Dezember 2016 die nach § 161 AktG vorgeschriebene Erklärung abgegeben. Diese ist auf der Internetseite der Gesellschaft den Aktionären dauerhaft zugänglich.; 88 ;2016;AG;Jahresabschluss;EY
HONORAR DES ABSCHLUSSPRÜFERS; 89 ;2016;AG;Jahresabschluss;EY
Die Angabe unterbleibt gemäß § 285 Nr. 17 HGB, da die Angabe im Konzernabschluss der HUGO BOSS AG erfolgt.; 89 ;2016;AG;Jahresabschluss;EY
DIVIDENDE UND ERGEBNISVERWENDUNG; 84 ;2016;AG;Jahresabschluss;EY
