Anhang für das Geschäftsjahr vom 1. September 2015 bis 31. August 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Buchwerte
31.8.2016.
EUR
31.8.2015.
EUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
332.136,00 243.852,00
2. Geleistete Anzahlungen 0,00 20.735,00
332.136,00 264.587,00
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
1) 73.081.571,79 58.230.313,44
2. Andere Anlagen, Betriebs- und Geschäftsausstattung 1.105.298,00 882.932,00
3. Geleistete Anzahlungen und Anlagen im Bau 404.961,16 1.612.875,70
74.591.830,95 60.726.121,14
II. Finanzanlagen
1. Anteile an verbundenen Unternehmen 24.338.453,31 21.563.453,31
Buchwerte
31.8.2016.
EUR
31.8.2015.
EUR
2. Ausleihungen an verbundene Unternehmen 30.422.862,08 27.337.869,47
3. Beteiligungen 230.626,68 85.025,18
4. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
6.754.627,34 5.636.499,74
5. Sonstige Ausleihungen 560.687,51 895.823,04
62.307.256,92 55.518.670,74
137.231.223,87 116.509.378,88
1) Darin sind EUR 13.701.844,68 steuerliche Sonderabschreibungen enthalten."; 15, 16 ;31.08.2016;SE;Jahresabschluss;KPMG
Anteilsliste;;31.08.2016;SE;Jahresabschluss;KPMG
AVAG Holding Societas Europaea, Augsburg;;31.08.2016;SE;Jahresabschluss;KPMG
Aufstellung des Anteilsbesitzes Stand zum 31. August 2016;;31.08.2016;SE;Jahresabschluss;KPMG
"Name und Sitz der Gesellschaft
Anteil am Kapital.
in %
Eigenkapital.
in TEUR
Ergebnis.
in TEUR
Verbundene Unternehmen
DIO GmbH Dienstleistungs- und Beteiligungsgesellschaft
für Opel-Händler, Augsburg 1 100,00 14.136 8.609
Augsburger Auto-Center Albert Sigg GmbH, Augsburg 80,00 4.705 2.700
Georg Haas GmbH & Co. KG Automobile, Augsburg 80,00 2.362 1.136
Georg Haas Beteiligungs GmbH, Augsburg 80,00 28 2
Autohaus Haeberlen GmbH, Kempten 75,15 2.132 828
Wickenhäuser Verwaltungs-GmbH, Eching 100,00 43 3
Wickenhäuser GmbH & Co. KG, Eching 100,00 1.977 777
Sieber Automobile Beteiligungs-GmbH, Regensburg 100,00 56 4
Sieber Automobile GmbH & Co. KG, Regensburg 100,00 1.105 305
Autohaus Sieber GmbH, Landshut 100,00 900 0 3
Name und Sitz der Gesellschaft
Anteil am Kapital.
in %
Eigenkapital.
in TEUR
Ergebnis.
in TEUR
Autohaus Kropf GmbH, Nürnberg 80,00 1.325 719
Exner Verwaltungs-GmbH, Hof 80,00 28 2
Auto Exner GmbH & Co. KG, Hof 80,00 1.301 701
KADEA Berlin GmbH, Berlin 80,00 1.637 333
Auto Center Nord GmbH, Chemnitz 75,00 4.243 2.239
Automobilzentrum Leipzig GmbH, Leipzig 80,00 1.714 1.009
Autohaus Nau GmbH, Gießen 80,00 2.702 1.698
Autohaus Dresden GmbH, Dresden 100,00 -1.545 1.576
DAC Automobilcenter GmbH, Augsburg4 100,00 613 0 3
ACN Zentrallager GmbH, Chemnitz 100,00 811 7
(mittelbare Tochtergesellschaft)
Autohaus Staiger GmbH, Stuttgart 100,00 1.324 186
Autohaus Kuttendreier GmbH, München 100,00 304 1
Automobilzentrum Memmingen GmbH, Memmingen 100,00 -647 -649
Automobilforum Pfullingen-Reutlingen GmbH, Pfullingen 80,00 383 82
DIA Albert Still GmbH, Augsburg1 100,00 8.992 6.950
DIT München GmbH, München 100,00 1.500 0 3
DIT Halle GmbH, Halle 100,00 1.677 576
AIS Dresden GmbH, Dresden 75,00 2.348 1.346
DIT Frankengarage GmbH, Nürnberg 100,00 303 3
Autocenter Dresden GmbH, Dresden 100,00 716 2.578
Autocenter Halle GmbH, Halle 100,00 627 327
Autocenter Haas GmbH, Augsburg 80,00 1.175 274
Autocenter Leipzig GmbH, Leipzig 100,00 1.309 702
Auto Center Chemnitz GmbH, Chemnitz 75,00 1.031 728
Autohaus Albert Still GmbH, Augsburg 80,00 834 434
Autoarena Nau GmbH, Gießen 80,00 351 50
Hommert Auto Zentrum GmbH, Coburg 100,00 475 345
Automobilforum KADEA GmbH, Berlin 100,00 2.277 975
Name und Sitz der Gesellschaft
Anteil am Kapital.
in %
Eigenkapital.
in TEUR
Ergebnis.
in TEUR
Automobilforum Sigg & Still GmbH, Augsburg 100,00 -605 290
Automobilforum Kaufbeuren GmbH, Kaufbeuren 100,00 -326 476
Automobilforum Kropf GmbH, Nürnberg 100,00 -2.194 -1.163
Automobilforum Kuttendreier GmbH, München 80,00 1.921 1.320
Schwedter Autohaus GmbH, Schwedt 75,00 -37 74
DIT Göttingen GmbH, Göttingen 100,00 834 583
Autoarena München GmbH, München 100,00 -109 -119
Alfred Hommert Verwaltungsgesellschaft mbH, Coburg 100,00 29 1
Alfred Hommert GmbH & Co. KG, Coburg 100,00 487 -3
AV Holding International GmbH, Augsburg1 100,00 5.262 2.007
AV International Ges.m.b.H., Wien, Österreich 100,00 11.530 2.870
PSC Zagreb d.o.o., Zagreb, Kroatien 80,00 1.494 347
(THRK 11.172) (THRK 2.592)
PSC Dalmacija d.o.o., Split, Kroatien 80,00 196 7
(THRK 1.468) (THRK 53)
PSC Primorje d.o.o., Rijeka, Kroatien 100,00 -811 48
(THRK -6.066) (THRK 360)
PSC Osijek d.o.o., Osijek, Kroatien 80,00 342 49
(THRK 2.558) (THRK 369)
Komnenovic d.o.o., Belgrad, Serbien 70,00 596 -19
(TRSD 21.642) (TRSD -2.308)
Autoszalon Duna Kft., Budapest, Ungarn 100,00 787 216
(THUF 244.344) (THUF 67.088)
Auto-Zoliborz Sp. z o.o., Warschau, Polen 74,30 1.459 221
(TPLN 6.354) (TPLN 961)
Autohaus Sulzbacher GmbH, Traun, Österreich 80,00 43 3
Autohaus Sulzbacher GmbH & Co. KG, Traun, Österreich 80,00 947 547
Opel & Beyschlag GmbH, Wien, Österreich 59,00 3.014 1.330
LOGISTIK PARK 19 Lagerservice Betriebs GmbH, Wien, Österreich 100,00 1.137 225
Name und Sitz der Gesellschaft
Anteil am Kapital.
in %
Eigenkapital.
in TEUR
Ergebnis.
in TEUR
Automobilforum Beyschlag GmbH, Wien, Österreich 59,00 64 83
„Bernhard Kandl” Autohandel GmbH, Wien, Österreich 70,00 496 97
ÖFAG Österreichische Fahrzeugbau GmbH, Salzburg, Österreich 100,00 -129 213
DFSK Vertriebs GmbH, Salzburg, Österreich 100,00 37 -46
Automobilforum REISINGER GmbH, Graz, Österreich 100,00 -1.496 59
P.S.C. Slavonija d.o.o., Osijek, Kroatien 80,00 132 0
(THRK 984) (THRK 2)
Car Fit GmbH, Wien, Österreich 59,00 73 23
P.S.C. SPLIT d.o.o., Split, Kroatien 80,00 69 -65
(THRK 516) (THRK -484)
Zentrale Dienstleistungsgesellschaften
Car Fit GmbH Auto-Teile-Zubehör, Augsburg1 75,00 574 268
Car Fit Service GmbH, Augsburg1 100,00 450 241
DIA Dienst am Auto Ges.m.b.H., Wien, Österreich1 100,00 409 105
Autofutura d.o.o., Zagreb, Kroatien1 100,00 2.441 388
(THRK 18.254) (THRK 2.901)
PSC Sigurnost d.o.o., Zagreb, Kroatien 100,00 13 0
(THRK 101) (THRK 0)
Duna Immobilien Kft., Budapest, Ungarn1 100,00 763 97
(THUF 236.791) (THUF 30.069)
AVAG Investments Sp. z o.o., Warschau, Polen1 100,00 -219 23
(TPLN -952) (TPLN 102)
AVSLO Nepremicnine d.o.o., Ljubljana, Slowenien 100,00 2.200 0
AVSR Investment d.o.o., Belgrad, Serbien 100,00 495 -6
(TRSD 61.011) (TRSD -707)
Zweckgesellschaften gemäß § 290 Abs. 2 Nr. 4 HGB
Monade Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs
KG, Mainz1, 2
90,00 129 27
Anteil am Kapital.
in %
Eigenkapital.
in TEUR
Ergebnis.
in TEUR
Perthit Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs
KG, Mainz1, 2
90,00 45 -1
sonstige Beteiligungen
AiS Automotive IT Solutions GmbH, Augsburg5 40,00 403 -172"; 94 ;31.08.2016;SE;Jahresabschluss;KPMG
"1 Direkte Beteiligung
2 Abweichendes Wirtschaftsjahr zum 31. Dezember 2015
3 nach Ergebnisabführungsvertrag (EAV)
4 Gesellschaft die von der Befreiungsvorschrift des § 264 Abs. 3 HGB Gebrauch gemacht hat
5 Gesellschaft wird wegen Unwesentlichkeit nicht konsolidiert"; 94 ;31.08.2016;SE;Jahresabschluss;KPMG
Gewinn- und Verlustrechnung;;31.08.2016;SE;Jahresabschluss;KPMG
"2015/2016 2014/2015
EUR EUR EUR EUR
1. Umsatzerlöse 365.829.567,28 312.504.011,32
2. Andere aktivierte Eigenleistungen 100.000,00 80.000,00
2015/2016 2014/2015
EUR EUR EUR EUR
3. Sonstige betriebliche Erträge 2.363.452,58 368.293.019,86 2.632.744,97 315.216.756,29
4. Materialaufwand
a) Aufwendungen für bezogene Waren 344.518.857,81 292.505.579,31
b) Aufwendungen für bezogene Leistungen 4.543.376,67 349.062.234,48 4.312.115,03 296.817.694,34
5. Personalaufwand
a) Löhne und Gehälter 10.321.292,77 8.408.105,68
b) Soziale Abgaben 793.810,58 11.115.103,35 707.293,38 9.115.399,06
6. Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens
und Sachanlagen
2.363.390,03 2.184.105,25
7. Sonstige betriebliche Aufwendungen 5.123.905,28 4.837.192,26
628.386,72 2.262.365,38
8. Erträge aus Beteiligungen 18.171.928,85 11.408.233,07
--davon aus verbundenen Unternehmen EUR 17.852.101,63 (i. Vj. EUR
11.149.203,26)--
9. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens
1.161.611,77 1.876.837,47
--davon aus verbundenen Unternehmen EUR 1.143.489,47 (i. Vj. EUR
1.590.534,81)--
10. Sonstige Zinsen und ähnliche Erträge 2.165.577,72 2.463.485,17
--davon aus verbundenen Unternehmen EUR 2.051.576,92 (i. Vj. EUR
2.304.733,29)--
11. Zuschreibungen auf Finanzanlagen 3.839.000,00 825.000,00
12. Abschreibungen auf Finanzanlagen 650.000,00 549.000,00
13. Zinsen und ähnliche Aufwendungen 3.768.326,84 20.919.791,50 4.635.069,00 11.389.486,71
--davon an verbundene Unternehmen EUR 649.940,59 (i. Vj. EUR
609.065,60)--
14. Ergebnis der gewöhnlichen Geschäftstätigkeit 21.548.178,22 13.651.852,09
15. Steuern vom Einkommen und vom Ertrag -516.887,97 -793.228,81
16. Jahresüberschuss 21.031.290,25 12.858.623,28
17. Gewinnvortrag 15.998.577,07 14.208.141,10
2015/2016 2014/2015
EUR EUR EUR EUR
18. Zuführung Nennbetrag eigene Anteile 766.826,92 1.533.653,85
19. Einstellung in gesetzliche Rücklage -1.051.564,51 -642.931,16
20. Bilanzgewinn 36.745.129,73 27.957.487,07"; 72, 76 ;31.08.2016;SE;Jahresabschluss;KPMG
C. Nachtragsbericht (§ 289 Abs. 2 Nr. 1 HGB); 85 ;31.08.2016;SE;Jahresabschluss;KPMG
"Anfang Dezember 2016 wurde die Avtotehna VIS, Slowenien, mit den vier Standorten in Ljubljana, Kranj, Škofja Loka und Koper samt zugehörigen Immobilien von der Avtotehna d.d. übernommen. Weitere
Vorgänge von besonderer Bedeutung, die nach dem Bilanzstichtag eingetreten sind, liegen nicht vor."; 85 ;31.08.2016;SE;Jahresabschluss;KPMG
